BLCA	Labels	B:MUTA:COMP:TP53::	N:GEXP::TMPRSS2:7113:	N:GEXP::KRT5:3852:	N:GEXP::TOX3:27324:	N:GEXP::EFEMP1:2202:	N:GEXP::KRT6A:3853:	N:GEXP::C17orf28:283987:	N:GEXP::CTHRC1:115908:	N:GEXP::CD44:960:	N:GEXP::RNF128:79589:	N:GEXP::CDH11:1009:	N:GEXP::GATA3:2625:	N:GEXP::KRT14:3861:	N:GEXP::LAMB3:3914:	N:GEXP::PPFIBP2:8495:	N:GEXP::KRT6B:3854:	N:GEXP::PERP:64065:	N:GEXP::PCYT1B:9468:	N:GEXP::SLC30A2:7780:	N:MIR::hsa-miR-205-5p:Corrected:	N:GEXP::BCAS1:8537:	N:GEXP::KRT6C:286887:	N:GEXP::SPHK1:8877:	N:GEXP::ACSM3:6296:	N:GEXP::CENPF:1063:	N:GEXP::REEP6:92840:	N:GEXP::ZCCHC24:219654:	N:GEXP::ANXA6:309:	N:GEXP::C10orf116:10974:	N:GEXP::TMPRSS4:56649:	N:GEXP::ANXA8L2:244:	N:GEXP::ANXA8:653145:	N:GEXP::NEGR1:257194:	N:MIR::hsa-miR-29c-5p:Corrected:	N:GEXP::HMGCS2:3158:	N:GEXP::TCF4:6925:	N:GEXP::VSIG2:23584:	N:GEXP::COMP:1311:	N:GEXP::RAB31:11031:	N:GEXP::KLHDC7A:127707:	N:GEXP::CLCA4:22802:	N:GEXP::C3orf54:389119:	N:GEXP::MSN:4478:	N:GEXP::FER1L4:80307:	N:GEXP::PPARG:5468:	N:GEXP::AHNAK2:113146:	N:GEXP::AQP3:360:	N:GEXP::DGKA:1606:	N:GEXP::SCNN1B:6338:	N:GEXP::PLCD3:113026:	N:GEXP::RHOU:58480:	N:MIR::hsa-miR-4746-5p:Corrected:	N:GEXP::SSH3:54961:	N:GEXP::MN1:4330:	N:GEXP::SLITRK6:84189:	N:GEXP::PPAPDC3:84814:	N:GEXP::ITGB4:3691:	N:GEXP::TRAK1:22906:	N:GEXP::CAPN5:726:	N:GEXP::LOC399959:399959:	N:GEXP::BNC2:54796:	N:GEXP::KALRN:8997:	N:GEXP::CSDA:8531:	N:GEXP::SCNN1G:6340:	N:GEXP::CAPNS2:84290:	N:GEXP::PIK3C2B:5287:	N:GEXP::S100P:6286:	N:GEXP::TCP11L1:55346:	N:GEXP::SPOCD1:90853:	N:GEXP::TMEM97:27346:	N:GEXP::SCRG1:11341:	N:GEXP::CAB39L:81617:	N:METH:cg02587643:CAST:TssD504:Shore	N:GEXP::PRICKLE3:4007:	N:GEXP::PLCH2:9651:	N:GEXP::MFAP3L:9848:	N:GEXP::ANK2:287:	N:GEXP::SERPINB1:1992:	N:GEXP::DOK7:285489:	N:GEXP::OLFML3:56944:	N:METH:cg14419581:PTRF:TssD17291:Island	N:MIR::hsa-miR-125b-5p:Corrected:	N:GEXP::JAM2:58494:	N:GEXP::C20orf151:140893:	N:GEXP::ADORA2B:136:	N:GEXP::KSR2:283455:	N:GEXP::SPINK1:6690:	N:GEXP::CDKAL1:54901:	N:GEXP::CPXM2:119587:	N:GEXP::SFRP4:6424:	N:GEXP::KATNAL1:84056:	N:MIR::hsa-miR-106b-5p:Corrected:	N:GEXP::ANXA10:11199:	N:GEXP::ACOX1:51:	N:GEXP::GPSM2:29899:	N:GEXP::SLC5A7:60482:	N:GEXP::PHLDB2:90102:	N:GEXP::CCDC80:151887:	N:METH:cg17166103:BCAT2:TssD11910:Island	N:MIR::hsa-miR-19b-1-5p:Corrected:	N:GEXP::MCC:4163:	N:GEXP::ZYX:7791:	N:GEXP::LGI2:55203:	N:GEXP::RRAS:6237:	N:GEXP::SIX1:6495:	N:GEXP::UPK3A:7380:	N:GEXP::ZBTB8B:728116:	N:METH:cg27335600:CACNA1D:TssD173:Island	B:MUTA:COMP:FGFR3::	N:METH:cg24720571:NRN1:TssU50:Island	I:CNVR::SYN2:6854:	N:METH:cg01462053:ARRDC2:TssD248:Island	N:GEXP::PDE7B:27115:	I:CNVR::FGD3:89846:	N:METH:cg02337825:BTNL9:TssU80:Shore	N:METH:cg27635394:HIST1H2BB:TssD66:Shore
TCGA-2F-A9KO	BLCA_2	0	2863.0	4826.2	114.87	600.0	44865.0	598.83	896.79	2202.3	4201.2	950.44	12706.0	6204.7	7749.9	3158.0	3479.9	11012.0	2.3324	1.7493	9058.6	900.29	2832.1	264.22	111.22	855.39	31.487	398.83	1565.0	7232.2	6464.1	1726.5	3826.3	85.714	14.3	83.382	780.17	1814.6	646.06	1297.4	365.01	2063.0	83.965	4321.9	11071.0	4125.4	257.14	15876.0	2968.5	10009.0	823.91	1590.7	2.5535	4388.9	39.067	2205.8	18.076	8011.7	6275.8	366.18	213.99	160.93	48.397	10434.0	1424.5	191.84	1387.8	24896.0	116.72	2247.2	13284.0	39.067	1605.8	0.12822999999999998	679.88	563.85	1239.1	124.2	2303.8	22.741	530.61	0.031668	627.66	60.058	79.3	94.461	18.076	3015.2	295.63	359.18	1271.1	90.37899999999999	442.01	88.63	7002.7	367.68	9.9125	511.95	1152.2	0.036675	9.7034	443.15	4262.4	100.29	395.33	324.2	109.04	6.414	0.097401	0	0.31888	1	0.32528	64.14	-1	0.016021	0.039615
TCGA-2F-A9KP	BLCA_2	1	4069.9	1787.3	1404.9	181.02	14.565	3017.1	47.441	4558.1	4347.1	188.1	5087.8	260.92	4203.9	2213.5	4.5776	12122.0	1.2484	1710.8	18771.0	2510.6	2.0807	125.61	796.14	3031.6	2073.2	165.63	270.08	18967.0	598.84	1968.4	4030.0	17.062	63.961999999999996	4207.2	450.69	2724.9	4.1615	464.0	2991.3	1008.7	218.89	1398.2	10265.0	4330.8	14.149000000000001	3902.2	3047.4	1915.5	1486.5	2551.4	9.5751	6218.1	34.124	2462.3	16.646	8462.3	9018.3	2099.0	65.751	11.235999999999999	49.105	3581.8	1274.7	446.94	2113.6	14714.0	90.304	51.18600000000001	9336.1	0.0	1764.0	0.072166	477.32	990.85	1287.6	26.633000000000003	437.37	105.28	58.677	0.04597	615.49	19.975	338.74	230.96	153.56	3042.9	215.56	31.627	5.4099	12.484000000000002	740.35	2.0807	2546.0	633.09	15.397	909.25	174.78	0.38251	13.788	1500.2	3105.3	17.477999999999998	115.27	129.0	3453.2	153.14	0.039871	0	0.6085699999999999	1	0.6614800000000001	307.53	-1	0.015647	0.037738
TCGA-2F-A9KQ	BLCA_2	0	3065.8	34.306999999999995	1691.7	11.59	3.2452	3929.1	229.02	8445.1	7338.9	287.44	4573.0	630.97	20446.0	2236.9	0.4636	7942.1	2.7816	231.8	15059.0	4494.2	0.4636	147.97	267.35	1328.7	2088.6	202.13	457.12	20010.0	16833.0	1854.9	6648.3	19.008	58.879	26769.0	516.92	4550.8	165.04	470.1	1163.7	13403.0	126.56	1705.6	14708.0	1683.4	122.86	13736.0	3501.6	3690.3	2102.9	3354.7	3.0194	6515.1	7.4177	11152.0	3.7089	7003.2	5083.4	1656.9	15.763	13.445	66.759	4351.9	2884.1	325.45	1938.3	18810.0	123.32	2591.6	2707.0	0.0	1924.9	0.028866000000000003	638.85	3249.9	1427.0	5.5633	106.17	68.15	64.441	0.038975	55.644	26.426	290.68	705.61	83.449	14552.0	244.32	18.081	13.445	34.306999999999995	481.17	2568.8	9611.7	397.74	317.57	1440.9	129.81	0.067776	4.3135	1261.9	3275.4	25.498	382.94	546.13	3606.9	79.277	0.028096	1	0.6804	0	0.36386	315.25	-1	0.010648000000000001	0.030466000000000003
TCGA-2F-A9KR	BLCA_1	0	236.96	58749.0	32.291	227.94	26494.0	2053.3	354.25	5103.8	3179.2	241.23	3453.2	3633.7	14694.0	580.28	4271.9	16572.0	0.4749	3.7989	21956.0	1343.9	1990.2	217.44	25.666	1350.5	743.64	165.25	662.43	6034.7	11915.0	710.87	3719.5	37.989000000000004	41.706	137.24	603.08	2279.3	238.86	454.92	456.82	1971.2	177.12	3925.2	4419.6	2861.5	816.76	29909.0	3265.2	2683.9	821.04	1348.1	4.8495	4017.3	27.541999999999998	3231.9	5.6984	21790.0	2900.5	304.86	71.23	39.889	225.56	7620.6	787.32	1488.7	2101.8	27478.0	52.857	3765.2	825.36	8.5475	922.66	0.026029000000000004	487.21	2226.2	525.2	25.168000000000003	859.98	100.2	152.43	0.033239	338.13	11.872	235.53	400.31	40.363	345.23	277.8	177.12	360.42	127.26	413.42	422.63	6362.9	661.36	0.9497	894.17	224.61	0.031051	5.092	1806.4	4465.6	26.116999999999997	336.2	150.53	3.324	4.0648	0.02913	1	0.74307	-1	0.015209	24.693	-1	0.0096178	0.25814000000000004
TCGA-2F-A9KT	BLCA_1	0	45.788999999999994	9480.5	931.6	40.701	17880.0	1139.6	914.08	8179.8	6203.5	369.13	2499.2	23263.0	4560.8	132.28	1048.0	25746.0	2.8265	27.699	12362.0	14.698	711.14	318.06	8.3211	4394.0	184.85	558.51	693.61	1087.9	129.45	1325.0	2884.1	30.526	6.4874	2.8265	391.75	352.74	29.96	985.3	232.34	0.0	179.2	3000.6	471.45	1981.3	1541.0	1668.2	1400.8	619.56	968.91	3804.4	4.8655	4364.1	222.72	1127.8	87.055	18509.0	3026.0	207.46	41.266000000000005	44.658	133.41	5741.7	319.39	942.34	1183.7	12113.0	137.64	2451.7	740.54	0.5653	831.54	0.033294	338.61	297.91	1215.9	7.9141	863.76	71.227	301.87	0.028416000000000004	504.12	5.0876	398.53	76.314	18.089000000000002	12.436	191.63	1927.1	414.36	104.58	651.17	1070.1	4851.3	1553.2	0.0	2134.0	242.51	0.083841	7.8389	311.48	3449.4	17.524	898.81	72.357	17.524	45.89	0.043542000000000004	1	0.3084	1	0.49091999999999997	12.436	-1	0.014532	0.036597000000000005
TCGA-2F-A9KW	BLCA_3	0	4433.4	71.212	380.14	1188.6	20.945	2080.3	258.14	1095.9	834.12	647.19	6788.7	19.897000000000002	311.55	1796.0	1.5708	3025.4	4.7125	1021.6	1113.2	29.846	1.5708	119.92	1410.7	2259.4	1049.3	204.21	1635.2	1468.1	16.232	925.23	741.07	8.3778	19.429000000000002	3539.6	1416.9	967.12	578.6	1523.2	29.322	1.5708	49.22	6018.4	496.39	5422.0	63.357	76.971	1090.7	186.93	129.86	2878.8	5.2511	1394.4	121.48	2.6181	29.846	1502.2	4505.2	329.35	61.263000000000005	61.263000000000005	885.43	2365.7	520.47	1.5708	1818.0	4082.6	176.46	45.553999999999995	1887.2	2.6181	1826.9	0.46776999999999996	194.78	5.2362	169.13	20.945	417.85	1.5708	274.9	0.0335	227.9	90.585	245.58	13.614	50.266999999999996	18033.0	248.19	127.24	136.66	143.47	518.81	0.5236	10540.0	893.63	0.5236	1067.7	783.33	0.18573	12.603	147.14	2778.3	39.271	253.95	21.991999999999997	124.62	121.48	0.048517000000000005	0	0.37132	1	0.37559000000000003	102.11	1	0.0091985	0.6597
TCGA-4Z-AA7M	BLCA_3	1	2936.8	999.45	144.34	196.08	37.582	1276.1	534.86	5739.1	6207.0	360.02	16834.0	271.79	7720.6	2597.5	2.7233	37481.0	0.5447	356.75	11743.0	56.645	1.6340000000000001	184.94	276.85	2879.1	786.49	274.51	867.65	2609.6	13.072000000000001	1610.0	3914.7	28.322	21.26	10.892999999999999	577.89	1447.2	1192.3	2513.1	260.89	0.5447	179.19	1448.3	3881.8	4756.5	80.61	1296.3	849.67	952.07	397.06	3333.9	4.0671	4852.9	78.976	593.68	41.93899999999999	10108.0	5617.6	238.02	41.93899999999999	64.815	35.403	3633.4	1008.2	17.974	2473.3	9728.2	92.59299999999999	169.39	4245.8	0.0	968.41	0.28686	175.93	173.75	1588.8	143.79	818.63	47.386	293.57	0.060457000000000004	867.95	24.51	236.93	11.982999999999999	49.56399999999999	2150.9	421.57	71.895	857.3	170.48	680.31	0.0	1835.6	1758.1	2.1786	520.15	511.44	0.44198999999999994	13.31	2289.8	3293.0	33.769	276.14	37.582	455.88	123.89	0.03843	0	0.4937	1	0.017131999999999998	22.875999999999998	-1	0.016380000000000002	0.11575999999999999
TCGA-4Z-AA7N	BLCA_4	0	1704.4	2356.0	384.86	782.33	88.32799999999999	2107.3	1021.2	7153.7	1467.3	1889.1	3224.9	355.12	4373.1	1385.3	29.743000000000002	6018.0	4.5065	26.138	2207.3	2147.8	7.2105	385.63	55.8	539.88	1260.0	949.98	5401.5	12464.0	1737.7	2210.9	4644.4	168.54	30.031999999999996	430.82	1918.0	2777.8	994.14	1711.6	417.31	2384.0	108.16	10467.0	2548.0	1655.7	640.83	17854.0	2660.7	2192.9	3460.1	2557.9	1.2093	3114.0	189.27	327.17	39.657	5703.5	3280.8	548.9	492.11	246.96	159.53	3867.5	829.2	244.25	3336.6	13447.0	154.12	455.16	3752.6	55.881	2100.1	0.044636	146.91	1605.2	571.43	575.93	1320.4	118.97	953.58	0.032483	1126.7	229.83	137.0	116.27	109.96	902.21	198.29	450.65	2677.8	218.12	347.89	98.243	2631.8	284.35	36.052	884.18	3869.3	0.1969	8.4655	1335.7	5772.0	400.18	604.78	25.237	287.52	11.717	0.091383	0	0.052934	1	0.053551999999999995	217.22	0	0.018047	0.14057999999999998
TCGA-4Z-AA7O	BLCA_2	0	2400.7	11373.0	275.31	144.97	6892.1	773.4	729.51	3158.8	3799.2	631.09	5347.3	482.13	15012.0	1151.1	641.06	25386.0	2.66	1.995	16177.0	2834.9	381.05	152.76	52.761	1790.9	435.58	295.93	841.23	29351.0	2976.6	1941.8	3875.0	25.935	41.058	442.89	375.06	2848.9	1280.1	1498.9	306.57	6709.9	136.99	1973.1	5678.5	5278.1	256.03	1886.0	2537.0	5756.3	4824.6	2836.9	5.0533	7356.3	27.93	4140.3	8.6451	16066.0	6699.2	1850.0	90.441	44.555	23.94	4813.3	1818.8	451.54	974.23	36745.0	50.54	533.33	2647.2	0.0	1181.0	0.032869999999999996	395.68	2352.8	2508.4	13.3	428.93	43.89	204.82	0.04116	537.86	32.585	283.96	199.5	1.33	358.44	256.03	215.46	724.19	41.895	586.19	0.665	2607.4	896.74	0.0	237.41	395.68	0.046943	10.107000000000001	743.48	4226.8	23.94	1072.0	327.85	1087.3	56.525	0.034137	0	0.58435	0	0.61705	31.255	-1	0.016628999999999998	0.033583
TCGA-4Z-AA7Q	BLCA_1	1	302.65	11954.0	1.3245	212.58	18756.0	115.89	704.64	11434.0	868.87	239.74	1992.7	1144.4	78.146	678.81	2948.3	19487.0	5.9603	5.9603	11289.0	171.52	980.13	186.91	89.715	1858.3	537.09	240.4	1417.2	453.6	14085.0	416.56	2457.3	54.967	18.375	361.59	784.77	27.151999999999997	643.71	1222.5	668.87	3158.9	300.66	6913.9	1274.8	1460.9	1051.0	29546.0	1355.0	1053.6	351.66	122.52	6.1914	2488.7	35.099000000000004	17.881	11.258	4015.2	877.48	369.54	83.444	44.371	194.7	5256.3	162.91	215.23	1063.6	2434.4	117.97	1321.2	381.79	23.179000000000002	545.7	0.053951	568.21	1874.2	266.89	149.67	847.68	11.258	300.0	0.037085	587.79	66.225	457.62	208.61	0.0	13.907	160.93	150.99	682.78	41.06	399.65	0.0	3588.3	998.05	0.0	220.53	405.96	0.041899	8.5881	687.42	5065.6	39.735	1248.3	352.32	98.01299999999999	2.0199	0.10677	0	0.15014	1	0.014906	28.476999999999997	0	0.13293	0.042525
