LUAD	Labels	B:MUTA:COMP:TP53::	N:GEXP::CENPA:1058:	N:GEXP::TPX2:22974:	N:GEXP::MYBL2:4605:	N:GEXP::TGFBI:7045:	N:GEXP::C1orf116:79098:	N:GEXP::PPARGC1A:10891:	N:GEXP::GSTA1:2938:	N:GEXP::ARL6IP5:10550:	N:GEXP::BIRC5:332:	N:MIR::hsa-miR-375:Corrected:	N:GEXP::CTHRC1:115908:	N:GEXP::TROAP:10024:	N:GEXP::SDC1:6382:	N:MIR::hsa-miR-200b-3p:Corrected:	N:GEXP::NCAPG:64151:	N:GEXP::CEP55:55165:	N:GEXP::UBE2C:11065:	N:GEXP::C9orf152:401546:	N:GEXP::CD274:29126:	N:GEXP::ICAM1:3383:	N:GEXP::AIM2:9447:	N:GEXP::SPHK1:8877:	N:GEXP::ADAM12:8038:	N:GEXP::CST6:1474:	N:GEXP::CDCA2:157313:	N:GEXP::TNFSF13:8741:	N:GEXP::COL11A1:1301:	N:GEXP::HPGDS:27306:	N:GEXP::TGFBR2:7048:	N:GEXP::CMTM3:123920:	N:GEXP::SELENBP1:8991:	N:MIR::hsa-miR-155-5p:Corrected:	N:GEXP::CDCA5:113130:	N:GEXP::FEN1:2237:	N:GEXP::PSMC3IP:29893:	N:GEXP::IL15RA:3601:	N:GEXP::ADH1B:125:	N:GEXP::RECQL4:9401:	N:GEXP::AURKB:9212:	N:GEXP::C1QTNF7:114905:	N:GEXP::TMEM43:79188:	N:GEXP::ARHGAP20:57569:	N:GEXP::MMP28:79148:	N:GEXP::C1QTNF6:114904:	N:GEXP::PRKCQ:5588:	N:GEXP::TBX21:30009:	N:GEXP::ARHGAP11A:9824:	N:GEXP::NCAPH:23397:	N:GEXP::TACC3:10460:	N:GEXP::C7orf10:79783:	N:METH:cg23096644:SGCE:TssD777:Shore	B:MUTA:COMP:EGFR::	N:GEXP::FAS:355:	N:GEXP::ATP10A:57194:	N:MIR::hsa-miR-194-5p:Corrected:	N:GEXP::GPR110:266977:	N:GEXP::PLAU:5328:	N:GEXP::GPR116:221395:	N:MIR::hsa-miR-4746-5p:Corrected:	N:MIR::hsa-miR-582-3p:Corrected:	N:GEXP::DACT2:168002:	N:GEXP::ARHGEF19:128272:	N:MIR::hsa-miR-130b-3p:Corrected:	N:GEXP::C9orf100:84904:	N:GEXP::CDCA3:83461:	N:GEXP::CDCA8:55143:	N:GEXP::SPRED1:161742:	N:GEXP::COL8A2:1296:	N:GEXP::ITGA11:22801:	N:GEXP::AFF3:3899:	N:GEXP::CX3CL1:6376:	N:GEXP::EME1:146956:	N:METH:cg07479491:BMP6:TssU923:Island	N:METH:cg17838765:RP11-613D13.5:TssU33:Island	N:METH:cg10482024:AK4:TssU191:Island	N:GEXP::CALU:813:	N:GEXP::CLEC4A:50856:	N:MIR::hsa-miR-3065-3p:Corrected:	N:GEXP::SLC7A2:6542:	N:GEXP::TLR2:7097:	N:GEXP::GZMB:3002:	N:GEXP::KYNU:8942:	N:GEXP::SORBS2:8470:	N:GEXP::CYTH3:9265:	N:GEXP::AMICA1:120425:	N:GEXP::PFN2:5217:	N:GEXP::NKG7:4818:	N:GEXP::KIF18B:146909:	N:GEXP::TRAIP:10293:	N:METH:cg26991199:SRSF10:TssD265:Shore	N:GEXP::COL10A1:1300:	N:GEXP::CCL13:6357:	N:GEXP::SUSD2:56241:	N:GEXP::ICAM5:7087:	N:GEXP::MARCO:8685:	N:METH:cg00113951:RP11-728G15.1:TssU133:Shore	N:METH:cg05532892:PDE3B:TssD629:Island	N:GEXP::FBXO32:114907:	N:GEXP::MRC1:4360:	N:GEXP::IFT57:55081:	N:GEXP::SC65:10609:	N:GEXP::CILP2:148113:	N:MIR::hsa-miR-199a-3p:Corrected:	N:MIR::hsa-miR-145-3p:Corrected:	N:GEXP::CX3CR1:1524:	N:GEXP::SUSD3:203328:	N:GEXP::TMEM200A:114801:	B:MUTA:COMP:KEAP1::	N:METH:cg13910855:PBX2:TssD235:NA	N:GEXP::TSC22D2:9819:	N:GEXP::C7orf70:84792:	N:GEXP::GNAI2:2771:	N:GEXP::AHDC1:27245:	N:METH:cg01468868:LIF:TssD76:Island	N:GEXP::C7orf68:29923:	N:MIR::hsa-miR-4709-3p:Corrected:	N:GEXP::PPAPDC1A:196051:	N:GEXP::NAPSB:256236:	N:GEXP::NSMCE4A:54780:	N:GEXP::MAML3:55534:	N:GEXP::CERCAM:51148:	N:GEXP::GSG2:83903:	N:GEXP::KIAA1524:57650:	B:MUTA:COMP:STK11::	I:CNVR::CSPG5:10675:	I:CNVR::NAA25:80018:	I:CNVR::FAM185A:222234:	I:CNVR::SQRDL:58472:	I:CNVR::RNF130:55819:	I:CNVR::POLR2H:5437:	I:CNVR::CBLN1:869:	I:CNVR::FAM217B:63939:	I:CNVR::CCDC122:160857:	I:CNVR::CELA3B:23436:	I:CNVR::ADCY8:114:	N:GEXP::GLTPD2:388323:
TCGA-05-4244	LUAD_3	0	134.74	989.62	816.13	31956.0	21322.0	10.821	148.7	9395.2	336.22	22497.0	700.93	271.58	16002.0	264.49	344.47	364.78	467.41	38.398	261.11	24666.0	332.31	160.33	211.19	807.75	93.9	1228.5	135.44	76.097	3147.6	1186.1	4022.7	419.29	418.54	781.22	102.17	349.42	512.78	594.12	211.89	28.275	3039.0	569.33	810.54	454.49	22.34	17.453	420.63	472.64	666.73	13.963	0.16535999999999998	0	775.63	1216.5	156.6	6781.7	1491.7	6873.9	1.4433	170.31	4.1888	451.35	23.454	170.23	127.2	515.23	8742.1	728.51	140.33	18.85	1841.0	169.09	0.10315	0.01711	0.05924	4222.7	136.49	368.77	273.67	1028.4	59.342	159.53	199.67	2936.0	441.57	826.95	79.23899999999999	255.17	146.61	0.036663	214.33	608.08	2671.8	400.73	2003.7	0.1974	0.4576	852.43	3210.4	3408.3	560.26	75.399	1029.1	19.485	66.32300000000001	69.116	131.95	0	0.027611	760.97	972.16	5047.9	860.46	0.082285	276.46	3.2475	6.6323	356.4	275.42	164.41	477.53	46.077	174.53	0	0	0	0	-1	1	0	0	-1	-1	0	1	6.2798
TCGA-05-4249	LUAD_1	0	36.703	285.25	199.61	2979.7	11904.0	16.42	140.69	3909.5	83.712	103140.0	478.43	26.078000000000003	28248.0	1017.5	99.427	136.19	127.5	1677.7	67.611	14039.0	24.147	95.389	265.61	31.874000000000002	31.23	1511.7	23.503	453.31	2991.9	1284.0	5567.6	350.64	141.98	420.8	26.858	327.43	973.6	106.25	56.342	74.372	3956.8	156.79	97.23100000000001	461.69	25.756	13.522	114.62	92.08	364.78	15.132	0.038889	0	250.96	459.43	237.71	1221.2	1121.8	13333.0	1.1108	171.8	109.47	1641.7	5.553999999999999	31.055999999999997	44.42	119.45	2944.9	589.83	289.12	87.25	2118.5	33.766999999999996	0.07426	0.016859	0.18572	5079.5	216.03	131.44	130.39	2324.2	61.816	136.51	120.41	2763.7	448.81	679.33	65.035	52.479	56.342	0.03488	738.89	381.52	4305.2	260.46	594.98	0.13395	0.037058	397.62	1388.6	815.84	462.65	126.21	711.28	16.662	904.7	260.14	169.67	0	0.0204	522.54	342.88	7033.8	655.5	0.071911	170.31	5.9242	2.8976	679.33	406.63	517.38	522.54	22.537	51.835	0	-1	0	-1	-1	-1	-1	1	-1	1	-1	1	0.3091
TCGA-05-4250	LUAD_3	0	247.37	2668.7	1150.0	13470.0	3227.7	51.728	15.585	8208.2	1024.4	5679.6	3703.9	207.58	5683.8	230.7	897.66	861.15	3764.6	159.5	404.21	5255.4	1153.9	330.39	836.61	360.44	380.34	1207.8	1543.9	57.696999999999996	4480.1	1981.6	580.62	1725.2	1010.4	951.67	163.88	601.51	425.76	477.82	678.77	16.910999999999998	4567.4	158.83	212.22	1077.3	119.04	33.491	1016.0	678.44	1846.6	57.034	0.038360000000000005	0	1278.3	1866.9	1810.3	65.324	16548.0	1494.5	0.55995	662.42	0.9948	376.69	16.239	126.6	252.49	661.2	2586.8	341.87	585.92	26.526999999999997	1629.1	194.07	0.093652	0.014915000000000001	0.053565999999999996	9403.3	105.45	34.157	101.8	556.74	525.91	112.74	112.41	649.59	357.12	3312.6	484.79	422.45	206.91	0.042091	1448.1	361.44	315.01	31.500999999999998	843.9	0.12598	0.27913000000000004	1674.9	3387.9	1198.4	745.09	67.313	2398.3	41.996	20.559	74.277	745.75	0	0.052499000000000004	1539.2	570.67	8636.0	565.7	0.53042	438.03	3.3597	191.99	275.55	300.42	196.97	1334.0	176.41	418.14	0	0	0	1	0	0	0	0	1	-1	-1	1	2.3079
TCGA-05-4382	LUAD_4	1	110.56	1216.6	1340.3	10659.0	2724.5	6.4612	49.536	5416.6	316.14	5234.2	2946.6	279.75	25192.0	320.26	230.86	340.53	639.66	399.88	117.26	14860.0	83.27799999999999	567.0	837.33	635.59	81.124	1743.0	5541.1	57.672	4509.9	2079.6	1614.1	650.4	259.64	442.95	126.83	437.45	101.7	220.88	207.96	52.886	3799.7	238.59	134.73	1110.1	38.049	28.715999999999998	193.6	262.04	946.45	222.07	0.033855	1	776.3	411.12	88.177	1838.8	6425.9	2957.1	0.0	119.92	12.683	741.12	15.519	126.63	197.02	501.34	1719.2	2207.8	2969.3	17.948	496.08	87.81299999999999	0.084522	0.015068999999999999	0.060952	8723.6	164.88	26.805999999999997	145.74	1401.8	328.56	258.45	324.26	2518.2	345.32	3846.1	110.32	320.43	104.81	0.03387	3547.2	596.83	585.34	135.69	4819.4	0.10415	0.047498	472.87	2012.3	2080.3	1498.5	727.25	7481.7	35.271	80.885	85.91	540.11	0	0.035481	632.48	942.86	9802.6	1036.2	0.078571	1507.1	0.7054199999999999	95.72200000000001	300.57	419.26	240.98	2365.5	48.57899999999999	201.41	0	-1	0	0	-1	-1	1	0	0	1	0	-1	0.0
TCGA-05-4384	LUAD_1	1	18.937	175.93	63.531000000000006	2885.2	7325.6	174.1	572.39	3675.0	53.354	16657.0	202.2	33.598	16172.0	405.85	49.004	71.472	65.97399999999999	1001.8	32.376	5818.6	61.086999999999996	107.52	40.318000000000005	75.748	37.263000000000005	1708.3	3.6652	80.635	5434.9	585.22	10056.0	119.38	84.3	274.28	35.266	174.1	2001.2	127.06	39.096	120.34	3445.9	89.79799999999999	248.01	368.97	72.694	17.105	180.21	39.096	350.64	14.661	0.080842	0	320.1	136.22	125.17	105.68	571.17	6661.0	0.56794	146.3	69.029	1183.9	4.4299	72.56	48.503	101.41	1477.7	222.36	125.23	325.6	623.7	24.605999999999998	0.13529000000000002	0.020845	0.11531	2561.4	85.522	204.8	4124.6	878.44	57.422	3070.9	1061.7	990.23	395.85	1475.3	86.744	37.263000000000005	43.983000000000004	0.20462	403.79	172.88	2665.2	488.7	2048.3	0.12533	0.050547	203.42	1872.9	1493.0	324.37	20.77	1024.4	49.751000000000005	337.81	48.25899999999999	115.45	1	0.08382200000000001	386.68	588.88	6341.5	812.46	0.14908	159.44	2.4989	0.6109	205.86	474.04	676.24	477.7	10.995999999999999	36.652	0	0	0	0	0	0	0	0	0	0	0	0	46.646
TCGA-05-4389	LUAD_2	0	201.68	1210.1	1652.3	2771.1	1755.4	70.47	1524.2	4904.0	724.76	56614.0	806.38	345.64	49752.0	470.39	361.41	696.64	916.44	1025.2	103.69	8582.2	154.7	138.13	229.53	29.866	107.72	1322.9	110.4	151.68	3897.7	887.25	3515.1	744.15	423.15	578.52	69.564	598.99	154.03	452.01	279.53	5.0336	2309.1	128.52	54.698	212.08	283.56	47.986999999999995	311.07	379.19	1004.4	32.55	0.050267	0	869.13	99.664	478.04	2252.3	1898.0	3974.8	2.0845	872.0	412.42	300.34	20.15	249.41	253.86	608.05	1377.5	354.36	238.93	202.01	471.48	130.43	0.07058099999999999	0.37522	0.041798	4234.6	183.89	48.637	520.47	627.52	401.34	498.32	368.79	570.13	508.39	6556.7	491.27	254.03	116.11	0.032499	215.1	851.68	432.21	38.255	515.77	0.16036	0.027482999999999997	410.07	2046.0	472.48	854.7	29.866	1455.0	13.202	50.0	182.22	105.37	1	0.032351	564.43	645.64	5490.9	671.81	0.058740999999999995	376.18	2.0845	2.6846	326.18	533.89	148.66	1232.2	83.22200000000001	129.19	0	-1	1	-1	-1	0	1	-1	1	-1	-1	1	0.0
TCGA-05-4390	LUAD_2	0	221.62	1677.2	3614.9	4610.6	1472.8	113.05	130.93	2294.1	701.41	193200.0	3750.9	568.42	12220.0	629.24	609.25	395.98	2050.1	252.91	54.926	2254.5	22.991999999999997	371.36	943.32	42.791000000000004	194.16	566.73	1811.3	17.883	1855.3	906.27	1157.9	164.07	821.33	1090.8	141.56	206.93	15.967	1435.1	878.81	6.3867	1768.5	50.455	11.495999999999999	920.96	19.16	5.1094	353.82	536.48	1622.9	53.648	0.095769	0	98.994	254.83	1447.5	1.2773	1519.9	2906.6	2.6693	685.47	710.84	816.86	53.028999999999996	420.3	254.35	582.47	1290.8	375.54	1246.7	413.22	335.3	112.54	0.11875999999999999	0.051048	0.11675	6779.5	77.918	43.598	5944.1	321.25	175.0	70.892	1179.6	638.67	100.91	4621.4	22.991999999999997	405.56	137.31	0.067598	1535.4	247.81	142.42	23.631	389.59	0.11437	0.04991	1147.7	1486.8	638.67	1613.9	184.58	1212.6	17.261	12.135	44.068000000000005	93.885	0	0.10432999999999999	432.38	601.63	3774.6	487.94	0.6156	678.91	0.7118	135.4	166.69	507.11	379.37	1622.9	132.21	189.05	0	-1	1	0	0	0	-1	-1	1	-1	-1	1	227.12
TCGA-05-4395	LUAD_2	1	192.47	1332.0	1302.2	12204.0	802.37	78.653	0.0	9529.6	854.93	2481.0	1878.0	526.14	3173.0	202.98	554.28	543.32	1157.2	300.12	59.593999999999994	8894.2	805.59	662.99	230.86	188.18	80.263	724.21	326.96	56.909	734.18	485.88	1488.0	828.27	692.04	684.25	130.13	2019.5	22.549	294.48	344.68	4.0266	1896.3	13.154000000000002	163.75	1027.6	151.4	15.569	322.4	173.41	1295.2	52.077	0.049010000000000005	0	1562.6	102.81	183.5	122.41	601.08	286.16	5.0274	2917.8	79.727	329.38	5.6558	181.18	665.28	425.75	1953.7	125.36	271.12	14.764000000000001	130.19	126.4	0.1121	0.025368	0.051738	11012.0	94.22200000000001	61.586000000000006	15102.0	889.88	299.31	11831.0	24.965	255.29	107.91	6459.7	292.33	263.07	105.23	0.042414	328.03	355.68	106.84	48.318999999999996	146.3	0.19278	0.033032	626.54	805.59	461.45	2300.0	218.78	2083.9	17.596	16.105999999999998	97.175	49.661	1	0.03209	330.99	919.94	6681.2	534.73	0.66225	424.67	1.2569	8.3216	71.673	457.42	304.68	1436.2	60.13	229.78	1	0	1	1	-1	0	1	1	0	-1	0	1	0.8483
TCGA-05-4396	LUAD_1	1	77.331	624.72	471.57	1166.8	5502.6	1028.0	590.6	3718.7	63.73	95385.0	425.32	106.9	10909.0	788.85	240.39	332.07	257.01	1868.1	23.503	2054.6	13.647	31.046	37.907	1.5163	77.331	2379.8	37.907	16.679000000000002	4551.2	239.57	6462.5	67.876	282.79	407.13	36.891999999999996	242.61	349.51	218.35	56.861000000000004	109.93	2294.9	60.652	68.234	199.39	21.228	21.228	257.01	89.462	525.4	9.0978	0.093199	0	177.41	536.77	7779.8	6.8234	329.79	4812.7	0.9427200000000001	920.62	438.21	545.11	5.3421	141.52	119.73	145.56	1212.3	125.85	366.19	289.61	250.95	20.88	0.10898	0.032254000000000005	0.20888	6636.1	26.535	12.674000000000001	6762.7	303.26	47.763999999999996	1610.3	2069.8	588.32	111.45	844.58	59.894	80.36399999999999	55.345	0.066148	490.52	54.586999999999996	166.03	15.163	19.712	0.12538	0.06679199999999999	221.38	275.97	815.77	589.84	23.503	808.85	23.881999999999998	132.68	18.195999999999998	106.9	0	0.067147	349.51	353.3	2738.4	933.28	0.50651	158.45	0.9427200000000001	2.2745	167.55	498.11	698.26	473.09	22.744	96.285	0	0	0	0	0	0	0	0	0	0	-1	0	329.59
TCGA-05-4397	LUAD_2	1	681.61	4259.3	8095.6	9841.9	124.79	1331.0	825.62	2178.5	1088.4	7042.3	1626.3	1278.2	9798.6	354.65	1035.1	1046.0	3513.0	271.45	35.34	8023.6	393.15	261.03	272.34	7.0679	502.49	990.57	128.99	23.191999999999997	1097.7	1167.1	2206.7	492.39	2203.4	2435.1	138.79	879.96	18.553	603.87	460.08	2.2087	1221.7	7.7305	104.25	1071.0	10.602	8.3932	640.75	1020.0	1524.7	9.2766	0.042245	0	436.44	76.643	226.41	295.31	1161.3	535.62	15.833	638.84	3.9757	670.57	58.58	639.18	441.59	2148.9	468.69	254.0	128.11	8.613999999999999	322.03	317.54	0.082092	0.35764	0.05016	16235.0	52.568000000000005	7.9163	30.48	989.73	154.39	454.78	285.81	659.08	94.09200000000001	1106.6	90.999	1165.8	276.09	0.041941	58.973	214.91	288.02	26.726	220.87	0.15037	0.049859	697.74	1047.6	777.69	339.04	299.94	1580.1	13.458	8.8349	204.31	18.332	0	0.07170900000000001	1030.6	589.07	4972.3	929.87	0.41965	704.8	5.5414	3.0922	24.738000000000003	366.43	55.43899999999999	278.96	136.5	873.55	0	-1	0	0	-1	0	1	0	1	-1	0	0	0.6074
