OV	Labels	N:GEXP::FN1:2335:	N:GEXP::SPARC:6678:	N:GEXP::MARCKSL1:65108:	N:GEXP::TNFSF13B:10673:	N:GEXP::TGFBI:7045:	N:GEXP::C1orf116:79098:	N:GEXP::TGFB1I1:7041:	N:GEXP::VCAN:1462:	N:GEXP::CTHRC1:115908:	N:GEXP::C3AR1:719:	N:GEXP::CDH11:1009:	N:GEXP::IFI30:10437:	N:GEXP::STMN1:3925:	N:GEXP::COL1A1:1277:	N:GEXP::CXCL10:3627:	N:GEXP::COL3A1:1281:	N:GEXP::CTSS:1520:	N:GEXP::ARHGAP15:55843:	N:GEXP::AIM2:9447:	N:GEXP::TFEC:22797:	N:GEXP::GIMAP4:55303:	N:GEXP::GPC6:10082:	N:GEXP::TNFRSF19:55504:	N:GEXP::MARCKS:4082:	N:GEXP::LCP2:3937:	N:MIR::hsa-miR-21-5p:Corrected:	N:GEXP::SLC7A7:9056:	N:GEXP::TRAF3IP3:80342:	N:GEXP::MLLT11:10962:	N:GEXP::C10orf81:79949:	N:GEXP::PRICKLE1:144165:	N:GEXP::COL5A1:1289:	N:GEXP::SFRS13B:135295:	N:GEXP::COL1A2:1278:	N:GEXP::MMP2:4313:	N:GEXP::SLC31A2:1318:	N:GEXP::TCF7L1:83439:	N:GEXP::AEBP1:165:	N:GEXP::MMP28:79148:	N:GEXP::SRGN:5552:	N:GEXP::C1QTNF6:114904:	N:GEXP::SAMSN1:64092:	N:GEXP::EVI2A:2123:	N:GEXP::CD86:942:	N:GEXP::THBS2:7058:	N:GEXP::INHBA:3624:	N:GEXP::TNFAIP8L2:79626:	N:GEXP::RAB31:11031:	N:GEXP::PDCD1LG2:80380:	N:GEXP::WIPF1:7456:	N:GEXP::MCART6:401612:	N:MIR::hsa-miR-150-5p:Corrected:	N:GEXP::CALD1:800:	N:GEXP::FAP:2191:	N:GEXP::PLEK:5341:	N:GEXP::CD53:963:	N:GEXP::CD68:968:	N:GEXP::C21orf63:59271:	N:MIR::hsa-miR-7702:Corrected:	N:GEXP::TIMELESS:8914:	N:GEXP::HTRA1:5654:	N:GEXP::DNMT3A:1788:	N:GEXP::FBN1:2200:	N:GEXP::HAVCR2:84868:	N:GEXP::PTPRC:5788:	N:GEXP::GPR12:2835:	N:GEXP::CLEC2B:9976:	N:GEXP::AGFG2:3268:	N:GEXP::GSDMC:56169:	N:MIR::hsa-miR-29a-3p:Corrected:	N:GEXP::PTGER2:5732:	N:GEXP::SP140:11262:	N:MIR::hsa-miR-942-5p:Corrected:	N:GEXP::TYMP:1890:	N:GEXP::ANTXR1:84168:	N:GEXP::TRO:7216:	N:GEXP::FCER1G:2207:	N:GEXP::COLEC12:81035:	N:GEXP::TNFRSF14:8764:	N:GEXP::TNFRSF13C:115650:	N:GEXP::APOL3:80833:	N:GEXP::BGN:633:	N:GEXP::PTMS:5763:	N:METH:cg00497251:ANKMY1:TssU98:Shore	N:MIR::hsa-miR-152-3p:Corrected:	N:GEXP::GALNT5:11227:	N:GEXP::PROM2:150696:	N:GEXP::SPATS2:65244:	N:GEXP::SALL2:6297:	N:GEXP::CD80:941:	N:MIR::hsa-miR-361-3p:Corrected:	N:GEXP::CLEC7A:64581:	N:GEXP::SPSB4:92369:	N:MIR::hsa-miR-449c-5p:Corrected:	N:GEXP::TRPM4:54795:	N:GEXP::TMEFF1:8577:	N:METH:cg20935106:TAPBPL:TssU10:NA	N:METH:cg06537829:UBB:TssU137:Island	N:GEXP::SDS:10993:	N:GEXP::RND1:27289:	N:GEXP::C17orf104:284071:	N:GEXP::MEIS3:56917:	N:GEXP::TMEM119:338773:	N:GEXP::MURC:347273:	N:METH:cg09067967:UGDH:TssU103:Island	N:GEXP::MPP2:4355:	N:GEXP::CHSY1:22856:	I:CNVR::ADAMTS20:80070:	N:GEXP::MOBKL2C:148932:	I:CNVR::CTHRC1:115908:	I:CNVR::MIR4254:100423028:	I:CNVR::HAVCR2:84868:	N:GEXP::ANKRD33:341405:	N:GEXP::RIPK3:11035:
TCGA-04-1348	OV_3	9945.6	8674.0	4482.7	140.63	3164.5	128.72	494.77	281.78	351.7	400.46	214.19	12135.0	10836.0	23111.0	2291.3	6787.4	3080.4	88.54	61.636	174.3	755.66	46.273999999999994	53.885	2285.7	620.84	5270.4	581.37	104.75	74.866	342.78	101.78	1189.7	28.471	13592.0	691.18	305.88	108.45	1538.2	9.9562	2179.5	163.99	215.16	247.9	380.12	391.55	30.500999999999998	170.19	615.04	53.547	844.15	8.1978	2688.7	1755.9	47.217	930.32	1224.3	3556.9	1057.4	29.083000000000002	1334.4	950.2	978.36	241.8	570.27	724.66	0.60324	160.59	1384.1	4.3178	17145.0	59.646	111.52	16.779	3944.4	1272.4	430.3	2121.2	132.53	1156.0	2.7578	983.57	2962.6	7014.0	0.065795	23.863000000000003	1.7087	328.18	465.26	340.07	25.515	831.85	280.56	7.4132	0.37285999999999997	529.65	90.086	0.06415599999999999	0.064097	247.72	123.07	67.289	28.745	157.06	12.642999999999999	0.011331	72.941	622.48	0	652.36	0	0	0	1.0251	580.34
TCGA-04-1357	OV_3	15133.0	11944.0	5809.1	308.96	3280.7	796.56	288.79	862.48	557.45	767.84	773.43	11040.0	2605.1	39316.0	3081.6	13920.0	6631.9	242.14	282.59	500.86	1475.4	99.978	239.79	3115.7	1043.6	3211.3	775.63	286.48	83.98	59.535	176.34	2182.3	44.015	23366.0	3076.6	333.9	127.02	5328.5	35.004	3206.7	217.05	428.59	748.57	740.84	1858.8	133.66	325.14	1149.9	311.76	1739.9	20.378	4013.7	2474.5	147.89	1063.3	2304.0	5622.0	683.39	34.263000000000005	482.52	3028.2	866.34	604.31	837.42	1850.7	25.182	367.55	2615.0	139.07	15442.0	227.46	381.92	5.564	2541.8	1316.3	44.562	2505.9	67.263	3144.4	14.275	2971.4	5910.3	6178.7	0.11673	18.449	4.8079	2648.1	374.68	356.4	26.158	933.58	480.92	1.1061	1.4642	1449.1	58.045	0.066756	0.056337	358.51	24.893	10.127	41.155	424.2	9.5803	0.030510000000000002	12.095999999999998	564.58	1	779.68	1	-1	0	1.867	350.23
TCGA-04-1362	OV_2	1992.6	5068.2	3563.0	37.534	1675.6	771.05	117.12	211.52	683.95	170.53	219.17	2223.3	4371.8	14759.0	1179.1	3822.1	853.36	34.695	8.3291	66.907	287.11	15.405999999999999	371.0	1654.7	231.43	6151.2	186.24	25.748	62.873999999999995	471.35	328.56	982.18	136.93	8423.5	899.14	212.37	376.53	855.59	18.253	699.03	314.01	69.002	101.21	182.28	139.53	10.166	74.605	820.79	7.1801	484.58	16.688	441.87	996.6	8.8607	192.46	408.22	1361.3	958.35	11.681	2066.5	1175.8	735.15	107.13	163.46	220.32	442.29	40.468	835.29	65.069	5260.2	650.22	35.306	0.4028	1227.4	817.25	487.66	651.66	50.739	898.02	17.061	256.87	1589.7	5921.4	0.054624	42.696999999999996	4.2731	2461.5	530.1	264.87	7.8653	975.18	128.07	18.461	0.8056	514.24	103.62	0.06433	0.064738	113.95	61.063	109.85	6.8031	61.885	20.37	0.086846	79.017	490.24	1	1356.9	1	0	1	2.2147	926.51
TCGA-04-1364	OV_1	2151.2	7789.6	9243.4	0.59773	358.84	89.132	480.27	65.34	660.21	10.195	112.59	4717.0	14109.0	9008.7	32.608000000000004	2989.3	118.2	0.66251	1.0292	4.9734	81.399	44.055	1028.8	2204.4	34.457	507.11	28.051	12.712	548.15	25.83	51.847	765.37	176.99	7228.2	533.87	92.648	883.06	1680.3	7.4215	123.93	319.17	3.7617	9.783999999999999	9.7767	174.37	6.4926	4.1139	174.46	1.7639	141.16	84.286	77.83800000000001	1948.2	2.8357	21.16	20.901999999999997	190.63	47.766999999999996	1.0605	2159.3	294.97	2134.3	221.59	12.195	10.422	1.3607	11.902999999999999	522.73	2.8271	3844.6	10.267000000000001	3.2021	2.333	148.89	855.99	1268.7	58.75899999999999	26.195999999999998	107.11	13.74	67.309	2206.9	9833.7	0.039931	9.332	0.34389000000000003	1039.8	641.49	922.56	2.1102	271.69	5.1606	442.01	5.7265	1630.4	584.1	0.07454	0.9332	13.825	63.521	210.34	11.407	179.51	48.623999999999995	0.0015065	284.27	1021.0	0	255.59	1	-1	-1	8.4531	309.78
TCGA-04-1365	OV_3	8703.7	8255.9	17285.0	123.78	2584.4	71.911	175.33	474.73	516.64	236.06	127.41	9308.1	11838.0	14223.0	5247.3	5368.7	2173.6	62.083999999999996	62.638999999999996	193.17	488.51	8.84	453.67	2230.4	417.89	2475.3	368.02	78.145	290.87	169.72	100.46	886.45	60.256	13001.0	1291.8	226.38	289.26	1072.4	10.818	1754.3	353.44	145.71	181.44	344.25	365.03	46.573	117.11	716.86	52.905	776.89	5.4771	2772.4	1385.8	56.858000000000004	660.01	804.9	2728.5	278.59	57.26	2455.5	646.38	1472.8	148.28	430.21	530.42	11.745999999999999	108.78	791.36	12.947000000000001	3037.6	25.787	102.61	4.2241	1710.4	415.01	511.05	1252.0	81.83800000000001	617.1	4.2501	633.26	3516.1	15928.0	0.12474	6.5709	3.8873	2065.3	1210.6	952.15	23.361	1565.7	267.39	8.3307	0.46935	249.36	178.98	0.07248500000000001	0.63605	370.1	86.37799999999999	18.997	29.701	80.233	12.106	0.043518	82.315	669.13	0	571.11	1	1	0	1.1499	403.68
TCGA-04-1514	OV_1	4740.1	18927.0	13057.0	5.5174	1224.5	85.52	300.19	743.89	237.49	25.552	604.95	670.94	10289.0	58817.0	74.318	13343.0	218.38	1.1926	0.10405	4.7837	73.36399999999999	768.62	3936.3	3391.3	40.755	591.46	40.158	11.883	250.21	2.8537	198.36	5950.4	225.36	30801.0	4806.1	84.085	1588.3	3655.5	31.29	176.77	223.26	12.629000000000001	12.289000000000001	20.361	345.5	14.9	7.154	723.65	5.2206	505.33	120.15	99.70100000000001	2401.6	33.67	44.532	43.833	244.0	100.42	1.2258	2323.7	2103.3	1490.5	668.8	27.921999999999997	29.205	0.046484	28.8	553.42	0.0	8082.1	32.992	6.9988	1.0215	69.219	2339.3	1419.6	53.021	74.857	159.32	10.123	47.586999999999996	5692.6	5905.4	0.31876	19.817999999999998	18.642	799.95	1220.7	2233.9	1.7481	378.17	9.5727	101.05	0.0	204.19	852.34	0.1275	0.064603	11.1	60.994	49.586000000000006	28.659000000000002	267.02	30.301	0.0037383000000000004	256.03	1563.9	0	387.46	-1	-1	0	15.214	26.676
TCGA-04-1519	OV_1	13270.0	5746.9	14696.0	7.4506	535.18	416.87	320.86	178.71	1748.0	42.699	249.06	642.61	4165.9	12104.0	131.89	2365.9	312.46	4.6826	10.665999999999999	3.9181	59.482	1930.3	3181.9	705.5	32.81	678.38	187.19	21.483	306.97	47.532	1517.6	580.77	12.357999999999999	5938.8	2667.6	26.930999999999997	1174.6	1720.4	246.67	299.34	185.62	11.953	22.706999999999997	22.593000000000004	75.92699999999999	2.5888	23.508000000000003	181.17	1.4639	225.69	16.66	119.3	3081.4	0.8361200000000001	37.703	82.54700000000001	474.98	559.43	0.0	743.27	3738.4	892.21	110.85	36.931999999999995	30.243000000000002	2.3408	35.311	931.69	1.8128	11927.0	13.945	3.8776	0.4734	82.469	523.13	1446.4	184.33	40.475	361.26	5.4604	131.96	8144.5	20097.0	0.17733	10.415	8.6492	2647.4	889.83	1422.5	1.2873	446.89	12.969000000000001	10.853	0.0	479.83	218.3	0.07021799999999999	0.061769000000000004	30.973000000000003	60.313	3.7943	4.5516	1214.1	10.907	0.02417	101.8	1013.5	0	403.68	0	1	-1	82.274	252.99
TCGA-09-0364	OV_1	2214.5	29731.0	15279.0	1.0324	592.02	736.74	155.5	79.50399999999999	139.19	31.414	410.96	328.96	8437.0	24504.0	5.9093	9657.8	110.25	1.5218	0.59748	1.7699	37.998000000000005	443.61	172.21	2556.1	23.101999999999997	350.06	1925.9	7.4441	213.9	0.2906	148.02	2892.0	317.64	15926.0	2130.3	29.605	872.1	2678.1	7.8978	127.69	207.68	5.6402	5.0360000000000005	14.442	313.2	2.1253	4.887	281.04	0.6893600000000001	203.09	67.53	25.366999999999997	1919.6	0.41275	23.916999999999998	50.428999999999995	296.07	27.84	0.72477	2204.6	561.8	5416.0	672.43	17.573	12.011	0.9807100000000001	16.430999999999997	402.98	0.26900999999999997	395.0	119.62	5.5341	4.3486	33.1	1811.8	1450.4	47.65	116.24	210.44	17.25	33.691	2837.3	18981.0	0.14787999999999998	7.9724	2.0601	1183.4	312.03	2351.0	1.3108	65.954	4.5874	156.28	0.0	563.5	494.01	0.19100999999999999	0.83099	19.788	52.876999999999995	46.248000000000005	26.48	32.152	25.123	0.10530999999999999	69.779	1022.1	1	94.551	0	-1	0	0.85939	31.603
TCGA-09-0366	OV_3	9904.3	4418.9	8307.8	128.52	7084.5	650.3	168.98	444.03	530.55	1619.4	148.14	9532.5	5114.1	7403.1	2869.3	1488.9	3902.6	194.26	24.491999999999997	297.81	1334.1	5.9242	170.96	4244.8	829.33	8228.9	881.72	159.65	504.23	412.52	160.09	489.37	56.324	3184.6	2294.6	372.45	233.57	1238.4	22.339000000000002	5480.6	197.18	368.76	663.54	951.44	159.07	3.9334	479.82	2101.7	55.025	912.25	2.8607	320.33	817.76	12.168	911.0	2733.4	6602.0	1145.3	1.8423	1039.2	2737.2	1177.8	39.361	1155.0	1078.4	3.3243	195.85	1194.4	60.998000000000005	8175.5	64.87	79.413	5.9875	4150.4	1869.0	635.76	3471.4	307.83	2491.2	10.16	407.39	1177.0	17075.0	0.13308	11.745	5.0407	7572.2	494.6	485.87	8.9923	724.95	488.02	4.0319	0.0	667.98	36.024	0.074377	0.10304	194.2	57.111999999999995	25.715	24.013	522.56	1.3482	0.01714	61.441	356.58	1	1358.2	-1	1	-1	0.42665	211.57
TCGA-09-0367	OV_2	2365.1	5788.4	4885.8	41.619	1835.7	3235.7	291.85	98.545	136.31	272.88	75.226	4013.0	4051.4	3960.4	2090.5	1360.7	1524.9	25.209	10.614	39.698	195.24	45.973	42.718999999999994	451.6	187.5	2423.4	270.41	26.149	82.899	326.65	423.27	145.66	5.477	2832.6	604.59	290.44	146.46	614.76	400.52	995.64	77.972	59.676	97.865	181.92	88.51100000000001	2.4439	139.15	460.39	8.0981	246.61	1.4909	180.23	1789.9	3.6456	296.34	677.55	2262.0	2578.5	3.5841	455.1	3506.6	412.09	70.873	191.58	191.73	620.55	54.184	1449.8	67.208	5418.6	793.45	30.164	1.536	2143.5	620.71	79.811	1255.4	58.68	1429.9	1.9569	390.94	814.5	8773.0	0.1653	3.0721	4.6915	4845.0	309.38	334.1	5.6823	181.76	70.027	0.0	1.536	879.36	45.544	0.061333000000000006	0.098386	115.01	30.965	6.4943	5.6467	29.013	4.5867	0.25077	39.848	444.34	1	502.84	1	1	1	0.0	379.11
