human_gene_symbol	gs_name
A2M	COAGULATION
A2M	IL6_JAK_STAT3_SIGNALING
AAAS	DNA_REPAIR
AADAT	FATTY_ACID_METABOLISM
AARS1	ALLOGRAFT_REJECTION
ABAT	ESTROGEN_RESPONSE_EARLY
ABAT	P53_PATHWAY
ABCA1	ADIPOGENESIS
ABCA1	BILE_ACID_METABOLISM
ABCA1	INFLAMMATORY_RESPONSE
ABCA1	PROTEIN_SECRETION
ABCA1	TNFA_SIGNALING_VIA_NFKB
ABCA2	BILE_ACID_METABOLISM
ABCA2	CHOLESTEROL_HOMEOSTASIS
ABCA3	BILE_ACID_METABOLISM
ABCA3	ESTROGEN_RESPONSE_EARLY
ABCA3	ESTROGEN_RESPONSE_LATE
ABCA4	BILE_ACID_METABOLISM
ABCA5	BILE_ACID_METABOLISM
ABCA6	BILE_ACID_METABOLISM
ABCA8	BILE_ACID_METABOLISM
ABCA9	BILE_ACID_METABOLISM
ABCB1	IL2_STAT5_SIGNALING
ABCB1	KRAS_SIGNALING_UP
ABCB1	PEROXISOME
ABCB1	UV_RESPONSE_UP
ABCB11	KRAS_SIGNALING_DN
ABCB4	PEROXISOME
ABCB6	GLYCOLYSIS
ABCB6	HEME_METABOLISM
ABCB7	OXIDATIVE_PHOSPHORYLATION
ABCB8	ADIPOGENESIS
ABCB9	PEROXISOME
ABCC1	REACTIVE_OXYGEN_SPECIES_PATHWAY
ABCC1	UV_RESPONSE_DN
ABCC2	XENOBIOTIC_METABOLISM
ABCC3	XENOBIOTIC_METABOLISM
ABCC4	ANDROGEN_RESPONSE
ABCC5	P53_PATHWAY
ABCC5	PEROXISOME
ABCC8	PANCREAS_BETA_CELLS
ABCC8	PEROXISOME
ABCD1	BILE_ACID_METABOLISM
ABCD1	PEROXISOME
ABCD2	BILE_ACID_METABOLISM
ABCD2	PEROXISOME
ABCD2	XENOBIOTIC_METABOLISM
ABCD3	BILE_ACID_METABOLISM
ABCD3	PEROXISOME
ABCE1	ALLOGRAFT_REJECTION
