"B:MUTA:COMP:ERBB2::"	"B:MUTA:COMP:FOXA1::"
"1"	0	0
"2"	0	0
"3"	0	0
"4"	0	0
"5"	0	0
"6"	0	0
"7"	0	0
"8"	0	0
"9"	0	0
"10"	0	0
"11"	0	0
"12"	0	0
"13"	0	0
"14"	0	0
"15"	0	0
"16"	0	0
"17"	0	0
"18"	0	0
"19"	0	0
"20"	0	0
"21"	0	0
"22"	0	0
"23"	0	0
"24"	0	0
"25"	0	0
"26"	0	0
"27"	0	0
"28"	0	0
"29"	0	0
"30"	0	0
"31"	0	0
"32"	0	0
"33"	1	0
"34"	0	1
"35"	0	0
"36"	1	1
"37"	1	1
"38"	1	1
"39"	0	0
"40"	1	0
"41"	1	0
"42"	0	0
"43"	1	1
"44"	1	1
"45"	1	0
"46"	1	1
"47"	1	0
"48"	1	0
"49"	0	0
"50"	1	0
"51"	1	1
"52"	0	0
"53"	0	0
"54"	0	0
"55"	0	0
"56"	1	1
"57"	0	1
"58"	0	0
"59"	0	0
"60"	0	0
"61"	0	0
"62"	0	0
"63"	0	0
"64"	1	0
"65"	0	0
"66"	0	0
"67"	0	0
"68"	0	0
"69"	0	0
"70"	0	0
"71"	0	0
"72"	0	0
"73"	0	0
"74"	0	0
"75"	0	0
"76"	0	0
