"N:METH:cg00828602:WNT5A:TssD837:Island"	"N:METH:cg03588357:GPR68:TssD52:Island"	"N:METH:cg05705583:CAMLG:TssU760:Shore"
"1"	-0.24590622828893	-0.0305032386941495	-0.430406760647189
"2"	-0.260350412438355	0.00645967926977411	-0.30407083578313
"3"	-0.274184278947663	-0.551872384613372	-0.421997172947627
"4"	-0.293281314783568	-0.503929617878124	-0.494897876369469
"5"	-0.258381645857334	-0.479316617688625	-0.31171198600015
"6"	-0.20483775740883	-0.261031821025663	-0.378157814568645
"7"	-0.240347743975181	0.212645415863104	-0.489912638201482
"8"	-0.307377683503679	-0.290922481389076	-0.495531837292566
"9"	-0.310409584038451	-0.574111884980599	-0.509800760796505
"10"	-0.305251415596176	-0.425362914411606	-0.540230885105141
"11"	-0.290774418670401	-0.49356726499552	-0.534722148902173
"12"	-0.254056921934358	-0.250852787235024	-0.490753116698012
"13"	-0.268927672176337	-0.416660081729941	-0.504407290215918
"14"	-0.217647865296008	-0.619054007631592	-0.543746486587768
"15"	-0.2654495178832	-0.660107835858294	-0.525049442090684
"16"	-0.249030004597484	-0.396601113719761	-0.3725049963377
"17"	-0.32153311522122	-0.530182841522038	-0.44830174852187
"18"	-0.300362311919974	-0.452166095331413	-0.479442677501857
"19"	-0.283056853672798	-0.60072209843518	-0.442101418584615
"20"	-0.296431341313201	-0.592376255564182	-0.521288901160498
"21"	-0.266072960633856	-0.324556710577862	-0.372370519778256
"22"	-0.243858711044668	-0.578328224095773	-0.481262913788627
"23"	-0.26361200240758	-0.412993699890658	-0.499033030572395
"24"	-0.310061768609137	-0.553763465772581	-0.522696102300401
"25"	-0.272458326911635	-0.461766226726376	-0.491459118635097
"26"	-0.294731639498253	-0.514716499184223	-0.471109933550549
"27"	-0.289094404521263	-0.500919325420608	-0.441851676402789
"28"	-0.278115249554435	-0.571719088411804	-0.462051976725094
"29"	-0.161380516410425	-0.453314251749504	-0.513124252908496
"30"	-0.207042775979574	-0.560488381935686	-0.465913375074864
"31"	-0.250322827985688	-0.621292430228207	-0.485321224243298
"32"	-0.247454991332667	-0.500485148623851	-0.428826661073713
"33"	-0.224459797666341	-0.18873656017897	-0.473602552634543
"34"	-0.29439694917948	-0.550232161158956	-0.481738384480949
"35"	-0.29815729334923	-0.535277182603989	-0.449430391074352
"36"	-0.262036989142763	-0.426318103364472	-0.45257137928424
"37"	-0.249791261008812	-0.434480627143506	-0.180208319066001
"38"	-0.27203176081908	-0.517147889246063	-0.418438346856608
"39"	-0.299259802634602	-0.559571786475865	-0.459271193585147
"40"	-0.296864469961026	0.784890433989001	-0.499335602831145
"41"	-0.250460641646359	-0.539782972917002	-0.362198328603115
"42"	-0.167509943032671	-0.370685583139991	-0.452869148808725
"43"	-0.254089734710708	-0.514320915880511	-0.414509710227115
"44"	-0.22163133634494	-0.333886687521509	-0.32299360879071
"45"	-0.270371434335752	-0.553628388546923	-0.445871564983333
"46"	-0.293898194978954	-0.417798589774771	-0.455645129214405
"47"	-0.232295488658805	-0.364076447456022	-0.414850704359993
"48"	-0.31125615366829	-0.437182171656661	-0.393603407967725
"49"	-0.2635857521865	-0.477579910501597	-0.468324347676337
"50"	-0.21415658589233	-0.426723335041445	-0.437947053444626
"51"	-0.289501282948007	-0.517282966471721	-0.529299861915991
"52"	-0.228390768273113	-0.413929592097001	-0.376150271645506
"53"	-0.218028493501672	-0.434557814129596	-0.268569024089721
"54"	-0.282243096819309	-0.399447383831836	-0.430839006731118
"55"	-0.306695177755591	-0.454848343098046	-0.444829371647636
"56"	-0.179539106842709	-0.30600288879644	-0.324823450546011
"57"	-0.316000881128551	-0.562765398025346	-0.454511683927657
"58"	-0.25617006473132	-0.458784879388644	-0.409293940814366
"59"	-0.282367785369441	-0.233611144217135	-0.521850821069606
"60"	-0.259359466592574	-0.424812957135713	-0.447783053221154
"61"	-0.150401361443597	-0.477242217437452	-0.449406377403023
"62"	-0.196227684894498	-0.411189454090801	-0.441659567032153
"63"	-0.229355463897813	-0.504855861711206	-0.379142375093151
"64"	-0.269912055466847	-0.303523256868294	-0.391418163876749
"65"	-0.306065172449665	-0.297840365017406	-0.475365156110122
"66"	-0.248472187399528	-0.498179187414407	-0.363562305134626
"67"	-0.322865313941045	-0.514436696359646	-0.488370960502134
"68"	-0.2954010201358	-0.058724730483363	-0.486512302341237
"69"	-0.229263588124032	-0.557275473639683	-0.462652318508329
"70"	-0.305960171565344	-0.520360797542066	-0.491843337376367
"71"	-0.331173508912954	-0.475389729771288	-0.509459766663627
"72"	-0.314767120737778	-0.54463610466742	-0.161765819485009
"73"	-0.157088605263799	-0.356135836261997	-0.173100272352494
"74"	-0.304339220413636	-0.631857398949297	-0.452470521864656
"75"	-0.15254731701691	-0.476788743894173	-0.392479568149509
"76"	-0.268022039549067	-0.526072634512737	-0.519732815258351
"77"	-0.27944744827426	-0.281167976021932	-0.483035122732738
"78"	-0.258611335291786	-0.389200811428368	-0.463108578263588
"79"	-0.288654713318168	-0.406056519515806	-0.387825718645868
"80"	-0.27760337024337	-0.403113765671118	-0.472363447193945
"81"	-0.332505707632778	0.274298521002617	0.643172443477024
"82"	-0.312516164280144	-0.487093206537209	-0.531542738818158
"83"	-0.268107352767578	-0.424031438901551	-0.402363595268697
"84"	-0.310678648804524	-0.392162862019577	-0.518493709817754
"85"	-0.219977572416883	-0.475573048863253	-0.201431601786939
"86"	-0.290774418670401	-0.382977610674849	-0.469049560550486
"87"	-0.283325918438871	-0.430399365253989	-0.287832791230179
"88"	-0.305782982573052	-0.566209867279619	-0.52227826441927
"89"	-0.291443799307948	-0.317310782258648	-0.435963524192816
"90"	-0.221427897131568	-0.42866265806696	-0.498576770817136
"91"	-0.237716159311883	-0.299885820148795	-0.454338785494085
"92"	-0.213979396900038	-0.442170380632737	-0.476969269354927
"93"	-0.312680228161896	-0.417084610153437	-0.483923628571926
"94"	-0.22998546920374	-0.384299437811643	-0.154273554030231
"95"	-0.104470037108375	0.0088717725850915	-0.30216895301384
"96"	-0.269728303919285	-0.199928673162043	-0.529607236909007
"97"	-0.242789014535647	-0.300059490867498	-0.451178586347134
"98"	-0.24309745463334	-0.379619976779927	-0.27495185792908
"99"	-0.220568202391189	-0.194728199974219	0.0810123976553892
"100"	-0.180707241680782	-0.25150887661679	-0.451413920326162
