"I:CNVR::ELMO1-AS1:100861514:"	"I:CNVR::MDM2:4193:"
"1"	0	0
"2"	0	-1
"3"	0	0
"4"	0	0
"5"	0	-1
"6"	0	0
"7"	1	0
"8"	0	0
"9"	0	-1
"10"	0	0
"11"	0	0
"12"	0	-1
"13"	-1	0
"14"	1	0
"15"	0	0
"16"	0	0
"17"	0	0
"18"	-1	0
"19"	0	0
"20"	1	-1
"21"	-1	0
"22"	0	0
"23"	1	-1
"24"	0	0
"25"	-1	0
"26"	0	-1
"27"	-1	0
"28"	0	0
"29"	0	0
"30"	0	-1
"31"	1	0
"32"	0	0
"33"	0	0
"34"	1	-1
"35"	-1	0
"36"	0	-1
"37"	0	0
"38"	0	0
"39"	0	0
"40"	0	0
"41"	0	0
"42"	0	-1
"43"	-1	-1
"44"	0	1
"45"	-1	0
"46"	0	-1
"47"	1	0
"48"	0	0
"49"	0	-1
"50"	0	0
"51"	1	0
"52"	0	0
"53"	-1	0
"54"	0	-1
"55"	0	0
"56"	0	0
"57"	0	0
"58"	-1	0
"59"	1	0
"60"	-1	-1
"61"	-1	-1
"62"	0	0
"63"	1	-1
"64"	-1	1
"65"	0	-1
"66"	1	1
"67"	0	0
"68"	0	0
"69"	1	1
"70"	-1	-1
"71"	0	1
"72"	0	1
"73"	-1	-1
"74"	-1	-1
"75"	0	-1
"76"	1	0
"77"	0	-1
"78"	0	-1
"79"	0	0
"80"	-1	-1
"81"	1	-1
"82"	1	0
"83"	1	1
"84"	0	0
"85"	1	-1
"86"	1	1
"87"	1	0
"88"	1	1
"89"	1	1
"90"	1	-1
"91"	1	-1
"92"	1	1
"93"	1	1
"94"	0	-1
"95"	0	1
"96"	1	-1
"97"	0	-1
"98"	1	1
"99"	1	0
"100"	1	0
"101"	1	0
"102"	0	-1
"103"	1	1
"104"	1	0
"105"	1	-1
"106"	0	-1
"107"	-1	-1
"108"	1	0
"109"	1	-1
"110"	1	1
"111"	1	1
"112"	0	0
"113"	1	0
"114"	0	0
"115"	1	1
"116"	1	0
"117"	1	1
"118"	1	-1
"119"	1	-1
"120"	1	0
"121"	0	0
"122"	1	0
"123"	0	0
"124"	0	-1
"125"	0	0
"126"	1	1
"127"	1	0
"128"	1	0
"129"	1	1
"130"	1	1
"131"	1	-1
"132"	1	1
"133"	0	0
"134"	0	0
"135"	0	0
"136"	1	0
"137"	1	1
"138"	0	0
"139"	1	0
"140"	1	1
"141"	1	0
"142"	0	1
"143"	0	1
"144"	0	1
"145"	0	1
"146"	0	1
"147"	0	1
"148"	1	1
"149"	1	1
"150"	0	1
"151"	0	1
"152"	0	1
"153"	0	1
"154"	1	1
"155"	0	1
"156"	0	1
"157"	-1	1
"158"	0	1
"159"	0	1
"160"	0	1
"161"	0	1
"162"	0	1
"163"	0	1
"164"	1	1
"165"	0	1
"166"	0	1
"167"	-1	1
"168"	0	1
"169"	0	1
"170"	0	1
"171"	0	1
"172"	0	1
"173"	-1	1
"174"	0	1
"175"	0	1
"176"	1	1
"177"	0	1
"178"	0	1
"179"	0	1
"180"	0	1
"181"	0	1
"182"	1	1
"183"	0	1
"184"	0	1
"185"	-1	1
"186"	1	1
"187"	0	1
"188"	-1	1
"189"	0	1
"190"	1	1
"191"	0	1
