CESC	Labels	N:GEXP::TMPRSS2:7113:	N:GEXP::DSP:1832:	N:GEXP::KRT5:3852:	N:GEXP::TOX3:27324:	N:GEXP::EPCAM:4072:	N:GEXP::CYP4F3:4051:	N:GEXP::ABCC5:10057:	N:GEXP::SPRR3:6707:	N:GEXP::C17orf28:283987:	N:GEXP::PVRL1:5818:	N:GEXP::AKR1B10:57016:	N:GEXP::SOX2:6657:	N:GEXP::A2ML1:144568:	N:GEXP::TRIM2:23321:	N:GEXP::GPX2:2877:	N:GEXP::SPRR1A:6698:	N:GEXP::AGR2:10551:	N:GEXP::C5orf32:84418:	N:GEXP::SH3BGRL2:83699:	N:GEXP::SFN:2810:	N:GEXP::FUT6:2528:	N:MIR::hsa-miR-3074-5p:Corrected:	N:GEXP::CLDN3:1365:	N:GEXP::KRT13:3860:	N:MIR::hsa-miR-193b-3p:Corrected:	N:GEXP::PRR15:222171:	N:GEXP::TTC39A:22996:	N:GEXP::PKP1:5317:	B:MUTA:COMP:ERBB2::	N:GEXP::DNALI1:7802:	N:GEXP::ABCA13:154664:	N:GEXP::TMPRSS4:56649:	N:GEXP::CXCL17:284340:	N:GEXP::C10orf81:79949:	N:GEXP::CEACAM5:1048:	N:GEXP::SPRR1B:6699:	B:MUTA:COMP:EYA4::	N:GEXP::DSC3:1825:	N:GEXP::ADH7:131:	N:MIR::hsa-miR-944:Corrected:	N:GEXP::UGDH:7358:	N:GEXP::C3orf54:389119:	N:GEXP::EMP1:2012:	N:GEXP::C10orf99:387695:	N:GEXP::BNC1:646:	N:GEXP::ZNF385A:25946:	N:GEXP::ASRGL1:80150:	N:GEXP::ARHGEF38:54848:	N:GEXP::TMPRSS11A:339967:	N:GEXP::JUP:3728:	N:GEXP::SHROOM3:57619:	N:GEXP::RARG:5916:	N:GEXP::THBD:7056:	N:METH:cg12275348:SOCS2:TssD133:Island	N:GEXP::FAM83C:128876:	N:GEXP::ARMC3:219681:	N:GEXP::C9orf125:84302:	N:GEXP::CRYM:1428:	N:GEXP::TMPRSS11D:9407:	N:GEXP::VSNL1:7447:	N:GEXP::B4GALT4:8702:	N:GEXP::CSTA:1475:	N:GEXP::LOC642587:642587:	N:GEXP::ATP7B:540:	B:MUTA:LOF:CYP7B1::	N:MIR::hsa-miR-181c-3p:Corrected:	N:GEXP::DSG3:1830:	N:GEXP::PRICKLE3:4007:	N:METH:cg05140069:PDPN:TssD78:Island	N:GEXP::KLK12:43849:	N:GEXP::IVL:3713:	N:GEXP::SPRR2C:6702:	N:GEXP::GPR87:53836:	N:GEXP::ATP13A4:84239:	N:GEXP::BICD2:23299:	N:GEXP::TMEM40:55287:	N:GEXP::RAD51AP2:729475:	N:GEXP::IGSF3:3321:	N:METH:cg03794550:GAS2:TssU592:Shore	N:GEXP::SPRR4:163778:	N:GEXP::SPINK5:11005:	N:GEXP::C8orf31:286122:	N:GEXP::C9orf3:84909:	N:GEXP::CLCA3P:9629:	N:GEXP::CPA6:57094:	N:METH:cg25970832:DSC3:TssD1057:Island	N:GEXP::C2orf70:339778:	B:MUTA:COMP:DKK3::	N:GEXP::FREM2:341640:	N:GEXP::OSBPL10:114884:	N:GEXP::TMPRSS11B:132724:	N:GEXP::TMEM79:84283:	N:GEXP::BMPER:168667:	N:GEXP::CTNNBIP1:56998:	N:GEXP::CHRNB4:1143:	N:GEXP::OAS2:4939:	N:MIR::hsa-miR-449c-5p:Corrected:	N:GEXP::PLCE1:51196:	N:GEXP::C4orf19:55286:	N:GEXP::BSN:8927:	N:GEXP::C2orf39:92749:	N:GEXP::?:729884:	N:GEXP::RNF126P1:376412:	N:METH:cg04553707:RP11-763E3.1:TssD27631:Shore	N:GEXP::LOC643008:643008:	N:METH:cg03393638:ATN1:TssU132:Island	N:GEXP::BTBD10:84280:	I:CNVR::LRRC38:126755:	N:GEXP::CYP2C18:1562:	N:GEXP::C1orf194:127003:	N:METH:cg06899953:ZNF878:TssD76:Shore	N:GEXP::PGAM2:5224:	N:METH:cg24310038:CAMK1G:TssD2180:NA	N:METH:cg27382164:RP11-46H11.12:TssD308:Island	N:METH:cg17147211:RP4-712E4.2:TssU41:Island	N:GEXP::HOXB4:3214:	N:GEXP::RPL13AP17:399670:	I:CNVR::MIR601:693186:	I:CNVR::ULK4:54986:	I:CNVR::PID1:55022:	I:CNVR::PCNP:57092:	I:CNVR::DLGAP2:9228:	I:CNVR::EMR4P:326342:	I:CNVR::hsa-mir-548i-4:-1221:	N:METH:cg08855288:NKAIN3:TssD66:Island	N:METH:cg01924448:NFIB:TssD624:Island	N:METH:cg02232320:RP11-345M22.2:TssU222:NA	N:METH:cg13690989:MEF2C:TssD240:Island	N:METH:cg16218980:RGMA:TssU108:Island
TCGA-BI-A0VR	CESC_1	1111.3	61021.0	323230.0	0.39299999999999996	1391.1	363.1	3992.5	8891.2	116.71	5786.4	6371.9	767.46	623.64	580.8	1713.3	2353.9	819.33	666.47	104.14	92031.0	135.97	6.0104	101.78	92717.0	64.885	32.616	285.29	18445.0	0	10.217	987.92	5048.4	2362.5	189.41	15531.0	3290.3	0	28034.0	1500.3	171.98	666.47	195.3	9942.0	502.6	3658.1	2875.7	563.12	0.0	717.56	31038.0	325.38	3854.6	8410.3	0.047189	2779.4	0.0	442.48	1.1789	1824.5	741.92	1790.3	5268.9	2117.3	39.297	0	33.056999999999995	16964.0	728.56	0.017151	25.15	2548.0	109.64	2083.9	41.261	3046.7	571.37	24.756999999999998	2999.5	0.13993	1.9648	3008.9	3.5367	973.82	4.3226	88.417	0.061135	0.0	0	0.39299999999999996	321.45	14.147	728.95	2.7508	1573.8	139.11	6371.2	0.0	508.5	51.302	9.4312	0.0	233.42	6.2875	0.32898	96.67	0.077602	764.71	1	387.17	0.39299999999999996	0.23728000000000002	58.552	0.030108	0.02364	0.017009	84.095	0.0	0	-1	0	1	0	0	0	0.48078000000000004	0.088611	0.083413	0.038391	0.043664
TCGA-BI-A0VS	CESC_2	5.8565	96717.0	204470.0	22.393	1573.7	31.694000000000003	2850.4	44.096000000000004	71.656	7270.7	96.116	10.335	181.55	1247.8	1588.8	76.479	233.23	564.29	155.37	35321.0	4.4785	3.9767	9.646	257.0	131.12	11.368	24.46	36103.0	0	21.704	34.106	1161.7	36.173	26.182	93.015	2255.8	1	27542.0	5.5120000000000005	150.12	1333.6	98.87200000000001	1961.2	6.89	4951.9	3524.6	62.355	2.0669999999999997	1.3780000000000001	39360.0	286.28	1987.4	2626.1	0.048293	387.22	0.3445	35.828	2.0669999999999997	99.905	915.68	188.1	2076.3	3291.7	57.876000000000005	0	65.283	16165.0	377.23	0.023137	1.7225	1038.0	1.3780000000000001	4330.7	2.0669999999999997	5753.5	352.08	6.89	4116.8	0.12457	13.091	231.85	3.7895	1065.2	1.7225	2.0669999999999997	0.038912999999999996	0.3445	0	0.6890000000000001	1575.4	0.0	780.64	17.914	2673.0	62.355	1246.1	0.0	22.737	248.52	88.537	0.0	542.24	1.0335	0.082772	23.771	0.094559	911.89	1	1.7225	4.823	0.0924	19.637	0.031329	0.024041999999999997	0.021523	42.028999999999996	0.0	0	0	-1	0	-1	0	0	0.014321	0.056165999999999994	0.060499000000000004	0.22182	0.045223
TCGA-BI-A20A	CESC_1	235.96	13277.0	81617.0	2.9784	7351.0	454.37	3875.6	609.58	1110.3	3267.0	1531.9	3061.5	1079.8	541.08	1701.3	451.73	1361.5	812.77	168.78	14872.0	24.158	0.97375	498.06	25699.0	15.337	98.949	569.21	3072.4	0	13.568	598.33	5619.9	6201.4	77.108	57707.0	63.87	1	6826.8	1658.6	42.845	823.36	99.94200000000001	3459.9	21.842	298.83	2522.4	228.01	0.9928	61.553999999999995	19914.0	2420.1	3500.0	1788.0	0.07187400000000001	242.24	0.6619	552.99	3.3093	133.04	861.42	2461.8	3984.8	3365.9	184.66	0	39.437	2283.8	1016.0	0.023964	15.885	575.49	5.2949	2572.3	4.9639999999999995	1127.2	540.75	8.2734	4098.9	0.19229000000000002	0.6619	625.13	7.6115	735.54	5.6259	11.252	0.073474	0.6619	0	19.194000000000003	198.89	0.0	248.53	2.3165	1551.4	455.7	4578.8	0.0	652.93	86.678	4.9639999999999995	0.6619	49.309	0.0	0.42268999999999995	171.09	0.091917	823.7	0	61.885	0.3309	0.5703699999999999	23.165	0.030023	0.019746	0.33281	412.68	0.0	-1	-1	-1	0	0	-1	-1	0.5624100000000001	0.084596	0.065386	0.54127	0.045286
TCGA-C5-A0TN	CESC_2	2.4805	27380.0	83384.0	0.0	1844.0	2.9766	511.47	11.41	26.789	3167.1	8.4336	11.41	19.844	63.5	57.051	2.4805	56.555	475.26	346.27	58551.0	1.9844	10.86	3.9687	120.06	362.6	42.168	86.32	1597.9	0	2.4805	19.348	547.19	164.21	0.0	10.418	83.344	0	4812.6	0.9922	379.68	639.96	132.95	1402.5	32.246	3053.0	1926.3	70.941	0.0	2.9766	15167.0	297.16	1064.6	647.4	0.066741	1.4883	0.4961	548.18	0.0	3.9687	69.949	294.68	1106.3	2514.2	74.414	0	22.735	2691.3	401.84	0.031896	0.0	86.816	0.9922	1987.3	0.4961	1481.3	396.88	0.9922	1336.5	0.089928	0.0	17.859	5.9531	295.15	4.9609	0.0	0.013572999999999998	10.418	0	6.9453	299.64	0.0	222.25	97.73	530.82	18.852	5856.4	0.0	31.254	8.4336	11.905999999999999	0.9922	9.4258	0.9922	0.040636	1.9844	0.12715	1292.8	-1	2.9766	0.0	0.31553000000000003	9.4258	0.045921	0.029081	0.019431	63.996	0.0	0	-1	-1	-1	0	-1	-1	0.01826	0.053939	0.043918	0.06288400000000001	0.05542999999999999
TCGA-C5-A1BE	CESC_1	327.51	51685.0	260440.0	0.5917	2224.0	283.73	22464.0	18067.0	88.462	7679.0	1312.4	8928.4	2283.4	2658.3	9994.1	8397.3	134.91	494.38	197.04	51834.0	166.57	4.4758	17.456	46780.0	30.371	113.31	127.81	34905.0	0	6.5089	2033.1	4838.5	2808.3	0.8876	6921.9	9353.0	1	20236.0	4052.7	417.85	1152.1	252.66	10599.0	3797.6	1806.2	4494.7	701.18	0.2959	4236.1	54231.0	395.27	3744.7	821.01	0.067665	3093.2	0.2959	786.39	4.4379	7015.1	2349.7	3987.3	10519.0	919.53	3.2544	0	37.085	29011.0	545.86	0.035447	38.461999999999996	1821.9	26.923000000000002	1132.0	513.02	4972.8	944.97	10.355	5459.5	0.068191	39.053000000000004	2327.2	1.4793	558.32	5.0296	156.81	0.047042	0.0	0	7.6923	442.31	113.31	2564.8	1.4793	2174.3	123.67	8958.6	0.0	520.12	200.41	24.555999999999997	0.5917	594.38	1.4793	0.24661999999999998	151.48	0.091312	1575.4	0	1586.6	1.7751	0.19896	33.728	0.021753	0.023659	0.025124	189.05	2.0709999999999997	0	0	-1	0	-1	1	0	0.38378	0.062874	0.070809	0.058542	0.083881
TCGA-C5-A1BF	CESC_2	18.989	25423.0	13483.0	1.0748	1374.7	11.107000000000001	700.79	6.8072	367.59	1817.9	108.2	45.501000000000005	91.00200000000001	238.61	2.1497	22.213	409.87	372.25	167.31	14594.0	12.181	5.4328	82.762	1302.0	78.096	38.336	53.025	2626.2	0	20.064	18.63	281.96	362.57	4.6576	975.23	251.15	1	2305.2	0.0	5.4328	527.74	64.49	2471.0	151.91	1393.7	1535.2	187.38	10.748	6.0907	9863.0	694.7	1609.4	3474.6	0.050309	1.7914	0.0	306.68	4.2993	48.00899999999999	41.202	794.3	3364.2	1604.7	84.553	0	115.11	1008.9	228.58	0.027885000000000004	0.0	147.25	0.0	744.5	0.7166	2323.4	120.38	1.0748	762.77	0.079248	0.0	143.67	7.8821	654.96	0.3583	0.3583	0.028151	1.4331	0	41.918	823.32	0.3583	806.48	427.42	729.81	11.465	1534.9	0.0	61.982	74.321	9.3152	1.4331	17.197	1.0748	0.48954	34.753	0.31001999999999996	782.12	0	4.6576	0.0	0.13026	31.17	0.020227000000000002	0.019035	0.048141	131.85	0.0	0	-1	-1	0	0	-1	0	0.69777	0.064634	0.056988	0.038904	0.028344
TCGA-C5-A1BI	CESC_1	996.12	51382.0	206810.0	0.0	773.44	498.22	2641.1	73049.0	168.83	17123.0	5534.6	1615.9	20533.0	569.92	1333.8	10886.0	107.71	422.24	38.655	73965.0	795.9	4.9678	11.894	314180.0	71.679	9.9116	566.61	42728.0	0	21.805999999999997	1850.8	10778.0	5778.5	3.3039	3785.2	14621.0	0	41329.0	4470.1	117.1	258.69	224.0	15354.0	5024.9	3334.9	2744.5	197.9	0.0	4057.5	42520.0	748.0	3894.9	3152.9	0.065785	1412.1	0.0	375.32	13.216	11541.0	1628.2	560.01	33010.0	3956.1	11.894	0	26.495	43709.0	336.0	0.037694	1022.5	11330.0	1142.5	2173.9	9.9116	3163.5	487.65	11.232999999999999	6021.6	0.15442999999999998	21.805999999999997	37761.0	1.6519	2140.0	38.325	47.576	0.061785	0.3304	0	0.0	414.97	1369.5	2564.1	8.5901	2535.4	54.184	2929.9	0.23656	136.78	5.2862	7.5989	0.3304	14448.0	1.3215	0.16477	156.27	0.080206	1770.9	1	148.24	0.3304	0.37788	52.201	0.028055	0.024125999999999998	0.030602999999999998	122.24	0.0	0	-1	-1	0	0	0	0	0.56355	0.33602	0.10561	0.33799999999999997	0.03787
TCGA-C5-A1BJ	CESC_1	183.55	38680.0	223280.0	0.654	2027.4	45.56100000000001	2929.7	9342.7	90.68700000000001	7512.4	1038.8	1594.0	3121.3	1253.0	1877.8	7604.2	977.93	505.75	381.06	41959.0	305.2	3.8762	455.18	54075.0	60.636	22.236	742.06	26656.0	0	19.402	785.88	3018.8	3174.7	21.364	2288.5	14059.0	1	18471.0	820.76	162.39	503.36	311.95	5953.1	574.86	2011.0	2630.6	161.1	0.218	1035.5	30576.0	317.4	3099.0	3204.8	0.046948000000000004	960.28	0.218	669.9	30.084	2811.1	1796.5	1821.4	5947.4	1553.7	25.288	0	35.578	19564.0	375.83	0.033877	118.37	4770.2	486.13	1672.9	50.357	4489.4	760.37	17.44	3655.8	0.09376699999999999	35.316	741.63	8.5019	1088.0	15.042	25.288	0.029713999999999997	0.654	0	4.1419	514.69	36.188	1867.4	4.7959	1458.0	124.48	8469.6	0.0	351.85	298.41	25.724	1.526	1364.2	8.9379	0.35015999999999997	120.12	0.081828	1260.2	0	111.6	0.0	0.49722	33.789	0.036121	0.022168	0.022053	162.41	0.0	0	0	0	1	0	0	0	0.025537999999999998	0.17104	0.07070599999999999	0.49643000000000004	0.039982
TCGA-C5-A1BK	CESC_1	772.15	30134.0	326640.0	0.0	1967.2	148.26	2010.9	29945.0	172.25	4436.6	2935.2	2473.7	1462.9	505.62	1058.0	5327.1	355.22	756.72	235.67	52469.0	1753.4	5.2277	47.563	19883.0	60.845	28.709	218.53	17776.0	0	17.567999999999998	1117.1	5033.1	11389.0	111.41	6353.7	7695.3	1	15718.0	3117.3	101.07	242.96	577.18	2411.1	2088.1	2090.2	4863.9	228.39	0.0	250.67	42704.0	521.48	3021.8	2807.1	0.04986	1210.1	3.8565	308.94	2.9995	9158.2	2045.6	1073.8	10631.0	3308.0	8.9984	0	25.267	24825.0	327.8	0.039491000000000005	0.0	3174.3	214.68	2200.3	5.5704	4114.0	835.57	14.14	1795.0	0.34794	4.2849	2768.1	1.2855	2407.6	22.281999999999996	32.137	0.055338	0.0	0	0.4285	280.66	89.984	1930.4	1.714	1633.8	132.83	5561.4	0.0	50.13399999999999	101.98	5.5704	0.0	469.2	8.1414	0.39696	251.96	0.084827	635.03	0	156.83	0.0	0.50716	52.705	0.024717	0.021915	0.023844	28.709	0.0	0	0	-1	1	0	1	-1	0.58063	0.2334	0.062951	0.57875	0.055942
TCGA-C5-A1BL	CESC_1	1492.1	34838.0	290460.0	0.0	1101.0	77.131	5476.3	15080.0	29.77	9253.0	3793.9	2475.0	230.49	1011.3	2843.5	12561.0	289.13	339.65	30.671999999999997	39485.0	204.33	9.9841	54.578	149870.0	107.97	5.4127	355.44	38764.0	0	4.9617	1739.7	5170.5	6216.5	23.455	14369.0	10543.0	1	20625.0	3703.7	788.97	642.31	188.09	4911.1	1133.1	4189.4	2547.6	78.484	0.0	4546.7	23374.0	105.1	4819.1	8325.2	0.065327	1654.5	0.0	655.39	6.3148	7415.4	2143.9	1819.6	4403.2	2469.1	86.603	1	24.612	28678.0	824.09	0.02502	24.808000000000003	2521.4	652.68	889.94	304.01	3380.2	528.19	43.753	3507.0	0.44974	18.494	1141.6	0.4511	1157.8	40.144	132.61	0.050195	0.0	0	0.0	227.78	23.906	1483.5	0.0	1593.1	165.09	4939.1	0.0	731.62	166.23	2.7064	1.3532	568.34	6.3148	0.43456999999999996	92.46700000000001	0.059278	2010.8	0	420.84	0.0	0.60431	64.953	0.034961	0.019324	0.034631999999999996	140.28	0.0	0	-1	0	0	0	0	0	0.62468	0.10212	0.072538	0.86129	0.07202599999999999
