PRAD	Labels	N:GEXP::TFF3:7033:	N:GEXP::SEPP1:6414:	N:MIR::hsa-miR-200b-3p:Corrected:	N:GEXP::ERG:2078:	N:GEXP::HLA-DMB:3109:	B:MUTA:COMP:SPOP::	B:MUTA:nons:SPOP::	N:METH:cg06816106:RP11-713D19.1:TssD221:Shore	B:MUTA:LOF:SMAD3::	N:GEXP::GHR:2690:	N:GEXP::CACNA1D:776:	N:GEXP::MAGED4B:81557:	N:GEXP::OGDHL:55753:	N:GEXP::LAT2:7462:	N:METH:cg10520594:NT5C:TssU53:Island	N:GEXP::ITPR3:3710:	B:MUTA:COMP:ACVR2A::	N:GEXP::ATP10A:57194:	N:MIR::hsa-miR-582-3p:Corrected:	N:GEXP::TP53I3:9540:	N:METH:cg13376158:NT5C:TssU132:Shore	N:GEXP::AGFG2:3268:	N:METH:cg08378505:NT5C:TssD57:Island	N:METH:cg04554033:C1QTNF1:TssU112:Island	N:GEXP::HDAC1:3065:	N:GEXP::ALOX15:246:	N:GEXP::EML6:400954:	N:GEXP::SEPT9:10801:	B:MUTA:COMP:JAK1::	N:MIR::hsa-miR-629-5p:Corrected:	N:MIR::hsa-miR-3065-3p:Corrected:	N:GEXP::H2AFY2:55506:	N:METH:cg26522057:B3GNT9:TssD556:Island	N:METH:cg23584144:DACT2:TssD86:Island	N:METH:cg07013787:SP5:TssU54:Island	N:METH:cg05145649:NT5C:TssU51:Island	N:METH:cg26020635:NA:NA:Island	N:METH:cg06172475:FLI1:TssU81:Island	N:METH:cg18153124:KCNQ3:TssD47:Island	N:METH:cg21092177:NT5C:TssU140:Shore	N:METH:cg12518360:SLC36A4:TssU173:Island	N:METH:cg25331703:LRRK1:TssU138:Island	N:METH:cg06620911:ANGPTL4:TssU2:Island	N:METH:cg08659394:B3GNT9:TssD200:Island	N:MIR::hsa-miR-99a-3p:Corrected:	N:GEXP::NKAIN1:79570:	N:GEXP::CCDC141:285025:	N:GEXP::TDRD1:56165:	N:GEXP::CNTLN:54875:	N:GEXP::SLC18A3:6572:	N:GEXP::PAX1:5075:	N:METH:cg27306873:LIPT1:TssD439:Shore	N:METH:cg14044057:RP11-713D19.1:TssD277:Shore	N:METH:cg06158040:EXO5:TssD161:Shore	N:GEXP::CHD1:1105:	N:METH:cg15031983:NA:NA:NA	N:METH:cg24016939:ZNF671:TssU142:Shore	N:METH:cg00245192:MGLL:TssD271:Island	N:METH:cg14913925:FAM200A:TssD519:Shore	N:METH:cg12030835:NA:NA:NA	N:GEXP::KIAA0087:9808:	N:GEXP::LOC100190940:100190940:	N:GEXP::CDH7:1005:	I:CNVR::TMPRSS2:7113:	N:GEXP::AMPD3:272:	N:METH:cg01184522:ZNF496:TssU669:Island	N:GEXP::C17orf44:284029:	N:GEXP::KCNH8:131096:	N:GEXP::KCNG3:170850:	N:METH:cg18190030:SLC35F3:TssU1382:Shore	N:METH:cg26937798:CTD-3203P2.3:TssU631:Shore	I:CNVR::GRIK2:2898:	N:GEXP::PKNOX2:63876:	I:CNVR::MINPP1:9562:	N:METH:cg18107409:PPP2R5C:TssU441:Island	I:CNVR::CHD1:1105:	I:CNVR::GPATCH8:23131:	I:CNVR::MIXL1:83881:	N:METH:cg10444953:NA:NA:NA	N:METH:cg25820220:RP11-395G23.3:TssD16:Island	N:METH:cg05689600:ALDH7A1:TssD268:Shore
TCGA-2A-A8VL	PRAD_1	924.82	5944.8	1335.7	4067.5	2277.0	0	0	0.046973	0	1349.6	1133.4	867.79	303.81	246.14	0.42901000000000006	1765.5	0	347.58	2013.1	289.39	0.36253	925.85	0.53292	0.40623000000000004	4762.6	171.47	594.75	5185.9	0	98.956	46.553999999999995	963.96	0.043443	0.036749000000000004	0.41668999999999995	0.49653	0.018684	0.04488	0.032803	0.37371	0.049031	0.024000999999999998	0.026569	0.013609999999999999	9.2209	428.94	34.501	251.29	523.17	0.5149	68.486	0.03852	0.075271	0.023323	563.34	0.044212	0.033125	0.027726999999999998	0.029238999999999998	0.052901	83.419	156.54	45.82899999999999	-1	966.01	0.024118	42.224	267.76	22.656999999999996	0.10697999999999999	0.13026	0	408.34	0	0.043903	0	-1	0	0.057978999999999996	0.081903	0.038360000000000005
TCGA-2A-A8VO	PRAD_2	47776.0	8588.2	976.61	201.38	359.56	0	0	0.032708999999999995	0	238.6	130.93	59.79600000000001	8.6401	721.78	0.23431	726.55	0	53.17	391.74	332.31	0.053304	1099.3	0.030149000000000002	0.17540999999999998	2964.2	0.6646	13.292	2356.1	0	72.76899999999999	114.0	125.61	0.053953999999999995	0.36372	0.027481000000000002	0.019528	0.51052	0.14999	0.17127	0.052348	0.053724	0.024708	0.021768	0.013373	9.7025	1.9939	36.554	70.45	70.45	0.0	0.0	0.041238	0.08699	0.019533000000000002	542.33	0.073398	0.019508	0.46396000000000004	0.033477999999999994	0.069485	1.3292	9.3047	3.9877	0	321.68	0.10862999999999999	81.749	2.6585	7.9755	0.35703	0.20426	0	313.7	0	0.034998	0	0	0	0.030833999999999997	0.13226	0.027527999999999997
TCGA-2A-A8VT	PRAD_1	171.32	1668.2	1959.3	8636.4	2992.3	0	0	0.028696	0	1709.2	3851.8	668.79	233.82	93.382	0.50543	2223.4	0	311.4	172.07	311.74	0.098495	706.25	0.28174	0.3674	6453.3	359.93	52.941	10542.0	0	72.891	65.182	1069.8	0.034815	0.044191	0.24301	0.040707	0.016685	0.030385000000000002	0.036422	0.08630800000000001	0.041125999999999996	0.021582	0.018588999999999998	0.011399	4.2053	224.63	6.25	295.96	255.88	66.544	18.382	0.038072	0.10918	0.019784	756.99	0.5352399999999999	0.010781	0.021113999999999997	0.029137	0.49491999999999997	12.132	33.455999999999996	205.51	-1	995.59	0.030063999999999997	38.971	253.68	563.6	0.16416	0.06245800000000001	-1	610.66	-1	0.032737	-1	-1	0	0.20505	0.08492100000000001	0.036563
TCGA-2A-A8VV	PRAD_1	302.15	3991.3	1493.3	8208.0	3058.2	0	0	0.16233	0	1195.0	1639.7	1215.3	443.35	82.363	0.71515	2858.3	0	306.39	1231.6	309.68	0.26492	2072.7	0.71715	0.61385	6339.6	286.15	678.67	7873.4	0	90.85600000000001	14.665999999999999	1280.6	0.058130999999999995	0.027252999999999996	0.35359	0.54661	0.018655	0.04035	0.031439999999999996	0.21849000000000002	0.048801	0.019631	0.023071	0.016096	4.9523	458.41	13.649000000000001	737.97	1104.6	14.59	57.419	0.087533	0.13819	0.019854	542.18	0.020302	0.2002	0.027236	0.038931	0.034991	128.96	486.65	21.179000000000002	-1	1233.1	0.027104000000000003	122.37	341.69	228.73	0.096524	0.20081	0	114.84	0	0.051775999999999996	0	0	0	0.067939	0.083325	0.044217
TCGA-CH-5739	PRAD_1	860.49	6800.6	618.41	7771.9	13258.0	0	0	0.41612	0	4326.3	4490.5	736.61	292.13	230.13	0.7085100000000001	4028.4	1	316.38	957.8	176.07	0.23239	1168.9	0.67098	0.71	4551.7	266.3	19.475	5672.1	1	61.393	21.359	385.53	0.46315	0.033063999999999996	0.60615	0.45511999999999997	0.023362	0.035508	0.033544	0.17865999999999999	0.051137	0.025806	0.025951	0.58431	7.0451	214.23	26.63	1836.2	231.72	0.0	10.334000000000001	0.038873000000000005	0.20315999999999998	0.030114	864.07	0.025249	0.060749	0.020216	0.0413	0.042832999999999996	76.312	52.067	23.052	0	946.34	0.022325	106.52	306.84	782.99	0.057435	0.050756	0	608.11	0	0.034962	0	-1	0	0.057361	0.18209	0.035121
TCGA-CH-5740	PRAD_1	165.77	6846.8	1176.6	7396.5	4095.8	0	0	0.036686	0	2153.8	2008.9	1323.2	2578.7	170.07	0.59544	3753.7	1	238.22	717.11	467.23	0.31758000000000003	1298.5	0.66282	0.56417	5181.3	158.4	378.82	8501.6	1	44.398999999999994	64.244	1015.5	0.047469	0.037269	0.53286	0.56804	0.026382999999999997	0.031457	0.017711	0.29113	0.046126	0.024524	0.057438	0.023381	1.3454	902.53	10.437999999999999	1458.2	325.4	26.401	27.015	0.069688	0.054689	0.026258	658.17	0.017988	0.17399	0.015171	0.034243	0.042604	128.32	208.75	198.93	-1	935.69	0.02935	101.92	366.54	133.23	0.18841	0.10425999999999999	-1	100.08	0	0.033852999999999994	0	-1	0	0.22483000000000003	0.07448300000000001	0.029311
TCGA-CH-5741	PRAD_1	175.52	4081.3	792.19	12346.0	2653.8	0	0	0.059935	0	2938.2	3847.1	2638.0	450.61	128.3	0.7323	2241.9	0	159.1	229.54	233.0	0.19153	1486.8	0.74166	0.26798	8320.8	483.45	462.41	9038.3	0	39.26	60.736999999999995	1171.7	0.040332	0.044524	0.3349	0.45725	0.028013999999999997	0.033461000000000005	0.035207	0.1807	0.045170999999999996	0.40963	0.032029	0.012631999999999999	2.3255	1308.7	7.6983	325.38	551.2	7.185	379.27	0.050592000000000005	0.10475	0.020207	531.18	0.025146	0.016155000000000003	0.02445	0.10617	0.024613999999999997	53.375	67.23100000000001	359.25	-1	729.28	0.032164	46.703	81.602	347.45	0.052811000000000004	0.16818	0	347.45	-1	0.041747	0	0	0	0.048145	0.09214800000000001	0.037885
TCGA-CH-5743	PRAD_1	291.34	9660.5	563.32	533.31	800.48	0	0	0.049483	0	734.9	163.96	536.07	64.895	187.44	0.056076	1761.2	0	134.28	318.57	291.68	0.06976399999999999	851.23	0.020068	0.045134	2751.5	5.523	63.858999999999995	6844.3	0	32.211999999999996	26.355	694.51	0.046901	0.034051	0.032366000000000006	0.016523	0.020769	0.032886	0.032508999999999996	0.062999	0.050398	0.031449	0.026302999999999997	0.012381999999999999	3.3907	40.732	12.427	44.184	214.01	0.0	1.3807	0.049729	0.092627	0.033911000000000004	903.35	0.028558999999999998	0.019402000000000003	0.025901	0.032859	0.038211	7.5941	6.5585	26.234	0	504.66	0.02557	54.193999999999996	54.88399999999999	12.772	0.054929	0.032801	0	183.29	0	0.029963999999999998	0	0	0	0.03614	0.088839	0.041124
TCGA-CH-5744	PRAD_1	3402.4	2731.7	790.24	8373.6	11879.0	0	0	0.1085	0	2083.0	2858.5	1418.6	1475.0	135.23	0.4953	3156.0	1	259.36	297.72	442.67	0.16706	1590.8	0.42715	0.55194	6118.8	800.51	185.85	9917.9	1	38.883	20.287	737.17	0.039873	0.040292	0.45742	0.11946	0.021726	0.046662	0.022657	0.14435	0.045057	0.024655	0.029597000000000002	0.019037000000000002	2.8176	2990.5	8.5529	832.41	518.26	20.111	53.398	0.037759	0.09421	0.023745	569.58	0.029572	0.015803	0.025535	0.052109	0.035472000000000004	26.815	61.951	202.03	0	1573.5	0.032247000000000005	63.8	195.1	372.86	0.086616	0.07428	0	209.43	-1	0.037186000000000004	0	-1	0	0.318	0.10534	0.041573
TCGA-CH-5746	PRAD_1	1619.5	6323.4	637.4	5740.5	1734.2	0	0	0.050720999999999995	0	1900.4	871.27	815.27	296.35	196.45	0.39331	2729.3	0	349.31	587.16	379.15	0.13304000000000002	917.53	0.44871000000000005	0.31115	4309.8	194.1	154.88	6097.6	0	42.565	29.930999999999997	886.36	0.048519	0.026831999999999998	0.39105	0.27997	0.022141	0.0413	0.040487999999999996	0.13747	0.034439	0.065846	0.047633	0.014097	3.2069	443.51	3.0171	825.34	145.83	0.3352	8.3808	0.038589	0.088132	0.02026	884.35	0.028901999999999997	0.024584	0.020804	0.028718	0.044393	32.518	118.0	53.302	-1	781.43	0.023222	61.683	108.61	104.59	0.12212	0.075534	0	342.94	0	0.033837	0	0	0	0.039608	0.092047	0.047429
