LUSC	Labels	N:GEXP::AKR1C3:8644:	B:MUTA:LOF:HIST1H3C::	N:GEXP::AKR1C1:1645:	N:GEXP::TNFSF13B:10673:	N:GEXP::CLCA2:9635:	N:GEXP::FOXA1:3169:	N:GEXP::AKR1C2:1646:	N:GEXP::TXNRD1:7296:	N:GEXP::CYP4F3:4051:	N:GEXP::CD74:972:	N:GEXP::NQO1:1728:	N:GEXP::ABCC5:10057:	N:GEXP::MAOA:4128:	N:GEXP::NTRK2:4915:	N:GEXP::C3AR1:719:	N:GEXP::FGFR2:2263:	N:GEXP::SOX2:6657:	N:GEXP::GPX2:2877:	N:GEXP::SELPLG:6404:	N:GEXP::SFN:2810:	N:GEXP::CTSS:1520:	N:GEXP::BCL2:596:	N:MIR::hsa-miR-205-5p:Corrected:	N:METH:cg02275294:SOAT1:TssU388:Shore	N:GEXP::ARHGDIB:397:	N:GEXP::HLA-DMB:3109:	N:GEXP::CYP4F11:57834:	N:MIR::hsa-miR-193b-3p:Corrected:	N:GEXP::SLC9A3R1:9368:	N:GEXP::KLF5:688:	N:GEXP::ME1:4199:	N:GEXP::LCP2:3937:	N:GEXP::C3orf58:205428:	N:GEXP::TMEM116:89894:	N:GEXP::SERINC2:347735:	N:GEXP::ARRB1:408:	N:GEXP::ADAM23:8745:	N:MIR::hsa-miR-142-3p:Corrected:	N:GEXP::TP63:8626:	N:MIR::hsa-miR-196b-5p:Corrected:	N:GEXP::PTPRZ1:5803:	N:GEXP::ADH7:131:	N:GEXP::SRGN:5552:	N:GEXP::PHLDB1:23187:	N:GEXP::HLA-DRA:3122:	N:GEXP::SAMSN1:64092:	N:GEXP::CD86:942:	N:METH:cg24237439:RANBP3L:TssU89:NA	N:MIR::hsa-miR-429:Corrected:	N:MIR::hsa-miR-944:Corrected:	N:GEXP::CCRL2:9034:	N:GEXP::TMEM51:55092:	N:GEXP::DPYD:1806:	N:GEXP::PMEPA1:56937:	N:GEXP::HLA-DPA1:3113:	N:METH:cg19237753:SIRPA:TssD272:Shore	N:GEXP::APCDD1L:164284:	N:GEXP::PHC2:1912:	N:GEXP::CSF2RB:1439:	N:GEXP::RAB6B:51560:	N:GEXP::IL21R:50615:	N:MIR::hsa-miR-31-3p:Corrected:	N:GEXP::RAC2:5880:	N:GEXP::SCN9A:6335:	N:MIR::hsa-miR-378a-3p:Corrected:	N:GEXP::PITX1:5307:	N:GEXP::TRIM16L:147166:	N:GEXP::SOX2OT:347689:	N:GEXP::PTPRC:5788:	N:GEXP::FOXE1:2304:	N:METH:cg16970828:UBA7:TssD13:NA	N:GEXP::ITGAL:3683:	N:GEXP::PTPN22:26191:	N:MIR::hsa-miR-193a-5p:Corrected:	N:GEXP::C12orf54:121273:	N:GEXP::TINAGL1:64129:	N:GEXP::C1orf38:9473:	N:GEXP::ACSL5:51703:	N:GEXP::FHL2:2274:	N:GEXP::GBP6:163351:	N:GEXP::LOC730101:730101:	N:GEXP::LAPTM5:7805:	N:GEXP::CXXC5:51523:	N:GEXP::S100A16:140576:	N:GEXP::SNX31:169166:	N:GEXP::BEND5:79656:	N:GEXP::CHST10:9486:	B:MUTA:COMP:NFE2L2::	N:GEXP::SGEF:26084:	N:GEXP::TALDO1:6888:	N:GEXP::TMEM176B:28959:	N:GEXP::OSGIN1:29948:	N:GEXP::FAM107B:83641:	N:GEXP::PHLDA2:7262:	N:METH:cg18110535:LPIN2:TssU467:Shore	N:MIR::hsa-miR-152-3p:Corrected:	N:GEXP::GJB3:2707:	N:GEXP::TXN:7295:	N:GEXP::HLA-DOA:3111:	N:GEXP::CRIP2:1397:	N:GEXP::C12orf53:196500:	N:GEXP::PYGL:5836:	N:GEXP::C18orf1:753:	N:GEXP::MGAT4A:11320:	N:GEXP::ADCY3:109:	N:GEXP::CYSLTR1:10800:	N:GEXP::CXCR3:2833:	N:METH:cg21692936:SLC3A2:TssD353:Shore	N:GEXP::TMEM170B:100113407:	N:GEXP::SULT1C4:27233:	N:GEXP::FRAS1:80144:	N:MIR::hsa-miR-376c-3p:Corrected:	N:GEXP::FMO4:2329:	N:GEXP::HAPLN4:404037:	N:GEXP::MAGED4:728239:	N:GEXP::BLCAP:10904:	N:GEXP::SEMA4D:10507:	I:CNVR::ASIC2:40:	I:CNVR::RD3L:647286:	N:GEXP::TDRD7:23424:	I:CNVR::LOC100132781:100132781:	I:CNVR::GPATCH3:63906:	I:CNVR::ATP11B:23200:
TCGA-18-3406	LUSC_3	3189.0	0	1188.2	303.94	26224.0	394.49	3200.0	1377.2	34.646	65634.0	734.65	1933.9	1624.4	77.165	556.69	491.34	353.54	1858.3	530.71	58388.0	6849.6	196.06	12776.0	0.077645	4253.5	7773.2	296.06	73.801	2984.2	12324.0	1920.5	597.64	1287.4	214.17	1581.9	100.79	44.093999999999994	7751.9	12467.0	396.23	1091.3	220.47	11934.0	511.81	246830.0	990.55	892.13	0.042957	103.89	127.54	170.87	867.72	1011.0	1287.4	23981.0	0.059591	46.457	1092.9	373.23	281.1	95.63799999999999	22.212	1249.6	34.646	296.64	1008.7	270.87	49.606	2344.9	216.53	0.026169	349.61	130.71	114.64	46.457	500.79	816.53	1159.8	1459.1	1291.3	49.606	9448.0	85.82700000000001	18012.0	10.236	22.835	150.39	0	102.36	3713.4	1800.8	109.45	1758.3	220.47	0.23460999999999999	822.55	1141.7	5312.6	2844.9	323.62	4.7244	4265.4	280.31	996.85	572.65	100.79	20.472	0.026646	179.53	20.472	140.16	5.0156	145.67	1.5748	132.68	1947.2	501.57	0	0	945.67	-1	-1	1
TCGA-18-3407	LUSC_5	34445.0	1	78427.0	65.652	16025.0	844.43	54320.0	7471.9	4644.1	22767.0	8640.3	10059.0	2032.3	15555.0	180.3	2069.5	4784.5	8477.2	329.69	33843.0	1879.6	428.64	24630.0	0.11316	1740.7	656.99	12211.0	186.63	7217.9	9138.9	3221.2	392.96	1719.8	562.32	1213.1	88.48700000000001	5862.5	6774.4	27599.0	275.77	4979.5	4562.3	2225.0	1129.9	9779.7	225.5	341.1	0.044136	164.35	41.385	78.021	289.25	532.35	1110.8	2709.8	0.050578	38.535	2495.2	294.01	1313.0	72.217	14.325999999999999	722.64	1155.4	617.99	3677.4	1387.2	83.73	764.51	3382.0	0.059515	291.63	74.691	100.68	43.292	590.87	525.21	328.26	797.34	12669.0	1902.0	3579.9	115.6	5893.4	16.651	17.127	235.97	0	739.77	16364.0	1220.7	1501.4	759.28	146.53	0.093138	679.67	975.26	8348.7	493.34	525.69	6.6603	2526.2	333.49	317.32	2261.9	37.108000000000004	39.961999999999996	0.32665	118.93	19.980999999999998	338.25	11.54	105.61	8.0875	165.83	2629.4	1381.1	1	0	519.5	1	0	1
TCGA-18-3408	LUSC_5	55940.0	1	82876.0	99.066	40172.0	636.51	55606.0	15035.0	3253.7	40310.0	10658.0	45698.0	5082.0	47699.0	483.46	9480.6	10686.0	22904.0	245.59	2812.4	3104.3	290.08	18622.0	0.30963	3280.4	2332.5	8368.4	48.214	2748.9	12757.0	5235.1	555.84	2162.2	3870.1	345.84	103.22	11326.0	6300.4	19127.0	497.69	6544.9	28066.0	3551.5	297.2	32699.0	313.81	481.09	0.053582000000000005	121.31	215.41	86.015	80.083	522.02	475.16	8746.3	0.051017	7.7117	769.39	208.22	6184.8	47.67	43.548	713.04	2298.3	323.5	51.016000000000005	7396.1	8668.0	1456.3	3078.8	0.20402	228.38	118.64	56.768	20.169	597.95	366.6	391.52	598.55	2336.1	1253.5	5187.0	10.677999999999999	6276.1	354.74	80.083	704.73	1	732.61	6929.9	1507.3	216.52	794.3	4.7457	0.53855	2019.5	287.71	13431.0	790.15	6.5253	5.9321	1567.2	208.22	543.97	1407.4	83.64200000000001	4.1525	0.5807399999999999	157.79	13.050999999999998	1528.1	1.5553	157.79	1.7796	98.40100000000001	2124.9	809.13	0	1	670.33	0	-1	1
TCGA-18-3410	LUSC_1	488.42	0	594.38	131.95	176.46	19.3	304.47	2948.2	160.71	74506.0	2316.4	1226.6	105.17	1720.1	380.89	156.77	671.18	718.05	606.98	12230.0	4951.6	864.58	20486.0	0.08918200000000001	2216.0	2565.4	242.24	102.36	2236.1	1102.1	753.11	715.3	1211.2	186.31	1254.1	412.4	940.6	11541.0	2793.8	766.3	30.329	21.27	50461.0	558.53	58179.0	313.93	960.29	0.065761	303.33	77.005	73.263	500.63	358.44	330.47	12361.0	0.044519	22.058000000000003	2313.7	1914.7	71.293	1408.9	7.5127	1414.5	23.16	414.14	326.14	4684.9	32.299	1934.4	460.06	0.027685	511.26	161.89	423.53	71.687	2938.4	1217.5	805.89	155.19	66.173	1540.9	9312.7	691.66	2000.5	5.1205	95.714	121.71	0	54.75	2314.9	1031.2	21.664	1077.7	79.959	0.056965999999999996	404.75	1060.7	1734.7	1109.2	384.04	0.7878	266.66	878.37	965.02	1045.0	37.419000000000004	160.31	0.064789	173.31	17.725	749.96	3.7564	73.657	1.5755	38.135999999999996	1317.2	1711.4	-1	-1	1028.0	0	0	1
TCGA-18-3411	LUSC_5	46575.0	0	92669.0	148.85	8576.5	802.98	35015.0	31767.0	8556.4	34586.0	31936.0	6653.5	2044.9	12665.0	451.37	4156.1	5110.7	42564.0	297.7	18166.0	3796.4	114.25	12210.0	0.17298	2886.1	2185.7	25906.0	69.865	9273.7	7738.1	4653.7	479.53	1696.5	1260.0	1663.1	116.67	5170.3	9445.2	13311.0	733.58	3906.3	6120.5	5229.0	540.28	26656.0	499.25	545.51	0.048976	370.15	382.91	129.54	151.66	540.68	836.77	6543.3	0.08629099999999999	10.862	1477.6	203.96	1065.7	111.11	33.589	2267.7	2111.4	264.01	1560.9	6939.0	115.86	982.0	2139.8	0.13275	331.89	88.90700000000001	53.742	9.2527	625.16	799.36	180.63	391.43	1055.6	1231.4	8010.1	56.321000000000005	7127.0	395.45	8.4482	137.99	1	264.31	21503.0	2145.4	3430.3	847.63	268.33	0.60131	628.78	784.07	11827.0	580.11	473.5	68.792	1887.6	99.366	358.04	1838.4	25.747	35.402	0.17251	61.148	3.2183	115.46	3.3589	154.08	14.482999999999999	217.36	1700.9	470.68	1	0	310.97	0	-1	1
TCGA-18-3412	LUSC_2	40940.0	1	135810.0	92.33200000000001	1770.3	2242.2	37029.0	27859.0	7161.6	17897.0	30066.0	18182.0	2532.9	9630.3	275.82	1433.1	2818.1	18466.0	217.92	32863.0	3455.4	164.32	6966.6	0.070427	2254.7	1110.3	18437.0	56.898	20793.0	9565.3	3390.1	352.5	1349.4	1011.0	1874.4	140.45	1096.2	6680.7	16038.0	569.71	2222.2	12169.0	2376.4	457.75	14281.0	201.09	282.86	0.034877	297.79	477.35	71.596	239.44	176.84	277.78	3708.9	0.050335000000000005	7.8247	1313.4	161.97	234.35	65.29	21.429000000000002	727.7	244.21	1820.0	16376.0	4436.2	252.35	703.83	1791.5	0.034387	184.27	53.208	59.853	254.3	1720.7	319.64	180.75	465.57	6099.0	1483.6	4205.4	98.2	9650.6	511.74	6.651	86.855	0	919.01	24759.0	1012.5	6100.2	1395.2	289.91	0.35525999999999996	672.43	1687.0	13994.0	275.04	312.21	7.0423	801.64	70.814	314.94	2364.2	22.3	28.951	0.58653	44.21	5.4773	278.56	2.9557	62.207	4.3036	262.48	3723.0	1225.7	1	1	609.15	1	-1	1
TCGA-18-3414	LUSC_4	1756.3	0	1799.5	73.10300000000001	6888.7	1216.2	2177.2	1603.8	39.135999999999996	18843.0	1925.8	2473.7	2494.0	6996.5	236.29	1537.0	1710.2	1454.7	313.46	10907.0	2388.8	381.39	16057.0	0.034273000000000005	4138.1	857.67	54.273999999999994	25.491	4532.0	7066.6	517.63	483.29	1380.8	191.25	2642.8	194.57	36.181999999999995	9510.5	5331.7	994.93	2420.9	557.87	1964.2	563.04	8921.2	193.47	233.71	0.022451	241.01	80.336	67.196	663.84	843.64	3259.7	2742.5	0.060537	44.305	2088.2	287.61	231.49	51.32	84.198	1300.3	15.507	370.78	1067.8	175.38	49.105	1035.6	786.78	0.031677	231.49	61.288000000000004	202.38	83.81	1173.0	471.11	777.18	2036.5	827.03	88.241	4639.5	165.41	11034.0	145.1	61.658	368.47	0	82.333	2769.1	1710.9	173.53	1545.9	173.9	0.076137	478.15	882.04	3309.6	207.5	852.13	15.507	520.58	293.89	450.8	524.94	46.151	47.628	0.022819	133.28	14.767999999999999	242.94	10.814	793.43	11.497	370.68	4398.0	724.75	-1	0	466.68	-1	-1	1
TCGA-18-3415	LUSC_5	50608.0	1	117440.0	129.48	15417.0	1034.7	76392.0	11976.0	4761.3	24555.0	16830.0	7934.7	1619.7	32804.0	241.04	2019.1	5368.8	41314.0	423.12	63324.0	2798.3	109.83	14606.0	0.38524	2826.6	1596.0	4723.1	42.471000000000004	13092.0	4072.2	5491.3	480.93	3473.4	514.45	3827.8	107.51	8172.2	10313.0	20198.0	1015.6	2678.0	7237.6	2824.3	607.51	16513.0	272.25	302.89	0.032494	169.26	358.51	60.693999999999996	192.49	465.9	550.29	5123.7	0.046459	21.386999999999997	1407.5	259.54	1124.3	115.61	0.0	1149.7	327.21	215.48	3401.7	3669.1	191.33	1334.1	1328.9	0.030837	355.49	84.39299999999999	85.56700000000001	119.08	2209.8	414.45	411.56	1265.3	8678.0	609.25	4261.3	79.191	15125.0	9.8266	75.722	410.4	1	468.21	16339.0	1795.4	2759.0	770.52	400.0	0.22243000000000002	2367.1	312.14	18857.0	554.34	424.86	4.6243	2641.6	148.56	486.7	1901.6	42.196999999999996	75.722	0.31924	67.05199999999999	8.6705	52.601000000000006	4.372	144.51	6.3931	133.95	1405.2	691.91	0	1	717.92	0	-1	1
TCGA-18-3416	LUSC_5	14008.0	1	88278.0	162.91	1245.8	1022.6	39819.0	19747.0	2495.5	58529.0	5092.5	18240.0	5031.7	20736.0	603.65	1642.5	4386.8	24001.0	840.76	31961.0	4418.6	448.0	27894.0	0.3563	4551.9	2802.3	5051.8	39.122	5212.5	5216.9	2959.1	1416.5	2853.7	1426.5	877.58	135.57	2859.8	17278.0	13098.0	653.4	5033.9	14995.0	3089.7	312.98	26539.0	719.69	530.01	0.049250999999999996	501.72	206.59	200.29	370.45	571.85	132.78	9283.5	0.090912	3.9053	1466.2	499.88	870.88	320.98	26.081	2120.6	181.42	466.03	1698.8	5051.2	499.88	3668.2	3840.6	0.030542000000000003	1687.1	370.45	62.457	111.02	4000.2	1063.4	728.62	61.369	6214.5	1483.5	8158.8	44.632	2433.6	76.432	6.6948	111.02	0	1344.0	13377.0	1927.5	4602.7	1191.7	86.475	0.14479	148.94	611.46	25856.0	1446.6	112.14	2.7895	417.31	199.73	647.16	3407.6	35.148	180.2	0.052739	83.12700000000001	2.2316	1027.7	0.68634	75.874	1.6737	139.62	1819.9	1857.2	-1	0	1202.8	1	0	1
TCGA-18-3417	LUSC_3	6907.9	0	2453.4	56.387	576.52	501.73	4720.4	2477.6	3.4522	30560.0	2521.3	2421.2	644.42	1729.6	240.51	646.72	1063.3	1612.2	392.4	14870.0	2973.5	132.34	10701.0	0.075287	3374.0	936.71	177.22	47.748000000000005	2590.3	1473.0	666.28	321.06	772.15	71.346	9575.4	88.60799999999999	1413.1	2794.6	5974.7	551.69	3705.4	421.17	2293.4	1632.9	12112.0	192.18	376.3	0.08305	82.59200000000001	50.32899999999999	47.181000000000004	550.06	338.32	7293.4	4131.2	0.13104000000000002	298.04	3345.2	142.69	356.73	67.307	6.4525	1405.1	8.0552	158.09	16.11	922.9	3.4522	542.0	156.5	0.020652	134.64	62.14	167.12	90.90899999999999	9331.4	401.61	691.6	2484.5	628.31	47.181000000000004	4837.7	218.64	15305.0	0.0	65.593	85.155	0	67.89399999999999	2896.4	3072.5	43.728	1169.2	294.59	0.099263	505.87	1996.5	3094.4	226.7	975.83	109.32	1705.4	102.42	217.49	1583.3	16.11	5.7537	0.15283	59.839	20.713	399.31	7.0977	96.663	12.658	282.18	2294.6	288.84	1	0	225.55	-1	0	1
