HNSC	Labels	B:MUTA:COMP:TP53::	N:GEXP::FN1:2335:	N:GEXP::TMPRSS2:7113:	N:GEXP::SPARC:6678:	B:MUTA:LOF:HIST1H3C::	N:GEXP::CLCA2:9635:	N:GEXP::FOXA1:3169:	N:GEXP::VIM:7431:	N:GEXP::UGT1A6:54578:	N:GEXP::TGFB1I1:7041:	N:GEXP::ABCC5:10057:	N:GEXP::CTHRC1:115908:	N:GEXP::NTRK2:4915:	N:GEXP::KRT14:3861:	N:GEXP::TNFAIP6:7130:	N:GEXP::SFXN3:81855:	N:GEXP::SOX2:6657:	N:METH:cg10182321:STK32B:TssU777:Shore	N:GEXP::GPX2:2877:	N:GEXP::KRT16:3868:	N:GEXP::FUT6:2528:	N:GEXP::TFAP2A:7020:	N:GEXP::SMARCD3:6604:	N:GEXP::TNFSF12:8742:	N:GEXP::ADAM12:8038:	N:GEXP::KRT13:3860:	N:GEXP::RFTN1:23180:	N:GEXP::TAGLN:6876:	N:GEXP::ANXA6:309:	N:GEXP::FLI1:2313:	N:GEXP::CCDC69:26112:	N:MIR::hsa-miR-203a:Corrected:	N:GEXP::ABCA13:154664:	N:GEXP::SLFN13:146857:	N:GEXP::ZDHHC2:51201:	N:GEXP::C3orf58:205428:	N:GEXP::TMEM116:89894:	N:GEXP::UCP2:7351:	N:GEXP::ABCA17P:650655:	N:METH:cg23706497:OTX2:TssD123:Shelf	N:METH:cg24237439:RANBP3L:TssU89:NA	N:GEXP::ZNF367:195828:	N:GEXP::SETMAR:6419:	N:GEXP::PLEKHG6:55200:	N:GEXP::COL5A2:1290:	N:GEXP::GPX8:493869:	N:MIR::hsa-miR-150-5p:Corrected:	N:GEXP::MRAP2:112609:	N:MIR::hsa-miR-20b-5p:Corrected:	N:GEXP::TENC1:23371:	N:GEXP::GPR110:266977:	N:GEXP::SYCP2:10388:	N:GEXP::NNMT:4837:	N:GEXP::TMPRSS11A:339967:	B:MUTA:COMP:NSD1::	B:MUTA:COMP:WT1::	N:GEXP::GALNT6:11226:	N:GEXP::SPTLC3:55304:	N:GEXP::ZFR2:23217:	N:GEXP::ICA1L:130026:	N:MIR::hsa-miR-193a-5p:Corrected:	N:GEXP::THY1:7070:	N:GEXP::ARHGEF33:100271715:	N:GEXP::ARHGAP26:23092:	N:GEXP::C3orf18:51161:	N:GEXP::WDR76:79968:	N:GEXP::PTH1R:5745:	N:METH:cg00211661:ARAP1:TssU215:NA	N:GEXP::CPXM1:56265:	N:GEXP::BATF:10538:	N:MIR::hsa-miR-6510-3p:Corrected:	N:GEXP::MCM5:4174:	N:GEXP::KLHL35:283212:	N:GEXP::SERPINH1:871:	N:GEXP::SGEF:26084:	N:GEXP::PKN1:5585:	N:GEXP::FLRT3:23767:	N:GEXP::TTC9:23508:	N:GEXP::FAM3B:54097:	N:GEXP::RIBC2:26150:	N:GEXP::P4HTM:54681:	N:GEXP::DOK1:1796:	N:GEXP::GEFT:115557:	B:MUTA:LOF:DNAH9::	B:MUTA:COMP:RARA::	N:GEXP::SMC1B:27127:	N:GEXP::DSG1:1828:	N:GEXP::SYTL4:94121:	N:GEXP::STAG3:10734:	N:GEXP::ACPL2:92370:	N:GEXP::ST3GAL2:6483:	N:GEXP::C22orf45:646023:	N:GEXP::MRAS:22808:	N:GEXP::LMO2:4005:	N:GEXP::GIMAP1:170575:	N:GEXP::CDSN:1041:	N:MIR::hsa-miR-34c-5p:Corrected:	N:GEXP::NRBF2:29982:	N:GEXP::TCAM1P:146771:	N:GEXP::C19orf57:79173:	N:GEXP::GCNT2:2651:	N:GEXP::ZNF541:84215:	N:GEXP::FUT3:2525:	N:METH:cg22357700:NA:NA:Island	N:GEXP::PTPN18:26469:	N:METH:cg27199872:RP11-445F12.1:TssD4602:Shore	N:METH:cg26824423:NDRG4:TssD91:Shore	N:GEXP::TCP11:6954:	N:GEXP::PRDM15:63977:	N:GEXP::MAGI2:9863:	N:GEXP::RAPGEFL1:51195:	N:GEXP::LOC254559:254559:	N:GEXP::SLC43A1:8501:	N:MIR::hsa-miR-503-5p:Corrected:	N:MIR::hsa-miR-382-5p:Corrected:	N:GEXP::PLAC8:51316:	N:GEXP::DHFR:1719:	N:METH:cg16673106:ST8SIA4:TssU100:Island	N:GEXP::RAB37:326624:	N:GEXP::DUOXA2:405753:	N:GEXP::ILDR1:286676:	N:GEXP::FAM78A:286336:	N:GEXP::GGTA1:2681:	N:GEXP::HLX:3142:	N:METH:cg04103450:NA:NA:Island	N:GEXP::SASH3:54440:	N:MIR::hsa-miR-149-3p:Corrected:	I:CNVR::PMAIP1:5366:	N:GEXP::RAB42:115273:	N:GEXP::LASS3:204219:	I:CNVR::TRIM29:23650:	I:CNVR::TIMP4:7079:	I:CNVR::RPS7P5:645884:	I:CNVR::MIR1976:100302190:	N:METH:cg24391240:CFAP53:TssU35:Island	N:METH:cg13952336:ZNF540:TssU59:Shore
TCGA-4P-AA8J	HNSC_2	1	122120.0	122.02	100110.0	0	3743.0	6.7786	32203.0	1550.1	2614.7	942.23	5819.8	165.15	134830.0	316.13	2405.2	74.565	0.063899	2259.1	48316.0	25.881999999999998	595.29	660.61	665.8	2876.0	58407.0	1157.3	36294.0	5319.4	477.58	688.95	13935.0	20.336	669.85	147.28	219.38	134.96	1008.2	6.1624	0.0535	0.061502	123.86	180.56	575.57	16457.0	1683.0	445.81	30.195999999999998	3.8373	887.38	198.43	44.369	12423.0	11.709000000000001	0	0	356.8	155.29	0.0	44.369	212.56	12643.0	8.0111	119.55	99.831	136.19	117.08	0.035174000000000004	1711.3	273.61	8.7709	1206.6	138.65	20704.0	13.557	3215.5	926.21	225.54	15.405999999999999	12.940999999999999	308.12	517.64	885.65	0	0	4.3137	124.48	405.49	30.43	214.45	909.57	2.4711	904.64	245.88	133.72	85.65700000000001	11.100999999999999	556.46	7.3949	149.13	85.65700000000001	4.9299	172.55	0.05455499999999999	1125.9	0.13268	0.081731	7.3949	215.07	61.623999999999995	938.53	41.288000000000004	176.86	36.591	28.369	101.68	150.59	0.032157	46.218	113.08	39.439	270.53	79.495	302.57	0.2575	383.3	1.0964	-1	16.022000000000002	693.88	0	-1	0	0	0.021477	0.075801
TCGA-BA-4074	HNSC_2	1	95369.0	21.967	153330.0	0	26541.0	104.05	14630.0	297.85	648.21	641.66	6816.6	686.37	76446.0	1726.1	530.28	661.7	0.04605	1158.5	4096.2	11.947000000000001	638.96	267.07	170.48	2688.4	116.0	396.56	24282.0	3041.4	135.65	210.42	41190.0	532.98	429.7	387.69	740.32	107.91	346.07	3.4684	0.1268	0.091589	82.85700000000001	460.15	133.73	10488.0	3527.0	86.471	154.54	11.985999999999999	254.74	28.518	61.276	5927.2	100.97	0	1	399.64	181.51	0.3854	101.36	165.24	7186.2	7.3223	113.69	79.774	741.47	26.590999999999998	0.056553	315.63	44.70399999999999	0.0	2713.5	16.957	12037.0	30.445	627.4	42.007	76.691	0.7708	25.435	96.345	151.07	295.7	1	0	1.1561	41.621	151.46	82.10600000000001	395.02	536.45	0.0	294.82	102.13	16.186	11.562000000000001	21.404	1006.6	1.5415	16.570999999999998	103.67	61.276	61.276	0.051386	606.59	0.020772	0.11565999999999999	9.6345	86.711	41.621	520.65	812.38	71.296	6.8492	69.348	21.581	350.08	0.032656	18.498	146.89	44.318999999999996	57.806999999999995	14.645	74.37899999999999	0.083939	148.76	0.85615	-1	65.9	1539.6	-1	-1	0	-1	0.029167000000000002	0.069244
TCGA-BA-4076	HNSC_1	1	13375.0	65.59100000000001	13055.0	0	26122.0	20.464000000000002	9218.0	64.793	374.66	1631.9	1155.5	38.83	209720.0	85.531	1039.0	170.54	0.041805	3921.3	177820.0	84.48100000000001	3033.4	195.72	80.283	512.13	5836.0	326.38	1051.5	570.9	88.154	262.36	399500.0	142.73	25.186999999999998	48.275	783.42	89.728	108.09	1.0495	0.4572	0.11130999999999999	174.73	104.42	34.632	1928.9	883.64	30.486	26.236	7.6216	492.72	160.04	136.95	521.58	51.948	0	0	2497.2	244.52	0.5247	18.89	96.359	880.49	5.772	142.73	48.8	439.2	3.6731	0.13072	64.017	48.8	14.699000000000002	1694.3	6.2967	3629.5	5.772	1180.6	728.85	462.81	19.94	29.91	321.13	62.967	252.23	0	1	1.0495	22358.0	69.789	5.8035	147.45	999.61	0.0	148.5	75.561	7.8709	2352.3	0.0	1954.1	5.2473	77.66	22.563000000000002	12.594000000000001	674.8	0.04337	250.82	0.46596000000000004	0.13706	1.5742	235.6	22.563000000000002	3345.7	26.236	33.058	2.722	20.143	24.136999999999997	238.96	0.035724	12.069	92.189	138.53	49.849	24.136999999999997	41.453	0.67276	73.462	0.5444	-1	1.5742	1394.7	-1	-1	0	0	0.023893	0.088905
TCGA-BA-4078	HNSC_3	1	66680.0	158.56	96435.0	0	20790.0	527.94	17317.0	882.59	561.56	12709.0	4867.3	30503.0	107360.0	157.53	704.86	3941.8	0.046656	1629.3	850.49	3.3626	873.51	286.08	357.07	3110.2	17382.0	411.8	4660.9	1762.8	257.11	245.47	26998.0	4571.9	86.135	1065.2	4105.3	129.07	698.65	12.157	0.6272399999999999	0.058762	666.58	284.79	576.05	15387.0	1313.0	243.25	1352.3	23.745	870.41	176.15	59.233999999999995	1249.9	908.69	0	0	726.59	260.48	0.5173	295.4	64.286	7023.3	15.261	996.64	137.35	867.05	22.504	0.036180000000000004	864.98	51.733000000000004	99.036	6747.5	6.4666	8339.4	1458.9	700.21	1270.6	86.39399999999999	547.08	5.1733	292.55	281.17	454.22	0	0	8.0186	109.42	193.22	21.781999999999996	1413.9	533.88	6.984	304.45	239.78	48.37	11.380999999999998	15.058	413.09	35.178000000000004	81.48	225.81	6.7253	44.49	0.035381	913.87	0.021303	0.10222	2.0693	439.47	217.8	2145.1	442.58	106.05	7.529	36.486999999999995	1425.5	525.44	0.045783	21.469	35.843	286.6	151.32	100.1	78.376	0.052328	314.8	2.3166	0	49.663999999999994	1275.5	-1	-1	0	-1	0.2451	0.039330000000000004
TCGA-BA-5149	HNSC_1	0	25566.0	0.0	26746.0	0	18802.0	5.1335	26227.0	1.5058	564.0	638.95	516.09	54.757	485530.0	224.85	1278.9	74.60600000000001	0.078073	10.950999999999999	115700.0	2.0534	3369.6	31.485	107.48	967.15	29.432	818.62	1603.0	1061.6	149.21	437.71	204320.0	22.587	202.94	66.735	257.36	78.37100000000001	488.36	0.6845	0.09545	0.10545999999999998	509.93	60.233000000000004	8.898	6465.8	285.76	707.82	1.7112	15.956	202.94	1.3689	36.275999999999996	972.96	6.1602	0	1	1759.4	313.83	1.3689	18.137999999999998	260.19	1224.2	0.3422	194.04	48.597	570.16	12.32	0.094014	334.36	50.992	6.1697	2454.1	1.0267	9051.3	3.7645	417.52	12.663	62.628	1.7112	37.988	60.233000000000004	83.162	49.613	0	1	5.8179	4061.9	39.699	8.5558	38.672	515.06	0.0	111.22	78.37100000000001	31.143	1614.7	9.361	783.02	7.5291	23.956	4.449	0.3422	43.806000000000004	0.10322	391.51	0.31446	0.17259000000000002	5.8179	185.83	9.5825	765.57	23.614	28.063000000000002	11.276	15.105	20.192	564.09	0.038516	3.7645	47.2	79.74	56.81	32.512	84.531	0.65332	131.76	1.0637	-1	8.2136	925.74	-1	-1	0	1	0.04081	0.0743
TCGA-BA-5151	HNSC_1	1	11713.0	8.0053	20205.0	0	32502.0	23.749000000000002	8067.4	10.412	270.58	1280.8	230.82	56.571000000000005	413850.0	305.0	1423.1	97.398	0.07117899999999999	77.385	181050.0	118.21	2994.5	81.654	123.91	843.5	1093.0	591.86	1058.3	1092.2	321.28	748.23	351320.0	104.07	117.68	74.983	416.54	33.622	343.43	0.2668	0.062353	0.15419000000000002	145.96	105.67	14.142999999999999	6040.3	445.36	876.63	6.938	7.5248	396.8	602.53	7.4716	417.08	151.57	0	1	2268.2	789.33	0.8005	26.151	314.16	1466.8	0.8005	309.01	19.747	226.28	7.2048	0.054782000000000004	349.57	42.695	5.6436	1101.0	10.407	4716.5	11.207	330.89	1592.5	1375.6	2.6684	7.7385	66.17699999999999	68.312	67.72	0	1	0.8005	28811.0	42.428000000000004	2.7352	63.50899999999999	317.55	0.5337	190.26	262.84	43.763000000000005	8905.1	4.703	1490.6	0.0	62.708999999999996	15.477	1.6011	908.34	0.051111000000000004	645.23	0.26208000000000004	0.14654	0.2668	232.16	25.616999999999997	2160.9	4.2695	56.303999999999995	3.7624	26.337	31.755	290.15	0.082986	38.426	70.14	92.061	117.14	53.102	60.04	0.5338	252.7	0.9405899999999999	1	6.6711	2865.1	0	0	0	0	0.2584	0.10206
TCGA-BA-5152	HNSC_4	1	7823.3	1107.4	17885.0	0	8265.0	28.441999999999997	11349.0	12.554	205.45	1774.9	346.44	31.468000000000004	467030.0	154.01	681.39	610.59	0.066117	40.242	179770.0	633.28	755.82	141.3	182.48	498.34	246340.0	1112.0	1351.0	1503.5	276.25	1658.1	110250.0	290.47	87.74600000000001	52.648	707.11	98.336	1799.1	0.6051	0.042374	0.080218	157.64	143.42	720.42	3425.4	584.27	599.82	18.759	21.099	310.74	522.24	3.0257	894.71	1987.3	0	0	682.9	133.43	0.0	27.837	309.79	1037.5	1.2103	113.77	11.8	212.71	6.0514	0.06496299999999999	202.12	191.83	9.7123	3159.8	7.8669	5076.6	45.083	1238.4	108.93	250.83	66.566	36.914	185.17	125.57	68.366	0	0	0.3026	222.69	183.06	10.363	172.77	309.53	0.6051	413.31	302.57	56.278	10.287	132.62	790.01	3.9334	82.29899999999999	23.903000000000002	2.7231	1539.2	0.049191000000000006	722.54	0.085756	0.13709000000000002	0.6051	84.115	13.312999999999999	3140.4	9.9849	37.519	18.755	7.3679	585.17	257.59	0.14503	29.349	1058.2	351.59	147.66	128.59	74.13	0.54468	422.39	3.3491	-1	5.4463	2623.0	0	0	-1	-1	0.24774000000000002	0.069135
TCGA-BA-5153	HNSC_5	0	5565.5	2216.5	11068.0	0	1119.3	2593.1	12155.0	466.14	610.5	8008.0	463.64	7985.4	9605.1	52.248000000000005	334.2	3568.4	0.64882	627.44	2310.7	114.38	2244.8	37.185	224.55	997.41	169980.0	1073.7	838.32	2668.9	359.14	577.08	56735.0	1571.2	2249.9	649.57	2137.0	165.69	1399.9	231.58	0.52222	0.11762	1145.2	211.34	1517.5	1941.2	247.59	1370.3	91.786	175.23	764.41	211.81	589.32	122.85	343.61	0	1	108.26	14.120999999999999	61.662	12.238	237.59	2378.9	16.474	3462.5	29.654	565.78	4.707	0.046245	55.071999999999996	117.2	128.66	7589.6	30.595	1765.1	1562.2	1101.0	13.65	295.6	1694.0	296.54	283.36	159.57	47.07	1	0	694.28	17.416	149.68	2302.1	712.64	595.43	72.017	91.316	168.51	128.97	10.355	2.3680000000000003	430.69	186.87	115.79	395.39	697.58	197.69	0.5653199999999999	887.74	0.026549	0.14311	236.29	801.13	27.771	2757.8	1084.0	62.603	10.261	3.9467	1526.0	1239.2	0.17035999999999998	74.37	195.51	1823.0	316.31	54.601000000000006	101.67	0.14983	827.02	3.9467	0	411.86	152.04	-1	0	0	0	0.02383	0.025889
TCGA-BA-5555	HNSC_4	1	5796.4	237.16	29934.0	0	16799.0	385.14	5138.4	1603.2	237.8	3816.2	201.62	12313.0	212460.0	43.942	546.37	2251.7	0.077004	11121.0	36446.0	502.1	2077.5	65.913	151.39	280.77	34099.0	333.44	1189.0	585.14	235.22	337.0	51560.0	2002.9	122.46	279.81	3761.2	208.4	668.17	0.0	0.17661	0.056001	255.25	274.31	498.55	1902.8	405.49	490.1	199.03	5.9618	452.67	624.56	9.0468	264.62	514.7	1	0	2219.4	30.372	0.3231	55.574	321.06	993.54	2.2617	509.21	15.832	433.6	1.6155	0.044072	96.93	118.58	9.9948	5959.0	26.171	13902.0	613.25	610.34	6.462000000000001	1854.9	53.958	2.2617	206.78	166.07	256.98	0	0	0.3231	410.02	82.068	20.207	634.57	261.07	0.6462	126.66	159.94	53.312	118.25	119.41	358.64	46.85	63.005	358.64	34.895	516.96	0.078235	680.77	0.033783	0.10704000000000001	200.32	342.81	39.418	3508.9	63.651	306.95	0.87674	10.345999999999998	57.18899999999999	219.46	0.037486	20.032	405.25	174.8	79.806	38.449	93.053	0.049431	248.47	0.0	1	13.892999999999999	702.75	-1	-1	1	0	0.40806	0.089982
TCGA-BA-5556	HNSC_1	0	41813.0	195.68	10738.0	0	21054.0	113.36	15632.0	89.71700000000001	414.31	696.69	114.37	231.78	369620.0	48.92	1031.4	323.21	0.08871799999999999	572.54	251690.0	283.06	2052.6	29.015	257.87	314.1	52092.0	2143.7	1859.3	1577.6	390.01	1107.6	175070.0	170.38	106.28	62.753	266.87	53.306000000000004	1645.8	0.0	0.081352	0.13305	226.38	89.744	106.95	2501.7	244.6	3349.5	12.145999999999999	11.546	313.09	639.34	4.0486	881.24	350.2	0	1	2333.0	750.0	1.6869	25.304000000000002	449.9	861.0	0.6748	452.77	24.629	266.87	4.7233	0.041061	175.44	229.42	1.9243	1980.8	16.532	5265.5	16.869	661.94	1301.6	1160.9	86.37	22.941999999999997	78.273	151.48	31.039	0	1	1.3495	6748.6	70.513	15.937999999999999	105.6	505.06	0.3374	197.37	315.79	154.52	1464.2	18.473	566.13	0.0	45.88399999999999	46.221000000000004	5.0607	952.77	0.058989	947.03	0.16477	0.19239	1.6869	239.88	16.194000000000003	2308.7	24.965999999999998	36.1	7.3124	6.9275	402.16	301.73	0.2746	35.763000000000005	369.04	173.08	365.38	72.2	88.39399999999999	0.25941	783.06	0.76973	0	11.808	2187.6	1	0	0	0	0.18175	0.051754999999999995
