THCA	Labels	N:GEXP::FN1:2335:	B:MUTA:COMP:BRAF::	B:MUTA:nons:BRAF::	B:MUTA:HOTS:BRAF:pV600:	N:GEXP::CLDN1:9076:	N:GEXP::NQO1:1728:	B:MUTA:HOTS:NRAS:pQ61:	N:GEXP::IGF1R:3480:	N:GEXP::C17orf28:283987:	B:MUTA:nons:NRAS::	B:MUTA:COMP:NRAS::	N:MIR::hsa-miR-3074-5p:Corrected:	N:GEXP::PRR15:222171:	N:GEXP::PDK4:5166:	N:GEXP::PROS1:5627:	N:GEXP::RET:5979:	N:GEXP::TMEM116:89894:	N:MIR::hsa-miR-21-5p:Corrected:	B:MUTA:COMP:HRAS::	N:GEXP::TACSTD2:4070:	N:GEXP::ETV5:2119:	N:MIR::hsa-miR-96-5p:Corrected:	N:GEXP::RPS6KA2:6196:	N:GEXP::MDFIC:29969:	N:GEXP::ATRNL1:26033:	B:MUTA:nons:HRAS::	N:GEXP::STON2:85439:	N:GEXP::TMEM215:401498:	N:GEXP::PLEKHA6:22874:	N:GEXP::PTPRE:5791:	N:GEXP::RUNX2:860:	N:GEXP::TMPRSS6:164656:	N:GEXP::CLCN2:1181:	N:MIR::hsa-miR-125b-1-3p:Corrected:	B:MUTA:HOTS:HRAS:pQ61:	N:GEXP::C15orf23:90417:	N:GEXP::PDLIM4:8572:	N:GEXP::HGD:3081:	N:GEXP::B3GAT1:27087:	N:GEXP::AGPAT5:55326:	N:MIR::hsa-miR-195-5p:Corrected:	N:GEXP::ENTPD1:953:	N:GEXP::MTRF1:9617:	N:GEXP::PLCH2:9651:	N:MIR::hsa-miR-6715a-3p:Corrected:	N:GEXP::AHNAK:79026:	N:METH:cg07809452:FGFRL1:TssD873:Island	N:GEXP::ETV6:2120:	N:GEXP::SLIT1:6585:	N:GEXP::EPHA1:2041:	N:GEXP::PVRL4:81607:	N:GEXP::RBPJ:3516:	N:GEXP::LRRK2:120892:	N:MIR::hsa-miR-7704:Corrected:	N:GEXP::LOC389332:389332:	N:GEXP::KLHDC8A:55220:	N:GEXP::FAM176A:84141:	N:GEXP::DUSP2:1844:	N:METH:cg25339408:AC016700.5:TssD987:Island	N:GEXP::NSUN5P2:260294:	N:GEXP::POLG2:11232:	N:METH:cg01037890:PHYHIPL:TssD29:Island	N:GEXP::HDHD2:84064:	N:GEXP::RPS6KL1:83694:	N:MIR::hsa-miR-92b-5p:Corrected:	N:METH:cg15816267:HLA-E:TssD758:Island	N:GEXP::CRYL1:51084:	N:MIR::hsa-miR-335-5p:Corrected:	N:MIR::hsa-miR-485-5p:Corrected:	N:GEXP::HSF4:3299:	N:METH:cg02604675:HELT:TssU1194:Shore	N:METH:cg04655365:SERF2:TssD468:Shore	N:METH:cg27015057:SPRY4:TssD37:Island	N:GEXP::NSUN5P1:155400:	I:CNVR::CRELD2:79174:	N:GEXP::KCNAB1:7881:	N:GEXP::LLGL1:3996:	N:METH:cg11203377:MDK:TssU256:Island	N:GEXP::C15orf43:145645:	N:METH:cg00860370:RP11-153F1.1:TssU15:Island	N:METH:cg06161720:SNX6:TssU81:Island	N:GEXP::FAM153B:202134:	N:GEXP::C1orf130:400746:	N:GEXP::LOC150197:150197:	N:GEXP::KCNV1:27012:	N:GEXP::PDIA5:10954:	N:GEXP::GABRB3:2562:	I:CNVR::SPECC1:92521:	N:GEXP::TRIP12:9320:	N:GEXP::ZP4:57829:	N:METH:cg18695917:FSTL5:TssU154:NA	I:CNVR::KMT2C:58508:	N:METH:cg19557422:BTBD10:TssD658:Shore	N:METH:cg27243389:ALOX5:TssD26:Island	N:METH:cg04028010:BCR:TssD76:Shore	N:METH:cg07307975:CTD-2589M5.5:TssD684:Island
TCGA-BJ-A0YZ	THCA_2	16137.0	0	0	0	1987.1	2017.1	0	2325.3	308.62	0	0	6.632000000000001	29.154	987.09	502.71	7.9134	617.66	56073.0	0	6125.4	427.32	24.127	2099.5	1479.0	4.1649	0	1067.5	0.0	200.33	162.02	60.808	3.7484	91.62899999999999	1.9439	0	271.97	68.721	413.58	4.5814	433.99	59.802	1319.0	85.79799999999999	4.5814	2.1726	21500.0	0.029074000000000003	836.32	16.66	279.05	19.159000000000002	628.49	71.22	0.5717300000000001	0.833	663.47	231.15	1.666	0.053437	207.16	88.713	0.051347000000000004	1110.8	114.95	0.34303	0.15200999999999998	611.41	13.607000000000001	0.0	43.431999999999995	0.08800000000000001	0.028248000000000002	0.02417	53.728	0	553.52	366.1	0.088801	1.2495	0.014993000000000001	0.080077	0.833	230.74	24.573	58.725	382.34	35.402	0	3261.1	0.0	0.036913999999999995	0	0.07974500000000001	0.050672	0.02171	0.06929400000000001
TCGA-BJ-A0Z0	THCA_2	1951.2	0	0	0	1433.2	3778.5	0	2800.5	825.59	0	0	23.204	473.79	2757.9	539.34	0.3948	150.03	33423.0	0	203.34	2929.2	18.339000000000002	5663.8	894.68	45.405	0	451.68	2607.8	39.483000000000004	230.19	36.719	38.693000000000005	95.943	4.4911	0	724.9	356.13	1015.1	474.19	737.54	25.636999999999997	2992.8	116.47	100.29	56.326	9293.1	0.069583	859.93	125.95	411.81	157.54	637.25	2806.8	0.93565	4.7379	1406.8	18.557000000000002	2.7638	0.42763	113.48	105.81	0.068369	1652.8	11.055	0.37426	0.1352	1465.6	11.040999999999999	0.0	47.103	0.089367	0.14768	0.037556	35.929	0	5879.4	530.25	0.26461999999999997	0.0	0.19347	0.25599	3.5534	682.26	37.114000000000004	16.977999999999998	1669.3	1023.4	0	3958.5	0.0	0.048637	0	0.08544500000000001	0.02444	0.35488000000000003	0.079555
TCGA-BJ-A0Z2	THCA_3	5229.1	0	0	0	3998.6	10933.0	0	3158.1	1352.2	0	0	4.1206	2041.1	4472.3	1429.6	1.4253	301.7	35814.0	1	30.406999999999996	2198.4	29.478	5746.1	743.56	151.09	1	102.15	1320.8	18.529	578.22	77.919	2.8507	143.96	3.9621	1	949.76	281.74	541.63	1701.4	1365.5	14.581	10723.0	118.3	52.738	18.701	5202.0	0.064069	701.27	2618.7	67.942	131.13	546.38	10861.0	1.9018	6.1765	3538.7	17.579	28.031999999999996	0.45605	648.42	142.53	0.44033	1452.0	18.054000000000002	0.79243	0.26050999999999996	1360.3	19.969	0.0	615.35	0.10365999999999999	0.067031	0.02153	165.34	-1	4086.5	562.54	0.24833000000000002	0.0	0.014387	0.092767	41.335	786.32	47.036	65.566	1593.1	3051.7	0	2685.3	0.0	0.047073000000000004	0	0.09407	0.08462	0.017843	0.085213
TCGA-BJ-A0Z3	THCA_1	292530.0	1	1	1	9566.3	1391.6	0	3094.9	526.45	0	0	3.367	4659.8	3649.6	5670.4	376.86	141.75	149280.0	0	23348.0	1971.9	4.9211	4204.0	1975.0	12.03	0	473.62	174.18	489.83	1336.4	465.77	961.36	75.58	5.1801	0	353.32	3196.9	35.044000000000004	1088.2	603.33	45.326	4437.5	81.857	53.611999999999995	0.259	23900.0	0.024086	1045.6	36.09	234.32	823.01	647.01	3962.6	1.6835	0.2615	162.14	444.07	461.85	0.036150999999999996	245.7	124.48	0.046089	1115.4	26.414	0.64751	0.08988	722.59	20.073	0.1295	27.264	0.047299	0.065742	0.038025	113.5	0	271.98	1344.2	0.064251	0.0	0.065139	0.10224	1.5691	193.0	10.722999999999999	19.090999999999998	637.59	14.645	0	3695.3	0.0	0.084482	0	0.050955	0.032012	0.31908000000000003	0.080987
TCGA-BJ-A0Z5	THCA_2	152830.0	0	0	0	8316.4	2126.3	0	3144.4	472.05	0	0	1.1155	899.63	856.01	9681.2	2.9931	147.09	126120.0	0	24599.0	2070.3	11.713	5446.5	1249.4	3.8482	0	202.25	217.21	840.19	2238.4	348.9	363.87	122.72	1.6732	0	435.7	2658.7	68.84	1056.5	673.01	17.29	7385.1	76.109	396.79	0.0	10976.0	0.019547	683.27	1211.8	261.25	1042.0	566.11	6558.6	1.6732	1.2827	501.55	203.96	104.76	0.050489	442.08	85.088	0.034064	1128.0	18.386	0.55774	0.079631	1151.0	17.848	0.0	166.91	0.057772000000000004	0.052603	0.020331000000000002	164.19	-1	105.61	1275.5	0.059205999999999995	0.0	0.01326	0.14572000000000002	19.241	774.35	26.081999999999997	32.068000000000005	320.68	151.36	0	2318.8	0.0	0.06876499999999999	0	0.41193	0.023966	0.075865	0.061285
TCGA-BJ-A0Z9	THCA_1	791310.0	1	1	1	24273.0	2862.8	0	3250.4	461.35	0	0	0.0	232.92	2142.1	9047.4	15.96	110.22	370500.0	0	3224.4	2078.3	28.131999999999998	7419.4	2916.7	30.923000000000002	0	399.5	7.4813	163.59	1260.8	203.49	11.97	122.19	18.085	0	932.67	3905.2	24.439	1271.8	584.04	11.052	4461.8	64.83800000000001	22.943	0.0	23462.0	0.028532	1017.5	43.391999999999996	184.04	1026.9	652.37	1149.1	1.0047	0.0	387.53	888.28	40.898	0.39163000000000003	195.1	64.339	0.034088	784.54	6.4838	2.0095	0.08243099999999999	674.81	7.0331	0.0	29.88	0.086352	0.048873	0.019886	61.845	0	45.885	1859.3	0.13525	0.0	0.42105	0.32903000000000004	1.4963	65.337	1.995	64.83800000000001	350.12	2.4938	0	3592.5	0.0	0.072101	0	0.064925	0.024399	0.074293	0.098113
TCGA-BJ-A0ZA	THCA_3	5111.5	0	0	0	2035.0	3814.7	0	3112.5	975.75	0	0	10.607000000000001	510.33	9719.3	2262.5	2.9692	223.8	54124.0	0	236.79	2501.2	23.487	5676.0	865.89	194.85	0	90.189	3050.1	17.444000000000003	281.33	53.074	63.838	92.416	4.5459	0	1585.5	125.45	1456.8	1091.2	1025.5	25.76	4969.7	76.828	15.588	56.824	10041.0	0.10782	522.95	3296.8	390.82	34.516999999999996	522.58	5688.2	0.75765	14.845999999999998	3084.2	28.95	36.373000000000005	0.059885	242.41	118.77	0.050283	1467.9	54.93	0.75765	0.15185	1054.8	23.487	0.0	132.56	0.078218	0.14875	0.019611	93.15899999999999	0	4309.8	407.15	0.22019	0.0	0.050556	0.1225	8.5364	839.54	38.971	30.805	2043.2	1253.0	1	3510.7	0.0	0.10640999999999999	0	0.064174	0.040128	0.059837	0.07556
TCGA-BJ-A0ZB	THCA_1	383180.0	1	1	1	6118.1	2041.6	0	3514.8	306.89	0	0	2.9073	1304.9	832.7	11470.0	13.034	134.49	185000.0	0	23588.0	1874.5	18.055999999999997	5309.3	1554.0	4.7397	0	301.27	80.575	576.76	2281.6	505.07	583.57	114.64	5.2026	0	281.12	3260.9	23.698	1104.0	466.27	46.211000000000006	4979.0	62.801	170.93	0.30604000000000003	19768.0	0.015011000000000002	893.43	267.19	227.5	1120.3	645.78	4659.1	5.2026	0.0	372.66	296.53	69.91	0.041497000000000006	385.83	120.86	0.17267000000000002	1171.6	8.8869	0.61207	0.063661	1199.7	22.647	0.30604000000000003	112.63	0.070123	0.047054	0.022074	150.49	0	55.099	1238.0	0.041214999999999995	0.0	0.011581000000000001	0.15129	4.4435	677.48	22.217	13.923	331.78	9.7756	0	3162.0	0.0	0.036746	0	0.06758	0.016584	0.081978	0.069525
TCGA-BJ-A0ZC	THCA_2	7543.1	0	0	0	41.138000000000005	2710.3	0	1828.9	457.33	0	0	15.552999999999999	10.503	1359.3	278.77	1.3129	338.29	46107.0	0	32.823	200.0	30.991999999999997	3210.9	1205.7	3.0635	0	629.76	0.0	29.759	107.66	14.442	0.4376	98.906	2.7446	0	612.69	13.129000000000001	1875.3	492.34	613.13	74.906	1735.7	120.35	490.15	58.208999999999996	9197.8	0.027942	1004.8	4.3764	409.19	21.006999999999998	599.56	73.085	1.0292	1.3129	22.756999999999998	21.881999999999998	8.7527	0.22621	131.91	119.47	0.11703	1454.3	138.29	0.0	0.11074	913.79	12.808	0.0	22.753	0.09385	0.36567	0.040362999999999996	39.387	0	1554.9	485.78	0.17542	0.0	0.027884	0.10947	1.7505	294.97	37.637	4.3764	1147.0	1763.7	0	3722.1	0.0	0.036418	0	0.14765999999999999	0.066694	0.14364000000000002	0.055779999999999996
TCGA-BJ-A0ZE	THCA_3	1958.7	0	0	0	2169.8	9185.8	0	1098.3	1212.6	0	0	9.846	575.97	16366.0	2540.3	4.235	333.86	38188.0	0	67.055	3062.6	27.956	9979.9	561.14	23.293000000000003	0	158.81	1295.9	50.821000000000005	222.34	8.4701	168.7	87.524	4.3955	0	1956.6	127.05	1457.6	1061.6	1071.5	7.0328	17064.0	58.585	57.173	19.516	4742.5	0.035289999999999995	590.08	594.73	254.81	50.115	620.43	10819.0	2.8131	2.1175	2378.7	17.646	4.9409	0.098468	199.97	79.76	0.045022	2133.8	43.762	0.0	0.16692	1264.9	13.89	0.0	108.64	0.10705	0.062546	0.022039	117.17	0	2042.7	407.27	0.25421	0.0	0.017882	0.081968	0.7058	763.72	23.293000000000003	49.409	1337.6	2675.8	0	2524.1	0.0	0.041458	0	0.077159	0.080791	0.074972	0.049614
