COADREAD	Labels	B:MUTA:nons:TP53::	B:MUTA:COMP:MLH1::	N:GEXP::MLH1:4292:	N:METH:cg00893636:MLH1:TssU2:Island	N:METH:cg04274487:RAB31:TssD133:Island	B:MUTA:LOF:MLH1::	N:METH:cg03414321:HCK:TssD21:Island	B:MUTA:COMP:SFRP5::	N:GEXP::GNAS:2778:	N:GEXP::CCND2:894:	N:GEXP::RNF128:79589:	N:METH:cg16884569:RASSF2:TssD656:Island	N:METH:cg23764381:ATRNL1:TssU438:Island	N:METH:cg10182321:STK32B:TssU777:Shore	N:GEXP::GPX2:2877:	N:METH:cg11476211:PRKCE:TssU216:Island	N:METH:cg01888411:ABTB2:TssD1263:Island	N:GEXP::CXCL14:9547:	N:METH:cg02982690:BHLHE22:TssU79:Shore	N:GEXP::EPM2AIP1:9852:	N:METH:cg19187185:RRAGD:TssU507:Shore	N:METH:cg16580737:MME:TssU57:Island	N:METH:cg09542745:SFRP5:TssD546:Island	N:GEXP::ATP5A1:498:	N:GEXP::PRR15:222171:	N:METH:cg18416881:AKR1B1:TssD28:Island	N:METH:cg02136132:KCNK13:TssU219:Island	N:METH:cg09979256:RSPO3:TssU80:Island	N:GEXP::DDX27:55661:	N:METH:cg19803671:UBE2E2:TssD600:Shore	N:GEXP::SLC25A3:5250:	N:METH:cg10073723:BMPER:TssU311:Island	N:METH:cg13436799:LRP2:TssD48:Island	B:MUTA:LOF:CUL1::	N:METH:cg25179291:FNBP1:TssU265:Island	N:METH:cg24009736:B4GALNT1:TssD89:Island	N:METH:cg07744166:WASF3:TssU357:Shore	N:METH:cg22188495:PRICKLE1:TssU308:Shore	N:METH:cg09185773:WASF3:TssD885:Shore	N:GEXP::TCF7:6932:	N:METH:cg19237753:SIRPA:TssD272:Shore	N:METH:cg25924032:BMS1:TssD99:Island	N:METH:cg05702737:WNT10A:TssD211:Island	N:METH:cg09470640:PTPRO:TssD316:Shore	N:METH:cg17347389:TRIM9:TssD134:Shore	N:METH:cg06150468:BATF3:TssU757:Shore	N:METH:cg23096644:SGCE:TssD777:Shore	N:GEXP::C10orf99:387695:	N:METH:cg18762485:CH25H:TssU93:Shore	N:METH:cg25917510:HOXC8:TssU3:Island	N:GEXP::LRP4:4038:	N:GEXP::PBK:55872:	I:CNVR::METTL16:79066:	B:MUTA:LOF:KCNQ5::	N:GEXP::TPD52L2:7165:	N:GEXP::LRP1:4035:	N:METH:cg03770147:KLF7:TssD460:Shore	N:METH:cg22967284:SLIT1:TssU214:Island	N:METH:cg18244915:ZNF570:TssU35:Shore	N:GEXP::EN2:2020:	N:GEXP::CACNA2D2:9254:	N:METH:cg08228917:LHFP:TssD247:Island	N:METH:cg08478189:KLF7:TssD4:Shore	N:METH:cg09339301:QKI:TssD18:Island	N:METH:cg01803238:BCL2:TssD20:Island	N:GEXP::QPCT:25797:	N:GEXP::APOL3:80833:	N:MIR::hsa-miR-6715b-3p:Corrected:	N:METH:cg07806164:UBE2E2:TssD34:Island	N:GEXP::KDSR:2531:	N:GEXP::AXIN2:8313:	N:GEXP::NDUFC2:4718:	N:GEXP::FDFT1:2222:	B:MUTA:COMP:WWC1::	B:MUTA:nons:MACF1::	N:METH:cg17885062:NRCAM:TssD349:Island	N:METH:cg03884783:ZNF569:TssD114:Island	I:CNVR::ZNF396:252884:	I:CNVR::CDH19:28513:	N:GEXP::PXMP4:11264:	N:MIR::hsa-miR-34c-5p:Corrected:	N:MIR::hsa-miR-212-3p:Corrected:	N:MIR::hsa-miR-625-5p:Corrected:	N:MIR::hsa-miR-195-3p:Corrected:	N:METH:cg15628498:ONECUT1:TssD374:Island	N:METH:cg15205507:ZNF331:TssD44:Island	I:CNVR::PIK3C3:5289:	I:CNVR::ZNF397:84307:	I:CNVR::C18orf21:83608:	N:METH:cg02407785:PCDH9:TssD293:Shore	N:GEXP::POFUT1:23509:	N:GEXP::ZMYND8:23613:	I:CNVR::YTHDF2:51441:	N:METH:cg03100040:ZNF345:TssD37:Island	B:MUTA:nons:ACVR2A::	I:CNVR::LOXHD1:125336:	N:METH:cg13843773:C4orf22:TssU64:Shore	I:CNVR::DSC3:1825:	N:GEXP::PLAGL2:5326:	I:CNVR::RNF133:168433:	N:METH:cg22634689:TMEM121:TssU80:Island	I:CNVR::ZNF24:7572:	N:GEXP::MOCS3:27304:	N:GEXP::KCNRG:283518:	N:GEXP::INTS10:55174:	I:CNVR::BCL2:596:	I:CNVR::SLC25A52:147407:	I:CNVR::CELF4:56853:	I:CNVR::PCAT18:728606:	I:CNVR::SMAD7:4092:	I:CNVR::CDH2:1000:	N:METH:cg26829131:HOXC-AS1:TssD30:Island	N:GEXP::PAX9:5083:	N:GEXP::ST6GAL1:6480:	N:GEXP::RPS27A:6233:	I:CNVR::SERPINB7:8710:	N:GEXP::PIGU:128869:	N:GEXP::GNG4:2786:	N:GEXP::LYG1:129530:	N:GEXP::YBX1:4904:	I:CNVR::CSTF2T:23283:	I:CNVR::CDH13:1012:	N:MIR::hsa-miR-3131:Corrected:	N:MIR::hsa-miR-206:Corrected:	N:MIR::hsa-miR-450a-5p:Corrected:	N:GEXP::OCRL:4952:	N:GEXP::DEFA5:1670:	B:MUTA:HOTS:PIK3CA:pE545:	N:GEXP::RNF160:26046:	N:GEXP::RPL37:6167:	N:GEXP::RPL12:6136:	B:MUTA:LOF:SOX9::	N:MIR::hsa-miR-128-1-5p:Corrected:	N:MIR::hsa-miR-92a-1-5p:Corrected:	N:MIR::hsa-miR-339-3p:Corrected:	N:GEXP::R3HDML:140902:	N:MIR::hsa-miR-6718-5p:Corrected:	I:CNVR::SNORA37:677819:	I:CNVR::RAB9BP1:9366:	B:MUTA:COMP:KANSL1::	N:MIR::hsa-miR-491-5p:Corrected:	N:MIR::hsa-miR-33b-5p:Corrected:	I:CNVR::GALNT13:114805:	B:MUTA:HOTS:PCBP1:pL102:	B:MUTA:HOTS:SMAD2:pS464:	B:MUTA:nons:WWC1::	B:MUTA:HOTS:KRAS:pA146:	I:CNVR::OC90:729330:	I:CNVR::RBFOX3:146713:	I:CNVR::CTB-118N6.3:101927233:	I:CNVR::LINC00659:100652730:	I:CNVR::ZNF716:441234:	I:CNVR::RP11-452N4.1:286094:	I:CNVR::SYN3:8224:	I:CNVR::GMDS:2762:	N:GEXP::CYP51A1:1595:	N:GEXP::LCN15:389812:	N:MIR::hsa-miR-323b-3p:Corrected:
TCGA-3L-AA1B	COADREAD_2	0	0	566.73	0.054957000000000006	0.27016	0	0.027783	0	19354.0	7426.5	3730.7	0.37772	0.023357	0.15365	12007.0	0.031845	0.27379000000000003	6650.4	0.45963000000000004	631.04	0.042825	0.2984	0.21209	6457.9	3157.2	0.54461	0.077089	0.56217	2311.4	0.13627	9514.5	0.034122	0.075988	0	0.029543	0.45081000000000004	0.44076000000000004	0.078832	0.564	1544.5	0.07832	0.28335	0.06688999999999999	0.51458	0.07286799999999999	0.12792	0.49701000000000006	1414.4	0.058312	0.037079	10456.0	393.62	-1	1	2772.7	12801.0	0.035229	0.10926	0.10132000000000001	99.13	398.94	0.033500999999999996	0.044582	0.32632	0.037755000000000004	2669.2	374.76	1.6941	0.092433	850.58	17315.0	1718.1	4505.8	0	0	0.38033	0.05959	-1	-1	383.95	0.7905800000000001	3.2752	1.6941	2.0329	0.033206	0.5321100000000001	-1	-1	-1	0.20357999999999998	3428.4	2798.8	0	0.04963	0	-1	0.033193	-1	2609.8	1	0.043762999999999996	-1	362.19	8.0754	1533.8	-1	-1	-1	-1	-1	-1	0.18721	62.379	2316.7	11558.0	-1	1103.0	1380.6	14.023	8679.4	0	0	0.11294000000000001	0.11294000000000001	4.2917	2275.6	3164.9	1	557.54	21437.0	18273.0	0	2.4847	3.8399	3.8399	8.7041	0.11294000000000001	-1	1	0	0.90351	0.45176000000000005	1	0	0	0	0	1	1	1	1	1	1	0	0	2751.9	6.7698	1.4682
TCGA-4N-A93T	COADREAD_2	1	0	471.21	0.047262	0.63322	0	0.02431	0	20415.0	306.24	1540.4	0.028152999999999997	0.031705000000000004	0.059787	17454.0	0.031	0.40695	987.9	0.023911	817.61	0.035815	0.055663	0.29491999999999996	6223.0	3581.5	0.45553	0.030767000000000003	0.7099	2613.4	0.14857	8233.7	0.030174	0.39297	0	0.051106	0.052025999999999996	0.51617	0.099366	0.76108	940.49	0.14351	0.21393	0.04515	0.61444	0.050591000000000004	0.53688	0.3276	3657.0	0.039108	0.032405	219.98	96.275	-1	1	3294.6	5658.0	0.035324	0.036275	0.12574000000000002	221.58	44.50899999999999	0.037066	0.046276	0.08832899999999999	0.037268	1078.4	64.344	0.5888399999999999	0.095	1070.2	2205.6	2498.3	2941.5	0	0	0.050455	0.078553	-1	-1	637.15	0.8243799999999999	2.9442	2.7087	2.0021	0.027186000000000002	0.051475	-1	-1	-1	0.20298	3905.2	1202.2	-1	0.042839	0	-1	0.042157	-1	1382.7	0	0.070512	-1	348.33	12.859000000000002	537.98	-1	-1	-1	-1	-1	-1	0.070799	39.671	3487.7	9628.5	-1	1305.3	1217.2	7.7407	6890.2	0	0	1.6488	2.5909	8.3616	1226.9	9.1921	0	517.17	20436.0	14965.0	0	3.4153	3.5331	8.9504	20.319000000000003	0.11777	-1	0	0	1.1777	4.7107	0	0	0	0	0	0	1	0	1	1	0	-1	0	3505.6	0.0	2.2376
TCGA-4T-AA8H	COADREAD_2	0	0	483.28	0.042512	0.34181999999999996	0	0.079288	0	11560.0	8299.0	1634.8	0.27188	0.11742000000000001	0.23106999999999997	19425.0	0.056619	0.043272000000000005	11602.0	0.5294	327.55	0.036116	0.6773600000000001	0.27107	7647.6	2557.5	0.54595	0.32821	0.66832	1451.3	0.20918	11805.0	0.028068	0.26955999999999997	0	0.030385000000000002	0.37251999999999996	0.40892	0.14908	0.59896	1059.4	0.18100000000000002	0.28156	0.065355	0.11780999999999998	0.29672	0.32846	0.29284	13734.0	0.069263	0.039691000000000004	3318.2	798.39	1	0	1688.2	6250.4	0.03383	0.069573	0.24703000000000003	166.7	352.4	0.050910000000000004	0.030026	0.68242	0.028324000000000002	592.95	67.264	1.2622	0.063308	649.24	6372.7	1468.8	6455.9	0	0	0.040676	0.34429	-1	-1	368.49	0.7573300000000001	3.408	8.2044	1.3884	0.44665	0.75332	-1	-1	-1	0.45247	1713.0	1204.9	0	0.052586	0	-1	0.049277999999999995	-1	1080.6	1	0.3236	-1	149.15	12.875	1979.2	-1	-1	-1	-1	-1	-1	0.26919	188.63	698.96	7882.3	-1	542.5	377.99	5.1179	10405.0	1	0	6.1848	1.136	4.4177	1426.4	13.16	0	968.74	13701.0	16037.0	0	3.1555	7.8257	6.0586	5.1179	0.12622	-1	0	0	1.2622	2.9031	0	0	0	0	0	1	1	0	0	1	1	0	0	3526.2	18.278	2.7769
TCGA-5M-AAT4	COADREAD_2	1	0	522.38	0.044811000000000004	0.18721	0	0.13802999999999999	0	15836.0	1558.1	1822.3	0.32206999999999997	0.25264000000000003	0.3274	15860.0	0.027112999999999998	0.037974	1853.7	0.45283	152.75	0.22161999999999998	0.49157	0.27193	6710.8	2270.7	0.5743199999999999	0.32474000000000003	0.6057100000000001	2743.6	0.099611	10793.0	0.034481	0.03096	0	0.036549	0.093842	0.31689	0.053399	0.58281	473.75	0.48395	0.326	0.061659000000000005	0.21591	0.065295	0.21735	0.35593	607.57	0.031094999999999998	0.048355	1870.6	542.17	-1	1	2833.5	4381.7	0.037994	0.10166	0.31945	135.54	16.351	0.042922	0.037949000000000004	0.48718999999999996	0.031754000000000004	84.337	77.883	4.5166	0.0602	865.32	2437.5	1840.8	5208.3	0	0	0.28959	0.3072	-1	-1	653.18	0.9678399999999999	3.2262	5.8071	2.5809	0.027635000000000003	0.73882	-1	-1	-1	0.257	4717.7	1446.2	-1	0.054502999999999996	0	-1	0.027682	-1	2591.7	1	0.13902	-1	437.61	17.13	1151.9	-1	-1	-1	-1	-1	-1	0.55962	61.961999999999996	3139.0	21268.0	-1	1039.2	544.32	8.6059	10002.0	1	-1	11.937000000000001	0.0	15.163	2293.9	1.2909	0	602.84	28674.0	24769.0	0	12.582	6.7749	11.292	9.4664	0.0	-1	-1	0	1.9357	5.8071	1	1	0	0	0	1	1	-1	1	1	1	-1	0	6048.2	20.654	9.3558
TCGA-5M-AAT5	COADREAD_1	1	0	470.38	0.040394	0.043561	0	0.017322	0	25193.0	2027.4	1341.4	0.049839999999999995	0.028857999999999998	0.076039	12729.0	0.024978	0.039395	4321.9	0.037783	518.36	0.107	0.08250199999999999	0.036455	8451.5	1550.1	0.070377	0.034836	0.31671	3889.1	0.085773	14547.0	0.022959999999999998	0.13084	0	0.035798	0.062403	0.16096	0.044579	0.043334	1618.4	0.027835000000000002	0.016569999999999998	0.046831	0.026067	0.06880700000000001	0.051697	0.049043	424.38	0.024997	0.045406	1498.2	388.27	-1	1	4157.2	6755.4	0.047215	0.051667	0.043914999999999996	3.9569	53.913000000000004	0.048813999999999996	0.042469	0.050378	0.029086	312.1	100.41	1.1882	0.045209	709.27	5739.9	2436.5	4787.4	0	0	0.03404	0.051836	-1	-1	817.1	0.79213	10.298	2.3764	2.3764	0.024374	0.03221	-1	-1	-1	0.021223	4145.4	1684.7	-1	0.039537	0	-1	0.030922	-1	3065.1	0	0.048983	-1	509.45	11.505	806.71	-1	-1	-1	-1	-1	-1	0.029401	32.15	1168.8	15377.0	-1	1622.3	969.44	1.9785	20382.0	-1	0	24.555999999999997	3.5646	9.1095	1043.1	166.69	0	406.08	11391.0	19360.0	0	12.277999999999999	19.407	13.07	16.817	0.39607	-1	1	0	3.5646	1.1882	0	0	0	0	0	1	0	1	1	0	1	-1	0	4782.9	3.9569	10.694
TCGA-5M-AAT6	COADREAD_5	0	0	535.49	0.036967	0.10103	0	0.024582	0	16474.0	3422.9	242.15	0.028732999999999998	0.060865999999999996	0.06804500000000001	11476.0	0.15018	0.062277	992.88	0.1739	328.12	0.08050399999999999	0.092361	0.029997000000000003	11888.0	442.96	0.081136	0.33413000000000004	0.032182	1477.8	0.079686	9134.8	0.032695999999999996	0.023881	0	0.030506000000000002	0.046488	0.23786	0.15934	0.045712	359.62	0.047312	0.016327	0.057339	0.040777	0.081773	0.048117	0.046954	1325.6	0.02396	0.044647000000000006	251.32	502.02	0	0	4091.6	7833.5	0.035379	0.027156	0.031287999999999996	1.9687	10.5	0.041344	0.037372	0.053026	0.023966	206.71	1225.2	0.0	0.053491	1826.3	303.84	1404.3	1726.6	0	0	0.04805	0.042594	0	0	350.43	3.4208	9.5783	5.9294	5.2452	0.019364	0.030607	0	0	0	0.045451	1697.7	542.71	0	0.042660000000000003	0	0	0.026333	0	670.67	0	0.039367	0	271.68	28.671	933.82	0	0	0	0	0	0	0.22626	84.654	1440.4	10364.0	0	545.99	105.65	52.498999999999995	11752.0	0	0	0.0	0.0	27.138	639.17	71.53	0	367.49	11329.0	15409.0	0	9.8063	3.6489	6.3855	4.5937	2.2805	0	0	0	3.1928	8.437999999999999	0	0	0	0	0	1	0	0	0	0	1	0	0	1023.1	0.6562	4.5611
TCGA-5M-AATA	COADREAD_1	1	0	590.06	0.032788	0.054061	0	0.06474500000000001	0	25208.0	9287.1	1629.4	0.36275999999999997	0.033083999999999995	0.062362	7275.6	0.035005	0.041203	6857.6	0.048166	478.33	0.046835	0.10895	0.050538	11485.0	2331.6	0.48623999999999995	0.19293	0.046142	3407.9	0.060815999999999995	8053.3	0.031473	0.06804400000000001	0	0.037531	0.36325	0.047773	0.025123	0.042801	1063.2	0.033255	0.017583	0.047296	0.23545	0.050542000000000004	0.05865700000000001	0.17654	813.92	0.01935	0.30808	159.42	184.89	-1	0	5789.7	6655.3	0.044735000000000004	0.052525	0.053301	13.519	219.09	0.040543	0.049505	0.054354	0.031101999999999998	923.26	220.68	0.62557	0.068137	1629.4	1574.4	1396.4	2099.0	0	0	0.22738000000000003	0.09597	0	0	366.2	1.5639	7.8196	2.5023	4.379	0.021176	0.042921	0	0	0	0.042855000000000004	6101.4	1084.7	0	0.049287	0	0	0.031473	0	4034.6	0	0.035658999999999996	0	685.49	7.0497	626.24	0	0	0	0	0	0	0.096888	31.412	3517.7	14651.0	0	970.58	380.91	6.7594	16361.0	0	-1	10.009	5.0046	14.075	1090.7	0.3976	1	739.56	28688.0	20718.0	0	5.3174	9.6964	17.516	15.507	0.0	0	-1	0	1.5639	3.1279	0	0	0	0	0	1	0	-1	1	1	1	-1	-1	2821.1	102.58	4.379
TCGA-5M-AATE	COADREAD_1	1	0	548.5	0.047788	0.049499	0	0.020652	0	19589.0	3505.2	2172.7	0.047330000000000004	0.032117	0.045112	23907.0	0.022869999999999998	0.052783000000000004	5095.8	0.45886000000000005	491.52	0.036705	0.07610800000000001	0.027922000000000002	7894.5	2156.9	0.64933	0.036976	0.027426999999999997	4457.3	0.10774	7012.4	0.028588	0.022404	0	0.040563	0.041366	0.40767	0.033763999999999995	0.15774000000000002	1889.9	0.037699	0.015787	0.056039	0.030975	0.042122	0.04782	0.036007	613.03	0.033942	0.033375	803.49	639.11	-1	1	4734.0	7713.3	0.032391	0.031298	0.038582	41.18899999999999	23.34	0.039972	0.039506	0.07710800000000001	0.027986	779.84	156.52	1.3182	0.070891	1087.4	9066.5	1274.1	3295.8	0	0	0.045646	0.036805000000000004	-1	-1	721.49	1.5818	1.8454	5.0091	1.3182	0.019542	0.031967	-1	-1	-1	0.019737	7168.2	1222.6	0	0.036554	0	-1	0.029172000000000003	-1	3345.2	1	0.037000000000000005	-1	582.14	8.1623	1635.2	-1	-1	-1	-1	-1	-1	0.16138	2.0594	2673.8	12521.0	-1	2013.5	3748.2	7.5513	12679.0	-1	1	3.1636	1.5818	17.663	1790.3	146.22	1	564.97	14125.0	15655.0	0	8.9636	17.927	25.309	13.043	0.0	-1	-1	0	0.7909	2.6363	1	0	0	0	0	1	1	-1	1	1	1	0	0	2955.3	0.0	5.0091
TCGA-A6-2671	COADREAD_1	1	0	496.18	0.031729	0.06668400000000001	0	0.034234	0	34534.0	3426.0	1027.0	0.48122	0.037215	0.062199000000000004	8702.3	0.040524	0.043989999999999994	798.72	0.028891000000000003	223.32	0.039932	0.43612	0.16691	6985.8	1304.4	0.35624	0.038805	0.036051	2438.9	0.067696	6442.1	0.027893	0.089912	0	0.032351	0.38537	0.13429000000000002	0.027437	0.054015	2371.1	0.23853000000000002	0.26915	0.078815	0.2757	0.040657	0.036354000000000004	0.18037999999999998	104.77	0.031952999999999995	0.046149	6677.4	98.323	-1	1	5689.4	8227.8	0.046026	0.050306000000000003	0.049381	3.4149	82.919	0.046731	0.042643	0.067597	0.031598	172.66	409.81	-0.1289	0.089751	814.58	3990.7	1027.0	2509.6	0	0	0.046061000000000005	0.058204	-1	-1	753.7	3.1654	2.7468	-0.14665	5.1082	0.44547	0.23924	-1	-1	-1	0.5420699999999999	3892.7	2941.6	1	0.048257999999999995	0	-1	0.028018	-1	2100.0	1	0.038566	-1	763.89	10.36	499.44	-1	-1	-1	-1	-1	-1	0.39908000000000005	33.359	5815.3	8537.5	-1	1183.2	1953.1	1.7247	20758.0	-1	-1	1.1917	-0.21019000000000002	5.2728	955.87	17.497	0	300.2	10983.0	11756.0	0	5.6307	9.9948	7.8569	13.687999999999999	0.7420100000000001	-1	-1	0	1.1057	1.9884	1	0	0	0	0	1	-1	-1	1	1	1	-1	-1	2222.9	1.6586	1.6707
TCGA-A6-2675	COADREAD_1	1	0	461.23	0.031502999999999996	0.063695	0	0.12337999999999999	0	15857.0	2277.0	1636.1	0.31751999999999997	0.033353	0.10099	12703.0	0.027562	0.03942	1800.7	0.052818	440.73	0.035910000000000004	0.08482100000000001	0.032588	6681.6	2344.4	0.073867	0.033013	0.20155	2855.8	0.082872	6332.0	0.032392000000000004	0.034542	0	0.038987	0.41547	0.036074	0.18206	0.049206	1447.3	0.043975	0.018841	0.067527	0.033943	0.040756	0.068327	0.38592	1444.6	0.026157999999999997	0.03846	3834.8	64.194	-1	0	2971.3	12335.0	0.065791	0.034265	0.028531	1.6183	41.537	0.048796	0.051951	0.051004	0.034755	363.05	331.22	0.91984	0.067333	1302.8	2468.5	1837.4	2224.1	0	0	0.04529	0.05975	-1	-1	797.84	2.3653	6.0446	2.7595	2.6281	0.030206	0.12403	-1	-1	-1	0.024364	6422.7	1880.0	0	0.043919	0	-1	0.028997000000000002	-1	3540.4	1	0.2059	-1	395.95	8.2589	670.53	-1	-1	-1	-1	-1	-1	0.34119	3.2367	4833.4	5804.4	-1	1957.7	1163.6	9.71	10169.0	0	1	1.0512	0.0	2.7595	1844.4	8.0917	0	736.88	10106.0	9005.5	0	5.1248	4.862	3.1537	10.249	0.65703	-1	0	0	0.78843	0.91984	0	0	0	0	0	1	1	0	1	1	1	0	1	2545.7	51.248000000000005	1.4455
