KIRP	Labels	N:GEXP::KRT7:3855:	N:GEXP::TPX2:22974:	N:METH:cg03588357:GPR68:TssD52:Island	N:GEXP::TXNRD1:7296:	N:GEXP::UGT1A6:54578:	N:GEXP::NQO1:1728:	N:GEXP::SQSTM1:8878:	N:GEXP::HSP90AB1:3326:	N:GEXP::BUB1:699:	N:GEXP::MET:4233:	N:GEXP::RNF43:54894:	N:GEXP::BCL2:596:	N:METH:cg02275294:SOAT1:TssU388:Shore	N:GEXP::SATB2:23314:	N:METH:cg00828602:WNT5A:TssD837:Island	N:GEXP::FHL1:2273:	N:GEXP::QPRT:23475:	N:GEXP::CDCA2:157313:	N:GEXP::RELN:5649:	B:MUTA:COMP:CD70::	N:GEXP::TNFSF13:8741:	N:GEXP::ME1:4199:	N:MIR::hsa-miR-224-5p:Corrected:	N:GEXP::DTL:51514:	N:GEXP::ABCA17P:650655:	N:GEXP::MACC1:346389:	N:GEXP::ACCN2:41:	N:GEXP::CPA3:1359:	N:METH:cg05705583:CAMLG:TssU760:Shore	N:GEXP::TSKU:25987:	N:GEXP::HSD17B14:51171:	N:GEXP::C1orf107:27042:	N:MIR::hsa-miR-126-3p:Corrected:	N:GEXP::GPC4:2239:	N:GEXP::DYNC2LI1:51626:	N:METH:cg07440414:TCF7:TssU23:Island	N:METH:cg09009259:MUM1:TssU189:Island	B:MUTA:COMP:SETD2::	N:MIR::hsa-miR-31-3p:Corrected:	N:GEXP::EXO1:9156:	N:METH:cg13264741:GRIN2B:TssU128:Shore	N:GEXP::MAL2:114569:	N:GEXP::UGT1A9:54600:	N:GEXP::NPM1:4869:	N:GEXP::BRCA1:672:	N:METH:cg20947775:SCD5:TssU229:Island	N:GEXP::GNAI1:2770:	N:GEXP::KCTD15:79047:	N:GEXP::CCDC65:85478:	N:GEXP::CLDN10:9071:	N:GEXP::PBK:55872:	N:GEXP::PLEKHH2:130271:	N:GEXP::HEATR1:55127:	N:GEXP::TES:26136:	N:GEXP::ZNF167:55888:	N:METH:cg19044630:PRUNE2:TssU528:Shore	N:GEXP::METT10D:79066:	N:GEXP::KITLG:4254:	N:GEXP::UCK2:7371:	N:GEXP::WNT5A:7474:	N:GEXP::CHP2:63928:	N:GEXP::SOSTDC1:25928:	N:GEXP::RNF186:54546:	N:GEXP::XK:7504:	N:GEXP::PROM1:8842:	N:GEXP::CHST2:9435:	N:GEXP::WSCD1:23302:	N:GEXP::WDR60:55112:	N:GEXP::GPR125:166647:	N:GEXP::CCL28:56477:	N:METH:cg23097681:ARHGAP24:TssU94:Shore	N:GEXP::ATOX1:475:	N:GEXP::EIF2S3:1968:	N:GEXP::AP1S3:130340:	N:GEXP::ZKSCAN5:23660:	N:GEXP::SIGLECP3:284367:	N:GEXP::CTSC:1075:	N:GEXP::WNT3:7473:	N:GEXP::CCT3:7203:	N:GEXP::ATF5:22809:	N:GEXP::TMEM107:84314:	N:METH:cg18840461:SOWAHA:TssU415:Island	N:GEXP::TLE4:7091:	N:METH:cg05894797:PSEN2:TssU25:Shore	N:GEXP::NONO:4841:	N:MIR::hsa-miR-452-3p:Corrected:	N:GEXP::SBK1:388228:	N:GEXP::CSPG5:10675:	N:GEXP::TNFAIP1:7126:	N:METH:cg21311175:HIRA:TssU520:Shore	N:GEXP::TPK1:27010:	N:GEXP::SDR42E1:93517:	N:GEXP::ISPD:729920:	N:GEXP::BMP6:654:	N:GEXP::C19orf12:83636:	N:GEXP::REXO2:25996:	N:MIR::hsa-miR-1295a:Corrected:	N:GEXP::LOC338758:338758:	N:GEXP::PAK3:5063:	N:GEXP::FLJ32063:150538:	N:GEXP::MEIS3P1:4213:	N:GEXP::C15orf51:196968:	N:GEXP::CCDC13:152206:	I:CNVR::MYO1C:4641:	N:GEXP::FDX1:2230:	I:CNVR::PCSK5:5125:	I:CNVR::LOC101927722:101927722:	I:CNVR::SNCB:6620:	I:CNVR::PTP4A1:7803:	I:CNVR::POLR1D:51082:	N:GEXP::FAM185A:222234:
TCGA-A4-7286	KIRP_2	793.85	120.0	0.06271	2910.8	6199.9	3803.1	23763.0	18345.0	53.846000000000004	4064.6	215.38	703.08	0.041207	615.38	0.045519	1620.0	10126.0	15.385	215.38	0	6148.1	323.08	1.6935	26.154	12.308	1406.2	12.308	32.308	0.10697000000000001	3066.2	921.54	292.31	932.29	4058.5	730.77	0.10330999999999999	0.071238	0	15.524000000000001	18.462	0.08678200000000001	1823.1	1561.1	2823.1	83.13799999999999	0.086355	464.62	21.538	109.23	404.45	13.845999999999998	506.15	330.77	1546.0	40.0	0.046534	878.46	367.69	121.54	1129.2	0.0	52.308	1078.5	1.5385	2706.2	244.62	1060.0	433.85	849.23	41.538000000000004	0.038053	1287.7	3066.2	633.85	258.46	6.1538	19994.0	10.769	3989.2	481.54	352.31	0.030979000000000003	293.85	0.097081	5250.8	0.84677	326.15	6.1538	2042.4	0.067945	1200.0	130.77	120.0	26.708000000000002	473.85	1032.3	2.5403	30.769000000000002	4.6154	0.0	463.08	3.0769	92.30799999999999	1	556.92	-1	-1	-1	-1	0	106.15
TCGA-A4-7288	KIRP_1	7154.9	98.819	0.099379	1870.3	5980.5	1907.3	13057.0	17555.0	35.694	20104.0	270.35	1665.4	0.068598	1489.5	0.043093	31537.0	796.5	9.5844	11843.0	0	4347.5	40.982	2.3625	211.85	3.6355	3309.9	9.9149	143.44	0.049475	931.67	145.75	579.03	381.4	2188.2	1174.9	0.1599	0.076762	0	5.4633	17.847	0.065874	4021.2	1627.5	3557.1	360.9	0.058464999999999996	2158.8	87.912	129.22	881.66	28.092	655.04	866.56	3328.4	73.70100000000001	0.029963999999999998	1348.4	2409.3	135.83	606.79	0.0	4.627	92.209	1.6525	7.9319	21.813000000000002	1121.7	1099.9	1295.2	147.73	0.17720999999999998	698.67	2335.6	477.57	559.2	6.9404	26770.0	110.06	5124.4	378.75	530.12	0.044646	210.53	0.099176	4932.3	0.14765999999999999	370.16	0.9915	2138.6	0.31756	2012.4	6.6099	45.93899999999999	37.062	400.56	433.94	1.6242	19.83	0.3305	10.905999999999999	686.44	40.650999999999996	69.404	1	589.61	0	-1	0	0	0	167.23
TCGA-A4-7583	KIRP_1	465.07	185.29	0.10321	1927.4	32.981	300.17	15096.0	19776.0	52.622	9353.0	287.2	1699.8	0.077805	1302.2	0.040892000000000005	35207.0	634.8	14.082	8217.9	0	5225.3	25.94	1.1958	82.63799999999999	1.8529	7407.1	5.1881	276.45	0.07578	715.95	86.344	244.21	689.48	5346.3	1605.0	0.10201	0.09350800000000001	0	30.133000000000003	11.488	0.056384000000000004	7308.9	0.0	5216.2	179.73	0.051609	811.93	33.352	255.33	829.48	31.499000000000002	4590.0	370.95	2674.3	154.9	0.053647	796.37	4342.8	55.957	2843.4	0.3706	2289.1	82.26799999999999	0.3706	3387.8	153.05	599.96	917.55	1344.5	142.67	0.09202300000000001	810.08	2474.0	1441.5	366.87	15.935	19941.0	11.117	2607.0	751.53	418.75	0.044291000000000004	637.76	0.12077	4899.8	0.0	67.445	9.635	1910.5	0.14407	1914.0	191.59	315.73	850.62	496.57	1071.7	0.71746	55.586000000000006	1.8529	5.1881	668.52	4.8175	120.81	0	353.9	0	0	0	0	0	113.77
TCGA-A4-7584	KIRP_1	40655.0	104.87	0.045342	2077.0	83.20299999999999	330.72	10279.0	15079.0	46.126999999999995	29011.0	273.28	1622.3	0.075269	2649.7	0.038784	42544.0	125.33	6.9626	2096.2	0	4206.1	7.8329	1.9909	95.735	8.2681	4893.4	6.5274	208.44	0.051226	216.28	28.721	544.39	527.82	4098.4	1855.5	0.055424	0.05488	0	34.731	19.582	0.051435	5321.1	59.256	5060.1	223.67	0.042419	1352.5	23.064	125.33	422.77	29.590999999999998	2517.0	573.11	3174.9	68.755	0.034789	871.19	4576.6	95.735	407.75	1.3055	7346.8	6.5274	4.7868	10594.0	29.156	892.08	1195.8	2722.8	401.65	0.044435	772.41	2246.3	626.2	510.44	11.314	24949.0	16.971	3809.0	587.47	640.99	0.026001	404.26	0.050842	4868.1	0.66365	297.65	5.6571	2391.2	0.061713	2406.4	110.1	311.57	27.628	558.75	461.71	0.0	40.035	1.3055	25.674	901.22	6.0923	71.80199999999999	1	579.63	0	0	0	0	0	187.55
TCGA-A4-7585	KIRP_2	476.69	250.8	0.10346	15440.0	7866.6	26622.0	34734.0	22896.0	160.77	5962.2	12.058	1203.4	0.12192	395.1	0.06464500000000001	1361.3	12687.0	98.473	79.18	0	2620.3	1420.8	12.755	125.0	1.2058	1282.6	8.8424	21.704	0.076176	4616.6	1941.7	471.46	1709.8	2711.8	472.27	0.082067	0.061304	0	6.3775	35.37	0.043466000000000005	3100.5	19300.0	8139.1	143.49	0.059533	362.14	176.04	19.695	2238.7	80.788	63.103	784.57	1857.2	27.733	0.066944	524.12	167.6	245.58	199.36	0.4019	76.367	532.15	42.605	175.64	125.4	504.42	487.54	676.45	20.096	0.091058	1297.0	3586.8	149.52	292.2	4.8232	9710.2	4.0193	5752.0	1486.3	211.82	0.05309199999999999	444.13	0.12971	4920.0	1.0070000000000001	40.193000000000005	12.862	1138.2	0.034944	506.03	160.77	77.97399999999999	51.333999999999996	791.0	1306.3	1.0070000000000001	31.752	4.4212	0.0	168.81	2.0096	30.546999999999997	0	1077.6	0	0	0	0	0	96.061
TCGA-A4-7732	KIRP_1	17634.0	224.81	0.050311	1738.1	89.223	458.15	7170.4	13132.0	72.84899999999999	17838.0	373.92	2473.5	0.045491000000000004	4294.1	0.035874	38854.0	61.467	19.92	2112.6	0	6386.1	35.286	0.17488	60.328	6.2605	8371.4	21.058000000000003	1949.3	0.036047	229.93	80.248	363.11	183.28	3421.6	3738.1	0.048214	0.068867	0	20.462	22.195999999999998	0.06307	6402.2	29.794	4517.8	194.07	0.042572000000000006	2566.2	80.817	269.2	652.05	60.897	11062.0	544.66	5326.5	155.94	0.02912	961.27	6126.7	96.75299999999999	1476.9	0.5691	15417.0	6.8296	2.8457	5365.2	114.4	833.21	1294.8	3135.4	340.91	0.035227999999999995	700.04	2200.3	1183.2	664.18	41.547	25732.0	31.872	3696.0	438.23	434.25	0.032409	496.29	0.052836	4833.7	0.0	505.39	1.7074	2413.7	0.074835	2512.2	118.38	656.21	388.63	406.93	476.94	0.8744299999999999	52.36	0.0	73.987	1017.0	1.1383	79.679	1	388.15	0	0	0	0	0	203.75
TCGA-A4-7734	KIRP_1	13291.0	168.34	0.052862	1673.6	73.005	629.49	5722.3	16477.0	62.368	29654.0	575.05	3449.5	0.06941599999999999	1513.7	0.041192	15269.0	52.854	12.949000000000002	3320.6	0	4840.7	29.334	3.6473	61.839	3.1712	5455.6	17.706	306.82	0.074189	272.46	18.762999999999998	642.97	750.24	4732.3	1827.2	0.078908	0.063415	0	21.408	13.213	0.039612	8093.6	2.8409	4163.9	209.83	0.051012	3145.3	49.419	135.57	178.82	32.505	5624.2	872.62	6291.2	152.75	0.034095	1328.8	4377.9	96.459	1424.4	0.5285	4921.5	21.934	9.2495	10328.0	118.13	1386.9	1079.5	2900.4	1253.4	0.040238	442.92	3038.3	1551.3	611.52	9.2495	19368.0	51.533	3625.0	345.4	524.58	0.067037	572.67	0.061426999999999995	6575.9	0.47573999999999994	663.85	1.5856	3226.2	0.064356	1067.1	210.89	314.22	1171.9	415.43	382.93	0.47573999999999994	26.956	2.1142	8.7209	1169.1	9.2495	117.6	1	337.21	0	0	0	0	0	131.61
TCGA-A4-7915	KIRP_4	221.21	1342.8	0.41216	18928.0	21308.0	8896.9	24277.0	37770.0	577.08	16834.0	686.91	1327.6	0.37928	293.82	0.6497	1878.0	97.021	113.71	51.615	1	720.56	873.19	73.548	516.54	102.45	800.62	165.71	375.28	0.69521	3926.7	18.628	643.45	1657.4	2310.3	516.54	0.63452	0.19229000000000002	0	25.146	164.55	0.53957	10430.0	729.46	9697.1	791.7	0.05539500000000001	1562.0	625.21	1.5523	15.935	359.37	450.96	1317.9	1926.0	7.3736	0.2923	389.25	8413.3	454.45	394.3	1.1643	12.807	2.7166	419.52	24.449	276.32	62.87	276.7	1438.6	114.48	0.14929	577.08	5915.2	854.57	328.71	5.0451	5586.9	0.3881	6046.4	688.46	148.64	0.51983	241.0	0.30495	9013.7	6.1197	491.32	121.08	3829.3	0.036487	93.917	244.11	73.736	506.62	507.23	926.36	0.0	57.825	0.7762	1.1643	133.11	0.7762	6.2094	-1	473.46	0	0	0	0	-1	72.184
TCGA-A4-7996	KIRP_1	7548.8	177.1	0.075486	2848.9	1418.9	1230.8	8463.5	20061.0	64.09	19405.0	291.69	2135.1	0.064832	1816.9	0.049351	50735.0	1569.0	16.305999999999997	4367.0	0	5455.4	113.01	0.35517	133.62	5.4352	3704.8	36.914	389.3	0.060354	600.59	112.33	519.29	439.52	2956.1	1949.9	0.065303	0.075112	0	43.331	34.423	0.071471	4312.8	141.81	4926.1	330.19	0.040957	2350.1	134.97	221.03	856.62	32.838	1369.0	872.35	4004.5	144.71	0.038661	1207.1	2188.3	73.375	1088.8	0.9059	3719.5	45.293	3.6235	2584.2	61.146	1238.5	1420.2	2506.1	489.17	0.18835	446.82	2189.5	1025.0	649.05	17.438	39452.0	16.985	4878.3	596.06	605.35	0.03727	527.89	0.1095	5283.0	0.35517	651.32	4.5293	2808.0	0.29515	1944.2	36.235	367.56	119.12	401.07	711.33	1.0655	27.855	1.5853	39.858000000000004	992.83	9.7381	163.96	1	740.55	0	0	0	0	0	180.04
TCGA-A4-7997	KIRP_1	11820.0	267.82	0.12458	4188.1	610.56	1588.3	9898.1	27132.0	100.92	22952.0	235.47	1699.0	0.028357999999999998	1171.7	0.04394	7602.2	1152.8	26.653000000000002	717.03	0	4999.6	179.32	3.9331	114.89	17.078	5926.7	4.399	1205.1	0.037085	345.45	63.397	626.73	328.28	3659.2	1342.2	0.07476100000000001	0.08014299999999999	0	19.01	32.604	0.052287	7556.4	182.08	5556.2	214.51	0.051404	665.28	19.925	178.29	426.01	54.858000000000004	2328.4	930.0	3680.9	57.446000000000005	0.07912000000000001	698.66	4290.8	104.54	266.79	0.0	820.02	10.868	27.947	19810.0	71.678	574.2	1078.3	1411.6	213.48	0.060139	709.01	2936.4	1183.8	532.54	35.192	13240.0	12.162	4169.5	1007.9	328.11	0.030949	367.44	0.06272	4607.8	1.5732	129.64	4.399	2154.1	0.032684	305.08	175.18	367.7	97.929	444.04	682.88	0.65552	34.674	12.421	2.0701	467.07	3.1052	91.861	0	418.94	0	0	0	0	0	118.51
