SARC	Labels	B:MUTA:COMP:TP53::	N:GEXP::ATP1B1:481:	N:GEXP::MDM2:4193:	N:GEXP::MAPK10:5602:	N:GEXP::DAB2:1601:	N:GEXP::EPM2AIP1:9852:	N:GEXP::KCNH2:3757:	N:GEXP::ITGB1BP2:26548:	B:MUTA:COMP:MACF1::	N:GEXP::MYH11:4629:	N:GEXP::CDK4:1019:	N:GEXP::TSPAN31:6302:	N:GEXP::PAPSS2:9060:	N:GEXP::COL4A5:1287:	N:GEXP::SPATA18:132671:	N:GEXP::NFASC:23114:	N:GEXP::CTDSP2:10106:	N:GEXP::ACTG2:72:	N:GEXP::EGF:1950:	N:GEXP::LMOD1:25802:	N:GEXP::PGD:5226:	N:GEXP::SYNPO2:171024:	N:GEXP::FRS2:10818:	N:METH:cg24549639:MDM2:TssU476:Shore	N:GEXP::MARVELD2:153562:	N:METH:cg05258214:STK19:TssU25:Shore	N:GEXP::CNN1:1264:	N:GEXP::S100A10:6281:	N:GEXP::CSRP1:1465:	N:GEXP::KYNU:8942:	N:GEXP::SPEG:10290:	N:GEXP::YEATS4:8089:	I:CNVR::MDM2:4193:	N:GEXP::FKBP9:11328:	N:MIR::hsa-miR-26a-5p:Corrected:	N:MIR::hsa-miR-3913-5p:Corrected:	N:GEXP::MYLK:4638:	N:GEXP::CCT2:10576:	B:MUTA:COMP:PIK3CB::	N:GEXP::PPP1R12B:4660:	N:MIR::hsa-miR-143-3p:Corrected:	N:GEXP::ASAP3:55616:	N:GEXP::KCNMB1:3779:	N:GEXP::METTL1:4234:	N:GEXP::AKAP1:8165:	N:MIR::hsa-miR-145-3p:Corrected:	N:GEXP::SORBS1:10580:	N:GEXP::TBC1D1:23216:	N:GEXP::C9orf122:158228:	N:GEXP::CYP27B1:1594:	N:MIR::hsa-miR-145-5p:Corrected:	N:GEXP::RAMP1:10267:	N:GEXP::RBM24:221662:	N:GEXP::C10orf28:27291:	N:GEXP::LOC728264:728264:	N:GEXP::LHX2:9355:	N:GEXP::MARCH9:92979:	N:GEXP::C15orf52:388115:	N:GEXP::ANXA2P3:305:	I:CNVR::FAS:355:	N:GEXP::RBM20:282996:	N:GEXP::C6orf155:79940:	N:GEXP::SLC35E3:55508:	N:GEXP::ADPGK:83440:	N:METH:cg25533943:MAP3K14-AS1:TssD1:Island	N:MIR::hsa-miR-490-3p:Corrected:	N:GEXP::C6orf147:387097:	N:GEXP::FAM119B:25895:	N:GEXP::TSFM:10102:	N:GEXP::LOC401093:401093:	N:GEXP::CAP2:10486:	N:GEXP::FBXL22:283807:	N:GEXP::NPAS4:266743:	N:GEXP::RYR3:6263:	N:GEXP::MYOCD:93649:	N:GEXP::BCAN:63827:	I:CNVR::SCHIP1:29970:	N:METH:cg03577153:ZNF350:TssU63:NA	N:METH:cg21729847:RBM6:TssU207:Shore	N:METH:cg11345918:KRTAP5-AS1:TssD1285:Shore	N:GEXP::DNAH14:127602:	I:CNVR::ELMO1-AS1:100861514:	N:METH:cg16154073:CMTM7:TssU43:Island	I:CNVR::H6PD:9563:	N:GEXP::LEFTY1:10637:	N:GEXP::RPRD1A:55197:	I:CNVR::PSEN2:5664:	I:CNVR::ZCCHC5:203430:	I:CNVR::KERA:11081:	I:CNVR::PPDPF:79144:	N:METH:cg24526499:EFNA1:TssD17:Island	N:METH:cg05270922:NA:NA:NA	N:METH:cg16346212:SEMA3A:TssU37:NA
TCGA-3B-A9HI	SARC_2	0	726.0	1090.1	26.087	6940.7	625.3	18.972	9.4862	0	183.31	2917.8	728.06	482.21	72.727	69.565	78.21300000000001	5880.6	514.62	0.0	228.46	2483.0	688.54	436.36	0.041488	1.581	0.063205	132.02	11709.0	5173.9	190.51	4.7431	251.38	-1	5455.3	3472.2	5.8004	1248.1	2568.4	0	705.14	62121.0	1236.4	82.213	434.78	503.56	27.570999999999998	128.06	1505.9	0.0	8.6957	1326.8	29.249000000000002	5.5336	367.59	526.48	118.58	349.41	244.27	84.585	-1	16.601	7.9051	130.44	1199.2	0.64537	1.3365	5.5336	281.42	587.35	79.73899999999999	10.277000000000001	13.36	4.7431	4.7431	0.7905	22.134	0	0.035512	0.023712999999999998	0.075659	12.648	1	0.040701999999999995	-1	4.7431	787.35	-1	1	-1	1	0.030793	0.018185	0.075522
TCGA-3B-A9HL	SARC_3	0	637.8	24713.0	354.7	9711.3	670.65	91.493	3.1549	0	194.91	44566.0	6164.7	2983.2	137.92	901.41	43.61	51239.0	1911.0	6.3099	593.58	3836.8	2066.5	9019.5	0.15611	1.8028	0.25833	576.9	9061.0	3509.6	89.23899999999999	102.76	2591.1	1	6464.4	15754.0	19.239	1410.7	33563.0	1	3877.4	29200.0	2757.0	14.873	2927.3	539.49	51.453	535.89	1531.5	0.0	112.68	1396.9	113.13	71.211	237.07	120.34	4.9577	3946.4	79.775	39.662	-1	41.013999999999996	14.422	1143.0	1013.6	0.017103999999999998	0.15556	0.4507	1964.6	3001.7	292.51	33.803000000000004	7.2248	6.3099	8.1127	9.0141	8.5634	-1	0.077365	0.035419	0.21781	41.465	0	0.11062000000000001	1	31.698	843.72	-1	1	-1	-1	0.03273	0.018393	0.11859000000000001
TCGA-3B-A9HO	SARC_3	0	852.03	29409.0	76.305	12654.0	329.18	54.233000000000004	0.0	0	154.44	89176.0	13073.0	2575.4	15.765	199.28	8.1034	32608.0	146.93	0.6306	296.39	2958.8	621.79	2274.0	0.16905	6.3062	0.29064	533.5	15024.0	4620.5	178.46	309.0	2539.5	1	4243.4	20304.0	3.4397	515.84	6380.6	1	187.29	31909.0	1811.8	52.341	3032.6	300.8	20.076	74.413	1830.0	0.6306	241.53	616.12	39.729	1.2612	365.13	97.74600000000001	11.350999999999999	240.26	59.909	191.71	0	5.0449	0.6306	980.61	1651.7	0.47168000000000004	0.15556	1.3369	7270.4	5623.8	75.561	8.198	5.8458	1.8918	2.5225	1.2612	3.7837	-1	0.081924	0.043266000000000006	0.12811	3.1531	0	0.051817999999999996	0	13.117	360.08	-1	-1	0	0	0.031385	0.078704	0.056977
TCGA-3B-A9HP	SARC_1	1	3429.1	1054.2	822.57	1862.8	788.77	1559.2	98.40899999999999	0	187240.0	3175.9	1040.3	339.46	922.47	46.72	3309.5	4729.1	43612.0	46.72	24548.0	1201.8	12650.0	500.5	0.10407999999999999	1.4911	0.039333	30709.0	3902.6	53202.0	67.097	10271.0	223.66	0	3984.1	2149.7	2.0788	32314.0	2190.4	0	21279.0	939870.0	376.24	2937.4	475.65	2910.5	229.14	4649.1	3537.3	4.9702	22.366	11366.0	1897.1	632.21	206.26	12844.0	49.205	491.55	1673.0	55.169	-1	94.43299999999999	7.9523	132.21	852.26	0.014612	8.6452	43.236000000000004	346.42	583.0	2438.7	709.25	1447.7	126.74	370.77	655.57	41.748999999999995	0	0.055823000000000005	0.10745	0.050134	85.48700000000001	0	0.10977	0	95.626	1301.2	1	0	0	0	0.05280599999999999	0.033854	0.091561
TCGA-3B-A9HQ	SARC_1	1	1158.3	586.89	4.5732	2378.1	966.97	6737.8	444.11	0	558930.0	1162.6	378.05	174.8	1245.9	51.321000000000005	1277.1	3471.0	165520.0	134.15	49704.0	746.95	52092.0	428.86	0.10995	2.0325	0.04785	53731.0	1706.8	117020.0	79.268	9173.8	203.25	-1	2793.2	542.32	0.44217	100020.0	1762.7	0	49898.0	1858700.0	235.77	12300.0	143.8	7606.7	145.35	17209.0	4831.3	9.1463	17.785	3941.8	4513.7	664.63	233.74	19224.0	453.25	304.88	2630.6	27.439	-1	174.8	18.293	113.31	613.3	0.011041	0.22834000000000002	84.07	245.43	335.87	2336.6	940.55	1671.3	224.59	648.88	10481.0	95.52799999999999	0	0.067688	0.12374	0.035642	0.5081	0	0.11164	0	36.545	1545.2	0	0	0	0	0.040485	0.014351	0.08866
TCGA-3B-A9HR	SARC_1	0	692.89	1269.3	874.53	570.62	1649.1	1347.1	320.06	0	411990.0	1875.3	551.47	46.957	1568.0	3.0053	4987.4	5542.8	110370.0	102.18	32027.0	467.69	24370.0	1226.5	0.10485	4.1322	0.048529	83192.0	700.23	112660.0	5.2592	4161.5	406.09	0	1686.0	1485.8	2.1211	616600.0	2990.2	0	63772.0	1262100.0	278.36	6793.4	188.2	5052.2	869.47	21775.0	3817.4	42.449	8.2645	20825.0	293.01	1835.1	311.04	21322.0	291.51	447.41	1452.7	37.566	0	73.62899999999999	51.465	155.9	435.76	0.018453999999999998	0.15556	14.777999999999999	209.99	469.95	4465.2	1648.4	1682.8	177.69	574.0	15328.0	2.6296	1	0.040662000000000004	0.07393200000000001	0.05985599999999999	0.7513	0	0.099527	-1	16.945999999999998	1807.7	0	0	0	1	0.048524	0.02047	0.058438
TCGA-3B-A9HS	SARC_3	0	525.83	26945.0	9.6117	6540.2	865.05	1375.6	3.8447	0	269.55	59649.0	7266.1	1994.6	286.43	219.53	68.64699999999999	76460.0	7893.5	7.3049	2464.8	2432.5	336.79	4512.9	0.36125999999999997	8.0738	0.42444	329.1	5951.9	1697.0	114.96	2283.3	1414.5	1	6023.8	17283.0	20.965999999999998	694.98	48027.0	0	470.59	64485.0	1413.3	29.988000000000003	7093.8	617.07	36.25	184.93	3098.4	0.3845	502.12	1175.8	201.84	51.13399999999999	301.81	104.96	98.80799999999999	1121.5	91.88799999999999	98.42399999999999	-1	7.3049	4.6136	4424.1	1571.0	0.54398	1.4448	0.4421	4194.2	10392.0	74.164	59.208	8.1776	7.3049	3.0757	0.3845	0.7689	0	0.047747000000000005	0.031311	0.30611	17.301	0	0.11285999999999999	1	5.6401	431.76	0	1	-1	1	0.11312	0.28846	0.062559
TCGA-3B-A9HT	SARC_1	1	1564.6	1013.7	5.5396	4997.6	656.23	450.41	22.584	0	465.85	3090.7	736.34	448.71	6.3918	4.6873	443.98	3706.8	134.23	1.7045	344.73	6298.9	2346.2	322.57	0.10818	2.1306	0.057634000000000005	95.45100000000001	6492.8	5802.9	361.78	884.2	195.59	0	3691.1	1016.9	0.93525	4365.5	4487.1	0	933.21	22463.0	772.56	85.65	423.56	643.44	16.352	1591.1	2244.8	0.4261	27.272	613.68	444.44	930.22	313.2	135.08	26.419	103.12	155.11	108.23	0	147.86	40.481	233.94	1872.4	0.02115	0.15556	3.9118	86.50299999999999	713.33	30.088	1920.5	7.1247	2.9828	41.76	0.8522	3.409	0	0.26406	0.03599	0.14392	37.925	0	0.074611	0	15.315	709.49	0	0	0	0	0.087744	0.32386	0.057451
TCGA-3B-A9HU	SARC_1	1	1927.1	710.73	667.51	2410.4	1067.2	4412.3	8.2019	0	278720.0	1201.9	475.71	114.2	3646.1	47.003	3612.2	2746.1	53330.0	159.94	28194.0	584.86	25851.0	338.8	0.11757000000000001	5.6782	0.035487	40756.0	710.1	90591.0	87.697	8701.0	162.46	-1	2275.7	972.68	0.21594000000000002	69026.0	1242.9	0	32588.0	1275000.0	157.73	3644.8	136.59	5346.4	285.54	5391.2	4213.9	107.25	5.0473	6636.0	2543.2	1243.5	231.55	8408.8	591.48	183.91	511.99	16.719	-1	169.72	26.814	150.79	696.5	0.022164	0.25246999999999997	53.763000000000005	226.5	356.78	4347.4	1129.3	1103.8	351.42	545.11	836.59	249.21	0	0.076438	0.10424000000000001	0.057051	4.1009	0	0.13104000000000002	-1	77.565	1071.3	0	-1	-1	0	0.088065	0.10339000000000001	0.075102
TCGA-3B-A9HV	SARC_1	1	7406.5	1174.4	2346.5	159.06	1358.5	3690.1	377.53	0	206260.0	3942.2	357.6	54.714	6014.3	1.9541	86.97200000000001	4468.6	193830.0	90.27799999999999	30996.0	2785.3	16970.0	1146.7	0.11250999999999999	16.414	0.040118	59347.0	693.7	30305.0	4.6898	5396.4	596.78	0	1484.7	820.83	3.091	93590.0	4940.7	0	25956.0	1272000.0	340.4	5244.4	171.96	5719.6	528.22	7293.4	5484.7	228.24	4.6898	20120.0	608.11	1249.4	205.18	6432.4	351.34	316.95	637.03	17.587	-1	36.346	14.069	162.19	315.35	0.024031	646.83	41.231	255.2	536.2	740.96	2120.2	1147.6	359.55	325.55	4579.6	8.2071	0	0.054186	0.024763999999999998	0.050324	1.9541	0	0.097197	0	27.982	1819.6	0	-1	1	0	0.036636	0.01772	0.056469000000000005
TCGA-3B-A9HX	SARC_1	1	3153.8	1223.8	1077.3	1260.6	1504.5	9222.3	590.71	0	103040.0	2964.7	557.25	425.28	2336.4	57.248999999999995	51.981	4130.9	110780.0	95.539	9346.5	3066.2	11308.0	433.46	0.13375	1.4869999999999999	0.051741999999999996	9025.3	1834.9	27742.0	509.29	3250.6	139.03	0	2327.9	810.94	1.4861	55336.0	2697.8	0	17878.0	666980.0	969.89	4409.7	191.82	1899.3	446.59	10314.0	6133.5	42.379	27.881	14167.0	3175.8	707.81	315.61	3822.3	7.4349	159.48	1316.0	26.766	0	71.747	8.9219	239.03	562.37	0.031170999999999997	225.41	14.684000000000001	106.69	564.68	1329.0	459.11	736.96	142.75	56.876999999999995	5261.7	13.011	0	0.053614	0.048559	0.065099	21.19	1	0.12295	0	3.4833	675.84	0	-1	0	-1	0.06088300000000001	0.020256	0.054347
TCGA-3B-A9HY	SARC_1	1	1807.5	3576.5	1497.2	1337.2	1454.5	611.33	533.77	0	385940.0	2426.1	438.78	122.44	3893.2	67.97399999999999	1620.1	5438.8	71376.0	218.3	32376.0	681.05	37908.0	1144.2	0.14548	39.650999999999996	0.048983	38883.0	715.03	84455.0	48.802	10648.0	303.7	0	4687.1	709.43	1.8597	107330.0	2593.9	0	88266.0	1382300.0	616.99	6457.5	322.0	5818.3	369.99	891.07	10662.0	6.1002	15.251	10154.0	1485.8	510.68	218.74	16088.0	396.51	399.56	1370.4	20.479	-1	132.46	46.187	335.95	483.55	0.026777999999999996	0.28133	56.718999999999994	262.31	450.11	6543.6	573.86	491.32	507.62	700.65	11966.0	24.837	0	0.049958999999999996	0.18408	0.055951	95.425	0	0.12478	0	13.415999999999999	1660.6	0	-1	0	0	0.042658999999999996	0.021528	0.20199999999999999
TCGA-3B-A9HZ	SARC_1	1	1968.1	547.67	280.14	2981.5	998.03	4914.5	240.35	0	276090.0	1535.5	513.79	313.24	1435.4	37.825	4290.2	3176.5	144970.0	41.371	25336.0	1037.0	15702.0	273.05	0.087527	14.578	0.056483000000000005	39899.0	3698.2	66896.0	66.194	7833.3	115.05	-1	2167.8	533.95	0.56381	82543.0	1433.4	1	19841.0	1441600.0	537.43	8496.1	226.95	4293.1	447.29	5823.5	4619.0	45.705	24.429000000000002	10648.0	1179.7	444.44	208.43	5702.1	238.38	271.08	1972.4	52.01	-1	148.94	7.4862	137.51	705.95	0.052194000000000004	0.15556	14.547	156.03	325.85	1671.9	700.95	1102.8	50.433	514.97	2145.8	88.258	0	0.051574	0.27485	0.11317999999999999	10.244000000000002	0	0.14312	0	10.252	992.12	0	-1	-1	0	0.05225	0.015915000000000002	0.54609
TCGA-3B-A9I0	SARC_1	1	1199.1	970.11	606.2	1706.2	823.16	3032.9	138.19	0	378430.0	2488.8	986.69	144.18	1112.9	140.96	4627.2	5303.4	140510.0	57.58	52547.0	784.93	44146.0	428.4	0.13555999999999999	3.2245	0.030288	60909.0	4517.0	108410.0	76.92699999999999	13719.0	344.1	0	2018.1	1439.2	1.3258	60041.0	2344.7	0	35930.0	1554300.0	151.09	6861.7	184.26	5354.5	418.33	7252.8	2836.6	0.9213	6.9096	9002.1	3987.8	936.94	185.64	16716.0	2.3032	560.14	2678.6	35.93	-1	97.195	17.965	199.0	660.85	0.030373	3.0705	56.253	482.29	486.9	2965.0	839.75	1647.4	188.86	434.38	334.43	255.66	0	0.060618	0.16444	0.11967	2.7638	0	0.14297	0	17.808	866.0	0	-1	0	0	0.051575	0.018319	0.061373000000000004
