THYM	Labels	N:GEXP::MARCKSL1:65108:	N:GEXP::MYBL2:4605:	N:GEXP::ARHGAP15:55843:	B:MUTA:COMP:SMAD3::	N:GEXP::LTBP3:4054:	N:GEXP::CD247:919:	N:GEXP::TRAF3IP3:80342:	N:GEXP::NEFL:4747:	N:GEXP::SLAMF1:6504:	N:METH:cg15059932:ZNF236:TssD669:Island	N:METH:cg11745019:ANGPT1:TssD483:NA	N:GEXP::CXCR4:7852:	N:GEXP::CD3E:916:	N:GEXP::CYP11A1:1583:	N:GEXP::TCF7:6932:	N:GEXP::CD1C:911:	B:MUTA:COMP:DKK2::	N:MIR::hsa-miR-498:Uncorrected:	N:GEXP::WDR67:93594:	N:GEXP::SCPEP1:59342:	N:GEXP::LTBP2:4053:	N:GEXP::TRAT1:50852:	N:GEXP::PCSK5:5125:	N:GEXP::RASGRP1:10125:	N:GEXP::LDHA:3939:	N:MIR::hsa-miR-625-3p:Corrected:	N:GEXP::LEF1:51176:	N:GEXP::LTBP4:8425:	N:GEXP::ARHGEF1:9138:	N:GEXP::BCAM:4059:	N:GEXP::CD52:1043:	N:GEXP::IKZF1:10320:	N:GEXP::ZYG11A:440590:	N:GEXP::C6orf105:84830:	N:GEXP::CHRM3:1131:	N:GEXP::TYRP1:7306:	N:GEXP::SH2D1A:4068:	N:GEXP::SIT1:27240:	N:GEXP::BCL6B:255877:	N:METH:cg06805572:HPCAL1:TssD605:Island	N:METH:cg16891895:RGS16:TssD89:Island	N:GEXP::PTGES:9536:	N:METH:cg01981027:NR4A1:TssD3185:Shelf	N:METH:cg14784398:PDE4D:TssD83074:NA	N:GEXP::SPN:6693:	N:GEXP::PRKCB:5579:	N:GEXP::CCDC109B:55013:	N:GEXP::TEAD2:8463:	N:GEXP::APBB1IP:54518:	N:METH:cg00594866:ACKR3:TssD292:Shore	N:GEXP::C18orf1:753:	N:GEXP::GRAP2:9402:	N:METH:cg08028435:PALLD:TssD104803:NA	B:MUTA:COMP:GTF2I::	N:GEXP::DNTT:1791:	N:METH:cg24244437:EDN1:TssU700:NA	N:MIR::hsa-miR-3922-3p:Corrected:	N:GEXP::VSIG10:54621:	N:GEXP::CD1A:909:	N:METH:cg21363465:OSBPL8:TssU146:Island	N:METH:cg06658146:IGFBP7-AS1:TssD53745:Shore	N:GEXP::ELOVL4:6785:	N:GEXP::TTC7A:57217:	B:MUTA:COMP:ZFP36L2::	N:GEXP::RPSAP52:204010:	N:GEXP::PTPN7:5778:	N:GEXP::DPPA4:55211:	N:METH:cg11817999:RAI1:TssD69721:Island	N:GEXP::HOXA9:3205:	N:METH:cg23335390:OSBPL8:TssU257:Shore	N:GEXP::ZAP70:7535:	N:GEXP::JAKMIP2:9832:	N:METH:cg13566279:NA:NA:NA	N:GEXP::RLTPR:146206:	N:METH:cg25739835:TECTA:TssD10114:NA	N:GEXP::CALN1:83698:	N:GEXP::MYH15:22989:	N:METH:cg25760412:TGM2:TssD28:Island	N:GEXP::FCN2:2220:	N:METH:cg24014487:TGM2:TssD31:Island	N:GEXP::TSHR:7253:	N:METH:cg24358246:MIR100HG:TssD93894:NA	N:GEXP::ZNF578:147660:	N:GEXP::CD3G:917:	N:GEXP::SASH3:54440:	N:MIR::hsa-miR-515-3p:Uncorrected:	N:METH:cg13239572:WIZ:TssU197:Shelf	I:CNVR::CDKN2B:1030:	N:GEXP::LOC257358:257358:	N:MIR::hsa-miR-519d-5p:Uncorrected:	N:MIR::hsa-miR-527:Uncorrected:	N:MIR::hsa-miR-520a-3p:Uncorrected:	N:MIR::hsa-miR-517b-3p:Uncorrected:	N:GEXP::CBFA2T3:863:	N:MIR::hsa-miR-526b-3p:Uncorrected:	N:MIR::hsa-miR-515-5p:Uncorrected:	N:MIR::hsa-miR-518d-3p:Uncorrected:	N:GEXP::ARL5C:390790:	N:METH:cg16672925:CH25H:TssU41:Shore	N:GEXP::RAP1GDS1:5910:	I:CNVR::RYR2:6262:	N:GEXP::ZNF788:388507:	N:METH:cg04099803:LPHN2:TssD151:NA
TCGA-3G-AB0O	THYM_1	7205.9	3312.3	2174.0	0	2330.7	8268.5	4362.0	7381.4	2895.1	0.050988	0.026331	12896.0	23391.0	53.207	40739.0	5840.9	0	0.0	674.29	133.76	783.69	1883.1	280.46	1988.6	9105.4	1061.2	23519.0	672.8	12462.0	430.63	12218.0	7646.4	20.885	17.901	0.9945	6.4644	10898.0	4285.9	47.736999999999995	0.013828	0.028535	327.7	0.044297	0.025730000000000003	4195.4	4074.1	1375.4	32.321999999999996	9554.0	0.096312	3882.7	5650.9	0.023555	0	18685.0	0.023385	10.508	53.207	23701.0	0.025675	0.051285000000000004	6371.0	6565.8	0	3.4809	5954.8	671.31	0.069855	159.62	0.034163	8598.2	416.62	0.30501999999999996	3340.1	0.035844	1356.0	11.437000000000001	0.017847	0.0	0.016237	1335.7	0.070121	30.333000000000002	1900.0	8670.8	0.0	0.25859	0	136.25	0.0	0.13351	1.2016	0.53405	7263.6	0.0	0.0	0.0	317.25	0.025341	1583.8	0	146.69	0.087617
TCGA-3G-AB14	THYM_1	2063.3	1206.5	565.86	0	8083.2	1298.8	888.48	11931.0	538.78	0.047079	0.022568	5024.3	4996.8	905.0	7972.9	791.65	0	0.0	209.27	700.78	441.95	341.9	140.43	357.96	6140.9	290.78	3893.5	862.32	4648.9	1902.7	3056.0	1678.8	39.468	16.98	1.3768	0.9179	1643.4	728.32	71.593	0.026779	0.026570999999999997	450.67	0.07455	0.028957999999999998	833.41	1055.5	1194.1	18.816	1968.3	0.028535	720.51	1134.0	0.030476	0	3993.1	0.031441000000000004	2.0699	210.19	3899.9	0.026766	0.054664	620.01	2031.2	0	1.3768	1212.0	139.97	0.097055	50.023	0.08140399999999999	2265.7	198.63	0.16396	938.04	0.044087	4496.6	46.352	0.014240000000000001	0.4589	0.016062	385.5	0.22057	10.555	393.76	2209.7	0.0	0.15904000000000001	0	19.734	0.0	0.6301399999999999	2.2055	2.8356	1696.7	0.0	0.31506999999999996	0.0	33.043	0.024572999999999998	727.86	0	156.95	0.054285
TCGA-3G-AB19	THYM_4	2446.3	105.69	225.24	0	11742.0	458.25	466.3	3674.9	178.64	0.18415	0.38502	1527.0	1414.2	0.2774	687.1	115.12	0	0.099715	175.59	2368.9	3479.6	117.34	41.331	379.2	3152.0	112.34	855.2	1221.9	2458.8	5343.1	1151.2	902.36	8.3218	14.147	120.39	11.65	188.9	297.09	312.62	0.3858	0.5321	5.5479	0.088362	0.18367999999999998	979.2	385.85	110.4	170.04	1210.5	0.31415	440.5	184.47	0.6745399999999999	1	85.992	0.06487000000000001	0.33486	487.1	525.94	0.77766	0.052538999999999995	113.73	838.0	1	14.424000000000001	481.83	7.2122	0.5672	5.5479	0.54159	1246.9	38.76	0.029120999999999998	350.35	0.094433	8.3218	0.2774	0.017353	34.119	0.022446	53.537	0.66713	282.66	151.73	1123.4	0.099715	0.10119	0	5.2705	0.0	0.19943	1.0969	1.4957	635.23	0.0	0.099715	0.0	1.1096	0.15669	526.49	0	326.49	0.56075
TCGA-3Q-A9WF	THYM_1	7927.1	3281.7	2405.4	0	2589.4	7193.3	3787.9	1588.0	1604.4	0.038804000000000005	0.032567	18606.0	24683.0	31.941	34663.0	3527.4	0	0.0	624.08	275.18	909.91	1614.2	175.27	1861.6	9565.1	1101.1	20255.0	789.52	11011.0	1047.5	13436.0	6444.7	36.855	50.778	0.0	1.6380000000000001	9482.4	3173.6	91.728	0.0209	0.032357	248.98	0.059785000000000005	0.033076999999999995	3115.5	2967.2	1602.0	68.796	6481.6	0.038299	2691.2	3380.0	0.026444	0	16839.0	0.028912	4.8839	105.65	11572.0	0.030931	0.047045	4086.0	5288.2	0	0.8190000000000001	4491.4	627.36	0.070345	190.83	0.044163	6973.8	393.05	0.24831999999999999	2678.1	0.037531	1161.3	9.828	0.014568000000000001	2.457	0.027860000000000003	1180.2	0.05705	9.828	1588.9	6088.4	0.0	0.20281	0	117.94	0.0	0.15078	1.357	0.60312	4895.2	0.0	0.0	0.0	93.366	0.024574000000000002	1498.0	0	95.823	0.07418200000000001
TCGA-3S-A8YW	THYM_4	1700.3	3003.8	44.733999999999995	0	4581.7	160.71	98.581	0.4142	14.497	0.023585	0.030188999999999997	1233.9	234.44	3.7279	458.11	3.3137	1	0.31522	413.38	3959.8	3370.4	12.425999999999998	7.0415	113.91	23034.0	128.9	148.7	2837.3	1837.8	1052.9	245.62	184.74	196.33	900.49	152.43	61.303000000000004	25.680999999999997	36.45	429.12	0.088739	0.10343	749.72	0.037732	0.034693	101.48	22.366999999999997	132.96	84.49799999999999	797.35	0.013059999999999999	400.54	9.5268	0.019292	0	4.1421	0.037737	-0.047139999999999994	293.26	2.4852	0.026694	0.030694	104.38	407.99	0	7.8699	104.79	0.0	0.06870599999999999	3.7279	0.037605	139.17	6.2131	0.015697	88.64	0.039087000000000004	0.4142	2.8995	0.01236	1613.3	0.013175999999999998	0.0	0.048036	2.0709999999999997	31.48	194.68	0.0	0.08414400000000001	-1	0.4142	0.0	0.0	3.1522	0.9456600000000001	887.23	0.0	0.0	0.0	0.0	0.024256	668.12	1	7.4557	0.056552
TCGA-3S-AAYX	THYM_1	4927.6	3533.5	2400.2	0	3145.5	5707.7	2803.7	665.82	3112.9	0.049524	0.027336000000000003	30883.0	26002.0	9.871	40998.0	3344.1	0	0.19922	724.41	336.57	175.45	2581.1	398.98	1104.9	7866.6	1741.3	23175.0	403.44	13137.0	502.47	4860.4	11608.0	30.886999999999997	11.145	0.9553	0.6368	9975.8	2525.4	18.15	0.022276	0.033317	161.76	0.052588	0.022635	3295.0	4712.9	1125.3	10.825999999999999	9448.2	0.076908	5216.1	9171.5	0.023262	0	18575.0	0.023644	12.252	62.41	11686.0	0.031893	0.083718	4927.6	5779.4	0	1.2737	4456.6	832.03	0.082716	279.25	0.048088	8180.9	537.45	0.37915	2784.3	0.047827999999999996	1075.6	24.837	0.015394	0.3184	0.022807	1654.2	0.064938	13.374	2414.6	5616.0	0.79689	0.29147	0	127.05	0.0	1.3946	2.5899	9.5627	6891.9	0.39845	0.59767	0.0	203.79	0.019601	1778.4	0	114.63	0.11609000000000001
TCGA-3T-AA9L	THYM_1	6728.0	1679.4	2022.2	0	1982.3	5699.6	3647.4	3656.2	2772.5	0.069413	0.081251	31940.0	21783.0	11.892999999999999	29737.0	5017.6	0	0.0	704.76	422.96	769.39	2476.2	116.86	1898.1	7111.7	1311.4	24804.0	721.82	17312.0	778.7	12351.0	8706.3	29.99	24.819000000000003	1.0341	1.0341	10460.0	2586.3	186.66	0.064335	0.091554	230.09	0.055727	0.038616000000000004	2177.3	3173.2	1176.8	70.83800000000001	6897.1	0.15488	4816.4	3661.3	0.054876999999999995	0	19296.0	0.034711	8.8917	158.74	15333.0	0.075614	0.073951	4714.1	4641.7	0	5.6877	4404.3	483.97	0.11145	624.1	0.078523	10616.0	401.24	0.392	3813.9	0.058503	1306.1	6.7218	0.017039	85.315	0.018323	2404.3	0.090127	56.876999999999995	1026.4	5130.3	0.26504	0.30335	0	128.23	0.0	0.0	1.8553	1.5903	6503.1	0.26504	0.0	0.0	285.42	0.026867000000000002	1548.1	0	106.0	0.094362
TCGA-4V-A9QI	THYM_1	6674.3	2011.4	1890.6	0	2119.9	5149.9	3894.2	1669.1	1436.5	0.047233	0.025358000000000002	14770.0	23269.0	62.008	45244.0	6525.7	0	0.0	569.05	260.95	572.28	2518.4	109.81	3036.5	7071.5	897.68	25348.0	674.99	23885.0	534.18	11665.0	6082.0	12.273	20.023	0.6459	0.0	11329.0	3009.3	46.506	0.04862	0.027144	490.25	0.070332	0.026749000000000002	3420.8	1972.6	1652.9	30.358	8707.0	0.054733000000000004	3494.4	2212.9	0.026661	0	22012.0	0.027902	4.3417	102.06	19538.0	0.027213	0.057958	6937.8	3945.1	0	0.6459	6001.9	782.21	0.07496	215.74	0.040855	10322.0	554.81	0.20738	5678.9	0.037485000000000004	941.75	19.378	0.015246000000000001	0.0	0.014915000000000001	1815.7	0.041255	66.53	802.23	5333.4	0.21735	0.23495	0	101.41	0.0	0.21735	2.1735	0.65204	6289.3	0.0	0.21735	0.0	196.36	0.026989999999999997	1258.9	0	74.281	0.053914
TCGA-4V-A9QJ	THYM_2	11020.0	4003.5	934.1	0	9706.5	2769.9	1435.4	219.06	624.37	0.11989000000000001	0.039029	8646.5	9579.8	1.6409	14508.0	1633.5	0	33.559	346.65	635.45	1203.2	541.51	77.124	662.53	11834.0	534.73	7303.8	548.48	6117.4	2624.7	2915.5	2401.9	172.3	15.999	12.307	7.7944	3232.6	1364.4	253.52	0.026656	0.031269	198.96	0.09038099999999999	0.026597000000000003	1916.6	1360.7	663.35	86.559	3052.5	0.036823	1736.1	1743.5	0.037465	0	7400.2	0.034732	3.1699	145.63	7383.0	0.050628	0.054402	1963.0	2675.9	0	1.6409	2249.3	150.97	0.079713	230.14	0.06425499999999999	4572.1	183.37	0.13112000000000001	1399.7	0.054904999999999995	342.95	7.3842	0.018573	3.2819	0.022374	641.6	0.09171900000000001	15.999	707.65	4230.3	66.509	0.28655	0	34.049	5.9356	40.864000000000004	101.82	369.3	2641.1	30.287	57.986000000000004	22.601	56.202	0.06572	958.3	0	91.89200000000001	0.069768
TCGA-4V-A9QL	THYM_2	3639.3	1368.3	852.04	0	15692.0	2337.2	1577.5	54.806999999999995	364.12	0.3607	0.29827	5260.9	8500.2	0.315	12852.0	1312.9	0	40.356	252.3	1941.9	3665.5	407.59	197.18	877.55	4354.0	403.04	6631.4	2229.5	5941.9	12296.0	3171.0	1939.0	0.315	3.1499	70.242	102.06	2381.0	1220.6	353.1	0.26537	0.18147	28.034000000000002	0.21764	0.45201	2226.3	1131.4	337.66	417.99	3633.4	0.47655	1588.5	1462.2	0.46262	0	8715.6	0.31319	3.4388	422.71	6431.7	0.56802	0.131	1437.6	2938.1	0	21.419	2160.5	157.18	0.42613999999999996	118.75	0.44383	4887.6	163.16	0.14918	1762.0	0.17693	94.49600000000001	0.945	0.14117000000000002	225.22	0.19831	554.37	0.46271	241.59	417.36	4638.8	95.82700000000001	0.11692999999999999	0	35.908	6.6504	112.0	926.23	628.77	4128.2	20.858	165.96	4.081	80.321	0.28423000000000004	1035.4	0	149.3	0.067179
