SKCM	Labels	N:GEXP::TIMP1:7076:	B:MUTA:COMP:BRAF::	B:MUTA:nons:BRAF::	B:MUTA:HOTS:BRAF:pV600:	B:MUTA:HOTS:NRAS:pQ61:	B:MUTA:nons:NF1::	N:METH:cg08195943:TRH:TssD955:Island	B:MUTA:nons:NRAS::	B:MUTA:COMP:NF1::	B:MUTA:COMP:NRAS::	B:MUTA:COMP:SPTA1::	B:MUTA:nons:SPTA1::	N:GEXP::TFAP2A:7020:	N:GEXP::ETV1:2115:	N:GEXP::TIMP2:7077:	N:GEXP::SPRY2:10253:	N:GEXP::KIT:3815:	N:GEXP::NF1:4763:	B:MUTA:COMP:APOB::	B:MUTA:LOF:NF1::	B:MUTA:COMP:SETD2::	N:GEXP::DTX4:23220:	B:MUTA:nons:SETD2::	N:MIR::hsa-miR-4746-5p:Corrected:	N:METH:cg10205753:RGS20:TssD66:Island	N:MIR::hsa-miR-125b-1-3p:Corrected:	N:MIR::hsa-miR-942-5p:Corrected:	N:GEXP::NUMA1:4926:	N:GEXP::CALU:813:	N:GEXP::LMNA:4000:	N:METH:cg01522826:LRRIQ1:TssD4:NA	N:GEXP::PLXNA1:5361:	N:MIR::hsa-miR-153-5p:Corrected:	N:MIR::hsa-miR-1:Corrected:	N:GEXP::CSDE1:7812:	N:GEXP::EGR1:1958:	B:MUTA:nons:KEL::	B:MUTA:LOF:FOXA1::	N:GEXP::TF:7018:	N:GEXP::NUDT19:390916:	N:GEXP::SNX19:399979:	N:MIR::hsa-miR-615-3p:Corrected:	N:MIR::hsa-miR-212-3p:Corrected:	B:MUTA:HOTS:BRAF:pK601:	B:MUTA:COMP:KEL::	N:METH:cg22376940:MPZL3:TssD24:NA	B:MUTA:LOF:UNCX::	N:GEXP::CASC2:255082:	N:MIR::hsa-miR-16-2-3p:Corrected:	N:GEXP::ALDH1A3:220:	N:GEXP::BMPER:168667:	N:METH:cg19430897:HIST1H2AB:TssU348:Shore	N:GEXP::ART5:116969:	I:CNVR::PARP12:64761:	N:MIR::hsa-miR-671-5p:Corrected:	N:MIR::hsa-miR-382-5p:Corrected:	N:GEXP::GSPT2:23708:	N:METH:cg06078334:GABBR1:TssD163:Island	N:GEXP::LOC401431:401431:	N:MIR::hsa-miR-431-3p:Corrected:	B:MUTA:nons:MAP2K1::	B:MUTA:COMP:MAP2K1::	N:METH:cg19190714:GMPR:TssD129:Island	N:GEXP::H19:283120:	N:MIR::hsa-miR-671-3p:Corrected:	N:MIR::hsa-miR-33a-5p:Corrected:	N:METH:cg02569458:RASSF9:TssD256:NA	B:MUTA:HOTS:NRAS:pG13:	N:GEXP::HSPA8:3312:	N:GEXP::PYROXD2:84795:	N:METH:cg04829853:HAPLN3:TssD537:Island	N:GEXP::SPTBN1:6711:	N:METH:cg15700487:GOLPH3L:TssU138:NA	I:CNVR::FRMD3:257019:	I:CNVR::NFASC:23114:	I:CNVR::FUCA1:2517:	B:MUTA:HOTS:NRAS:pG12:	N:METH:cg26789869:BASP1:TssD1350:Shore	N:METH:cg20072442:LRRTM1:TssD1145:Island	N:METH:cg14263942:CDKL2:TssU61:Island	N:MIR::hsa-miR-337-3p:Corrected:	N:MIR::hsa-miR-1249:Corrected:	N:GEXP::BAGE:574:	N:METH:cg06626655:RSPO1:TssD373:Island	I:CNVR::DAAM1:23002:	I:CNVR::ZNF493:284443:	I:CNVR::ATAD5:79915:	I:CNVR::GRAMD1B:57476:	I:CNVR::MIR4533:100616362:	I:CNVR::PRKCE:5581:	I:CNVR::ABHD15:116236:	I:CNVR::FLJ46257:400932:	I:CNVR::MIR490:574443:	I:CNVR::ARHGEF19:128272:	I:CNVR::KPNA3:3839:	I:CNVR::BTBD6:90135:	N:GEXP::ZC3H13:23091:	N:GEXP::CFL1:1072:	N:MIR::hsa-miR-504-5p:Corrected:	N:METH:cg18791121:CYB5R2:TssU81:Island	N:METH:cg07057636:CYP1B1-AS1:TssD81:Island	N:METH:cg09290941:COCH:TssU36:Island	N:METH:cg15945016:HIST1H3A:TssU21:Island	N:METH:cg12991522:PPL:TssD405:Island
TCGA-3N-A9WC	SKCM_2	14022.0	1	1	0	1	0	0.48541999999999996	1	0	1	1	1	8405.2	1752.9	34411.0	4703.0	6.4238	1520.4	1	0	0	48.981	0	3.5810000000000004	0.060561000000000004	4.7747	8.7536	8583.8	10726.0	24591.0	0.59549	10740.0	6.3662	0.79578	12807.0	6059.2	0	1	761.22	404.7	870.42	2.7852	3.1831	0	0	0.40925	0	17.264	9.9472	171.44	8.4312	0.45528	0.4015	0	6.3662	2.7852	69.457	0.29383000000000004	16.087	0.79578	0	0	0.024731	301.52	7.162000000000001	11.937000000000001	0.13583	0	21963.0	183.08	0.015718	6821.2	0.6938300000000001	0	1	1	0	0.5575899999999999	0.60702	0.47728999999999994	1.5916	2.3873	0.0	0.086073	-1	0	0	-1	0	0	0	0	0	1	0	-1	2361.5	11237.0	4.3768	0.46315	0.082522	0.02975	0.61219	0.41135
TCGA-3N-A9WD	SKCM_2	12214.0	0	0	0	1	0	0.39389	1	0	1	0	0	3718.0	3375.2	5053.9	3962.4	727.66	987.23	1	0	0	1261.7	0	2.1566	0.047822	2.8755	16.534000000000002	7732.3	3794.3	19515.0	0.4133	6067.4	2.8755	2.8755	7513.5	6329.8	0	0	1756.0	479.43	1600.0	5.0321	10.064	0	0	0.2298	0	10.638	10.064	807.18	25.531999999999996	0.068859	3.5461	0	5.0321	19.41	214.18	0.034149	49.688	6.4699	0	0	0.025113	2404.3	7.1888	7.1888	0.29964	0	14749.0	1018.4	0.017827000000000003	10601.0	0.1385	0	0	1	0	0.061373000000000004	0.023094999999999997	0.013725	33.787	10.064	0.0	0.075888	0	0	-1	0	1	0	-1	1	0	1	1	0	10020.0	22119.0	3.5944	0.43162	0.42105	0.026170999999999996	0.049678	0.43368999999999996
TCGA-BF-A1PU	SKCM_1	12971.0	1	1	1	0	0	0.5284399999999999	0	0	0	1	1	7394.5	498.05	48905.0	1199.3	264.29	2121.4	0	0	0	970.78	0	11.202	0.048257	1.3811	2.7622	12984.0	10159.0	45564.0	0.023772	10130.0	1.0742	3.5295	4668.5	1249.7	1	0	192.21	332.14	854.87	3.5295	6.4451	0	1	0.05865700000000001	0	9.4156	4.2968	3725.4	1.6234	0.069114	0.3247	0	15.039000000000001	16.266	362.34	0.032655	72.422	10.895	0	0	0.039102	629.54	4.4502	25.166999999999998	0.19055	0	28229.0	104.22	0.018006	18376.0	0.056083	0	0	-1	0	0.060299	0.027420999999999997	0.01573	10.128	4.6037	0.0	0.041788	0	-1	0	-1	1	-1	0	1	0	-1	0	0	3740.3	31690.0	3.2226	0.033671	0.098669	0.040977	0.044264	0.045801
TCGA-BF-A1PV	SKCM_2	3275.0	0	0	0	1	1	0.9029299999999999	1	1	1	1	1	11261.0	2019.4	23825.0	1925.9	127.91	410.94	0	1	0	186.49	0	6.8299	0.075549	3.9028	7.6105	6347.3	13607.0	24671.0	0.8573	7564.3	0.78056	22.831	11087.0	1440.5	0	0	15.540999999999999	537.96	1598.6	3.5125	10.732999999999999	0	0	0.42655	0	13.15	4.0979	406.51	1.7932	0.7912	0.5977	0	1.9514	2.9271	45.726000000000006	0.15498	9.8984	1.9514	0	0	0.045475	670.95	5.8542	14.831	0.75832	0	35834.0	113.57	0.18339	10791.0	0.085345	-1	1	0	0	0.4293	0.057424	0.8657299999999999	0.9757	2.1465	0.0	0.059505999999999996	0	0	0	0	0	0	0	0	0	0	0	0	2784.5	19094.0	0.0	0.15885	0.11735999999999999	0.021263	0.06918400000000001	0.030797
TCGA-BF-A1PX	SKCM_1	15676.0	1	1	1	0	0	0.30826	0	0	0	0	0	2315.3	629.13	21709.0	1261.0	2235.3	895.38	0	0	0	1842.9	0	10.857999999999999	0.034697000000000006	4.2656	11.634	8392.0	5202.3	15787.0	0.1702	6074.7	4.2656	0.0	8969.4	1328.1	0	0	431.0	645.46	1464.0	31.410999999999998	10.47	0	0	0.050551	0	5.5613	1.9389	5898.5	9.3848	0.069771	6.2565	0	14.735999999999999	45.371	309.0	0.10312	81.352	17.838	0	0	0.030672	1408.4	13.185	1.1634	0.30146	0	28826.0	70.212	0.43466000000000005	19561.0	0.24636	-1	0	0	0	0.089568	0.19909000000000002	0.28374	24.43	23.655	0.0	0.12516	0	0	0	0	0	0	0	0	0	0	0	0	3216.9	34238.0	0.0	0.2195	0.067703	0.026255	0.078697	0.24015999999999998
TCGA-BF-A1PZ	SKCM_2	10346.0	0	0	0	1	1	0.7834300000000001	1	1	1	0	0	7116.3	804.22	59872.0	1293.7	4430.2	993.97	0	0	0	888.55	0	14.97	0.069354	1.1976	5.0898	7050.7	5877.3	49682.0	0.036704	7065.9	1.0479	0.5988100000000001	7977.4	1677.5	0	0	10.083	671.91	1469.4	12.126	5.9879999999999995	0	0	0.050251	0	21.694000000000003	6.7366	509.14	7.9444	0.062124	1.8333	0	21.855999999999998	7.0360000000000005	263.39	0.029970999999999998	105.58	1.6467	0	0	0.035606	331.83	10.329	3.4431	0.5562600000000001	0	28798.0	204.72	0.015132	14500.0	0.049010000000000005	-1	1	0	0	0.06578099999999999	0.027254	0.011382	1.7964	5.8383	0.0	0.047267	0	-1	1	0	1	1	1	0	0	0	1	0	6571.2	29416.0	1.3473	0.021815	0.091808	0.019928	0.064198	0.042918
TCGA-BF-A1Q0	SKCM_3	24999.0	0	0	0	0	0	0.59468	0	0	0	1	1	1297.2	1187.0	23804.0	1192.3	23.234	117.58	1	0	0	69.70100000000001	0	19.385	0.050547	7.5003	13.039000000000001	6801.6	20231.0	20207.0	0.58344	4020.1	1.7308	1.3847	17063.0	2645.8	0	0	5.6324	240.43	990.95	8.308	16.154	0	0	0.061551	0	47.523	21.462	4327.3	4.2243	0.07370700000000001	0.7040000000000001	1	17.77	12.347000000000001	129.54	0.039041	60.281000000000006	7.731	0	0	0.03007	245.36	7.8464	3.6924	0.49038000000000004	0	33424.0	92.23100000000001	0.54028	11400.0	0.49501000000000006	0	-1	1	0	0.38039	0.60472	0.51978	11.423	2.1924	0.7040000000000001	0.071528	1	0	-1	-1	1	-1	-1	-1	0	1	-1	-1	1939.3	27601.0	0.80772	0.19015	0.073553	0.35748	0.067856	0.0616
TCGA-BF-A3DJ	SKCM_1	27550.0	1	1	1	0	0	0.76148	0	0	0	0	0	1719.1	1648.1	28103.0	5101.8	693.09	1605.4	0	0	0	319.83	0	3.6344	0.06537899999999999	18.172	5.192	7375.1	16826.0	13728.0	0.045618	11030.0	0.0	0.0	11663.0	1110.8	0	0	3996.9	566.6	1937.6	15.575999999999999	31.151999999999997	0	0	0.038844	0	21.713	6.7496	79276.0	193.35	0.081803	1.0339	1	8.8265	8.8265	228.16	0.078263	32.073	3.6344	0	0	0.034484	1568.2	29.075	11.422	0.063236	0	35617.0	1223.5	0.67098	37118.0	0.037398	-1	1	0	0	0.099065	0.019426	0.011072	0.5192	3.6344	67.331	0.056146	-1	-1	0	0	0	0	0	-1	1	0	0	-1	12316.0	23227.0	1.0384	0.027063	0.056123	0.028911000000000003	0.052778	0.046275
TCGA-BF-A3DL	SKCM_1	23387.0	1	1	1	0	0	0.5234800000000001	0	0	0	0	0	8568.5	512.13	43282.0	765.01	6998.8	591.52	1	0	0	289.63	0	5.1463	0.039362	17.645	14.704	7597.2	21147.0	27410.0	0.6673600000000001	13360.0	0.0	7.3519	8001.5	1230.1	0	0	5.8809	480.27	2224.9	4.4111	47.052	0	0	0.049225	0	7.3511	2.2056	164.56	6.371	0.07426	0.4901	1	25.732	8.8223	277.87	0.028275	177.07	7.3519	0	0	0.028512	710.61	20.585	0.0	0.47857	0	44424.0	17.153	0.013635	4864.5	0.043784	0	0	0	0	0.064334	0.01435	0.0099792	2.2056	2.2056	0.0	0.045242000000000004	0	0	-1	-1	1	-1	-1	0	1	0	0	0	4363.6	31042.0	0.0	0.023953	0.058370000000000005	0.3416	0.061925	0.63762
TCGA-BF-A3DM	SKCM_1	8043.6	1	1	1	0	0	0.45063000000000003	0	0	0	1	1	2115.6	1114.7	12738.0	1148.9	255.28	2276.1	0	0	0	680.01	0	25.685	0.037876	9.0121	14.419	6589.2	8943.0	15982.0	0.025262	4735.1	0.0	0.0	10286.0	659.83	0	1	7782.2	503.84	1886.3	101.84	12.165999999999999	0	0	0.042648	0	15.695	7.2097	1460.3	19.859	0.08912300000000001	10.57	0	6.7591	9.0121	517.3	0.022593000000000002	96.56299999999999	3.1543	0	0	0.030047000000000004	963.49	29.74	33.345	0.047885000000000004	0	36712.0	69.186	0.57498	22010.0	0.031744	-1	1	0	0	0.07534500000000001	0.8939799999999999	0.014413999999999998	7.2097	10.364	252.55	0.033811	0	0	0	0	0	0	0	0	0	0	0	0	2815.5	24486.0	8.1109	0.02436	0.072882	0.025321	0.06485700000000001	0.023106
