PCPG	Labels	N:GEXP::MGST1:4257:	N:GEXP::ACSF2:80221:	N:GEXP::SFXN3:81855:	N:GEXP::NDUFA4L2:56901:	N:GEXP::CELF4:56853:	N:GEXP::STAR:6770:	N:GEXP::RHPN2:85415:	N:GEXP::RET:5979:	N:GEXP::CHST11:50515:	N:GEXP::NAV1:89796:	N:GEXP::AQP1:358:	N:GEXP::CPB1:1360:	N:GEXP::SHC3:53358:	N:GEXP::PTN:5764:	N:GEXP::EGFLAM:133584:	N:GEXP::CYP17A1:1586:	N:GEXP::TRIM14:9830:	N:GEXP::MTF2:22823:	N:GEXP::CNTNAP4:85445:	N:GEXP::CYP11A1:1583:	N:GEXP::CYP21A2:1589:	N:GEXP::CDH23:64072:	B:MUTA:nons:HRAS::	N:GEXP::SALL4:57167:	N:GEXP::RGS5:8490:	B:MUTA:COMP:EGFR::	N:GEXP::NTNG2:84628:	N:GEXP::TBL1X:6907:	N:GEXP::CRYBB1:1414:	N:GEXP::EPAS1:2034:	N:GEXP::PLAGL1:5325:	N:METH:cg06344807:RP11-452I5.2:TssU524:Island	N:GEXP::BMP1:649:	N:GEXP::SLC4A10:57282:	N:GEXP::FAR2:55711:	N:GEXP::ADORA2A:135:	N:GEXP::EFNB3:1949:	N:GEXP::THEM5:284486:	N:MIR::hsa-miR-202-5p:Corrected:	N:GEXP::PTPRO:5800:	N:GEXP::INHA:3623:	N:METH:cg24912904:ACTN3:TssU96:Shore	N:GEXP::EML4:27436:	N:GEXP::MID1IP1:58526:	N:GEXP::KCNB2:9312:	N:METH:cg08473199:WNT10A:TssU70:Island	N:GEXP::ASTN1:460:	N:MIR::hsa-miR-139-5p:Corrected:	N:GEXP::PNMT:5409:	N:GEXP::ALAS1:211:	N:GEXP::AADAC:13:	N:GEXP::TCHP:84260:	N:GEXP::OPRM1:4988:	N:GEXP::BCHE:590:	N:GEXP::ZNF423:23090:	N:GEXP::BLMH:642:	N:GEXP::ABTB2:25841:	N:GEXP::FLRT1:23769:	N:GEXP::GLP1R:2740:	N:METH:cg20420826:ATP1A1:TssD1:Island	N:METH:cg22395573:ARHGDIA:TssU851:Island	N:GEXP::DKK3:27122:	N:GEXP::USH2A:7399:	N:GEXP::KCNK13:56659:	N:METH:cg17808823:TMEM154:TssD223:NA	N:GEXP::EIF4E3:317649:	N:GEXP::MC2R:4158:	N:METH:cg16159491:MMP11:TssD253:Island	N:GEXP::CD83:9308:	N:GEXP::JAKMIP1:152789:	N:METH:cg24390938:ALDH3B1:TssU57:NA	N:GEXP::AQP6:363:	N:METH:cg14841337:CD247:TssD62422:Shore	N:METH:cg15573040:ST8SIA2:TssD999:Island	N:MIR::hsa-miR-1185-1-3p:Corrected:	N:GEXP::ALG3:10195:	N:GEXP::CPN2:1370:	N:GEXP::FDXR:2232:	N:METH:cg00414166:ALDH3B1:TssU130:NA	N:GEXP::GSTA3:2940:	N:GEXP::KDM3A:55818:	N:MIR::hsa-miR-138-5p:Corrected:	N:METH:cg11102611:B3GNT5:TssD79:Island	N:GEXP::RGS4:5999:	B:MUTA:COMP:EPAS1::	N:GEXP::AKAP7:9465:	N:METH:cg22627800:PLEKHA6:TssD13758:NA	N:METH:cg21714809:ARAP1:TssD265:Island	N:METH:cg16256504:WNT6:TssU388:Island	N:METH:cg22372709:NA:NA:Island	N:GEXP::MGC14436:84983:	N:GEXP::VGLL1:51442:	N:GEXP::P4HA1:5033:	N:METH:cg02453208:LRRC71:TssD775:Shore	N:GEXP::DGCR9:25787:	N:METH:cg20584198:STAC3:TssD7278:Shore	N:GEXP::PROK2:60675:	N:GEXP::EPHB1:2047:	N:METH:cg05362405:PSMB9:TssD413:Island	N:GEXP::ABCD4:5826:	N:GEXP::CLIP2:7461:	B:MUTA:COMP:RXRA::	N:METH:cg23473081:EMP1:TssU82:NA	N:GEXP::CYP11B1:1584:	N:GEXP::FAM166B:730112:	N:GEXP::UPF1:5976:	N:GEXP::SHB:6461:	N:GEXP::MGC12982:84793:	N:METH:cg02580197:SLITRK3:TssU217:NA	N:METH:cg13286351:C11orf45:TssU106:NA	I:CNVR::NMD3:51068:	I:CNVR::IFITM5:387733:	I:CNVR::ARHGEF3:50650:	I:CNVR::ZCCHC16:340595:	I:CNVR::KBTBD11:9920:	N:MIR::hsa-miR-670-3p:Uncorrected:	N:METH:cg03477792:SOWAHB:TssU273:Island	N:METH:cg06499892:NA:NA:Island
TCGA-P7-A5NY	PCPG_1	14.405999999999999	15.765	907.58	131.29	4786.1	154.12	265.29	37416.0	156.29	4302.0	966.57	0.2718	198.15	6905.9	4163.1	2.4952	1330.0	80.457	0.2718	20.658	13.058	12.503	0	106.82	399600.0	0	51.373000000000005	378.36	19.299	4796.7	18.755	0.031997000000000005	128.84	1.3591	1184.7	233.76	35.879	28.811999999999998	-0.24744000000000002	520.79	23.648000000000003	0.026575	1905.4	1410.7	284.32	0.018119	11300.0	79.315	7982.1	1136.2	0.0	1058.2	369.39	2720.3	1115.8	351.18	217.18	3235.1	980.7	0.027058999999999996	0.029204	25762.0	949.99	25.279	0.045449	4041.7	0.0	0.028364	359.61	3266.4	0.31296	121.77	0.03822	0.017883	0.14479	249.52	0.0	251.43	0.050635	0.0	1035.3	69.75	0.014556	6843.4	0	550.42	0.04188	0.041747	0.037841	0.047972	126.39	0.2718	233.22	0.037111	23.648000000000003	0.025648	195.71	83.447	0.045607999999999996	242.73	1670.3	0	0.15487	0.5436	0.5436	3206.0	287.85	6.2517	0.057861	0.059184	0	0	0	0	0	1.1129	0.036373	0.040813999999999996
TCGA-P8-A5KC	PCPG_3	8.5016	32.792	782.15	4477.9	4980.1	159.71	96.554	65975.0	345.53	2259.6	7189.6	0.0	2.4290000000000003	344.92	505.24	335.61	65.584	330.95	0.6073	40.079	99.42	1974.8	0	0.0	102200.0	0	497.34	415.36	3.6435	44749.0	108.09	0.039797000000000006	569.0	0.0	244.64	745.84	160.32	0.6073	-0.060167	3.0363	628.51	0.13638	613.33	865.95	49.795	0.028972	343.1	1231.7	205.86	916.35	3.6435	330.35	0.0	29.756	2727.8	714.13	1550.9	2793.4	6.6798	0.086505	0.029445	22625.0	7.8943	27.326999999999998	0.038114	372.25	3.0363	0.029657	160.32	1807.8	0.040463	6.6798	0.044749000000000004	0.016206	0.2444	481.56	0.0	364.35	0.042884	0.0	1057.2	1.9546	0.01215	5717.3	0	1823.0	0.070542	0.13146	0.048768	0.091227	4.8581	1.2145	450.58	0.056029999999999996	9.1089	0.06905700000000001	0.0	1261.3	0.049975	326.1	834.37	0	0.029057999999999997	80.765	3.0363	3172.3	477.91	105.66	0.050936	0.05811	0	0	0	0	0	0.62575	0.16346	0.076248
TCGA-P8-A5KD	PCPG_1	1.9765	31.624000000000002	1010.8	455.38	3958.9	265.64	192.11	10534.0	485.82	2613.3	1555.5	0.7906	167.21	3545.0	4758.6	36.304	1761.3	128.47	123.73	54.551	17.678	21.346	1	348.26	223880.0	0	189.35	419.41	16.207	4576.3	57.713	0.040899	315.45	97.243	854.54	128.46	591.76	30.833000000000002	-0.031656000000000004	760.15	45.06399999999999	0.021278000000000002	2225.5	692.56	509.93	0.021619	5746.4	24.186999999999998	9708.1	962.94	0.0	1151.1	117.4	57.318000000000005	426.13	604.8	326.51	5787.5	284.61	0.033161	0.035155	35965.0	195.67	19.369	0.040808	2050.0	0.0	0.024408000000000003	514.28	1946.4	0.0498	109.1	0.040060000000000005	0.018116	0.98818	247.46	0.0	265.64	0.046067000000000004	0.0	1305.7	57.457	0.013781	2276.5	0	86.17399999999999	0.043036000000000005	0.041631	0.05139	0.064016	209.11	0.3953	323.75	0.047518	11.859000000000002	0.037959	42.297	19.765	0.035463999999999996	362.09	2615.3	0	0.036368	13.44	1.9765	8402.8	333.24	10.277999999999999	0.061421	0.061676	-1	1	0	0	0	2.9422	0.062902	0.039934
TCGA-P8-A6RX	PCPG_2	3.9683	35.218	5335.8	45433.0	1891.9	5.4563	162.7	3711.3	127.48	2285.7	97076.0	0.0	3.4722	3949.4	5166.7	0.9921	681.71	186.51	3115.1	23.314	11.468	1963.9	0	4.4643	99048.0	0	3616.6	2317.5	172.12	16510.0	96.726	0.54883	1597.2	711.81	292.65	2780.5	2502.5	1.9841	-0.12775999999999998	759.42	293.65	0.54976	443.95	559.52	162.2	0.63851	611.11	45.129	16.369	351.19	0.0	353.71	0.0	47.123000000000005	1149.3	948.91	18.352999999999998	427.58	1.9841	0.52212	0.30268	5841.8	2.9762	139.38	0.67629	634.63	0.0	0.49057	64.484	162.7	0.21333000000000002	14.385	0.22933	0.56968	5.069	317.46	0.0	284.23	0.27369	0.0	2380.5	8.9031	0.013406	34246.0	0	81.845	0.17207	0.058133000000000004	0.18304	0.18361	24.305999999999997	0.0	3135.9	0.077586	280.26	0.084855	7.4405	57.044	0.11099	562.0	2929.6	1	0.056463	0.0	2.4802	2895.8	296.13	47.619	0.12568	0.055537	-1	-1	-1	0	0	5.3327	0.096689	0.07761799999999999
TCGA-P8-A6RY	PCPG_2	0.8224	142.27	917.76	6600.3	2174.3	37.829	370.07	2520.6	171.88	1375.8	3023.0	0.8224	33.717	653.78	667.76	2.4671	690.79	375.0	439.97	11.513	3.1743	42.763000000000005	0	3.2895	23989.0	0	453.95	689.97	2.4671	9357.7	167.62	0.032819	423.52	287.01	102.71	88.816	3389.0	6.5789	0.021286000000000003	8.2237	326.48	0.11795	723.68	733.55	113.49	0.55556	1482.7	98.381	442.43	753.29	0.0	456.41	0.8224	1.6447	370.07	965.46	258.22	276.32	5.7566	0.07294400000000001	0.10199	6569.9	0.8224	120.89	0.36457	941.61	0.0	0.029620999999999998	212.99	490.95	0.22718000000000002	12.335	0.10707	0.013493999999999999	0.1766	341.28	0.0	258.22	0.10774	0.0	1296.9	23.005	0.014006000000000001	7822.4	0	163.65	0.12561	0.058377	0.06799	0.1088	20.559	0.0	291.12	0.14874	6.5789	0.11652	0.0	59.211000000000006	0.047501999999999996	395.56	1228.6	1	0.050662	0.0	1.6447	3037.8	413.65	9.8684	0.049863	0.048036	0	-1	0	0	0	11.669	0.084998	0.076896
TCGA-PR-A5PF	PCPG_3	0.0	11.145999999999999	773.99	740.56	6350.5	26.625	139.94	66888.0	152.32	1958.5	1669.3	0.0	1.8576	164.09	1180.8	3.096	227.25	147.37	3.096	31.579	6.2291	877.92	0	0.6192	14464.0	1	1152.3	612.38	0.0	17732.0	180.7	0.020101	86.68700000000001	15.48	212.96	762.82	27.245	25.386999999999997	-0.095519	8.0495	270.59	0.024528	826.01	1157.9	213.62	0.018913	1866.2	1111.8	1524.5	753.56	0.0	219.19	9.2879	4.9536	5648.9	756.04	1152.3	3270.6	47.059	0.030430000000000002	0.038467	35577.0	4.3344	653.25	0.046071	559.75	0.0	0.023632	117.03	2038.4	0.030251	46.44	0.042845999999999995	0.013627	0.29619	526.32	21.053	258.2	0.033529	0.0	889.16	4.4903	0.010914	4552.3	0	595.05	0.099261	0.036463	0.050192	0.08799900000000001	2.4768	0.6192	192.57	0.046399	13.003	0.032545	2.4768	1405.6	0.045734	299.69	1017.3	0	0.060117	0.0	0.0	3990.1	1250.2	351.08	0.039441000000000004	0.056441	0	1	-1	-1	-1	0.165	0.078817	0.12239000000000001
TCGA-PR-A5PG	PCPG_1	0.0	56.443000000000005	846.64	527.85	2837.1	27.544	163.46	28696.0	974.43	3980.8	953.73	0.4515	65.02199999999999	14217.0	6253.4	0.4696	1776.4	120.11	0.9031	49.218	5.4456	7.6762	1	233.45	467700.0	0	473.22	74.053	27.544	4193.0	13.095	0.041582	171.59	1.3546	1020.4	360.78	588.81	26.189	-0.24744000000000002	1164.5	35.672	0.026173000000000002	3109.8	745.95	243.83	0.018133	5497.5	47.118	5074.4	1267.5	0.0	1995.8	112.89	2346.2	328.27	484.51	43.8	3072.8	189.2	0.03704	0.025894999999999998	150700.0	338.66	11.289000000000001	0.037357	2659.3	0.0	0.027395	307.5	5270.0	0.058908	88.051	0.042107	0.01401	1.6209	406.39	0.0	259.64	0.043042000000000004	0.0	1034.5	82.152	0.013962	3960.0	0	79.923	0.032665	0.064824	0.054193	0.062842	953.21	0.0	144.04	0.045567	39.736	0.029439999999999997	199.13	69.538	0.03515	269.12	1758.3	0	0.035224	0.0	0.4515	7808.5	421.74	3.6123	0.05691	0.058855	0	1	0	0	-1	0.43938999999999995	0.048007	0.037992000000000005
TCGA-PR-A5PH	PCPG_3	8.7477	38.034	335.08	1722.2	7931.5	135.78	244.56	89187.0	255.59	1582.2	6661.2	0.3803	1.9017	476.18	673.2	258.43	123.23	147.19	0.0	22.44	84.99	1282.9	0	0.3803	42500.0	1	136.92	465.15	0.3803	26882.0	97.32	0.028794	319.48	0.0	185.19	2412.1	71.503	0.3803	0.20251	4.1837	186.37	0.022244999999999997	746.6	1245.6	219.84	0.020253999999999998	865.65	485.54	3751.3	1034.9	0.7607	401.63	2.6624	6.4657	8788.1	532.85	819.25	7260.6	92.42200000000001	0.057475	0.034612000000000004	17636.0	4.9444	383.0	0.05078	276.88	3.0427	0.027689	46.781000000000006	5197.3	0.056926	23.581	0.039477	0.015484	-0.24045	601.69	0.0	232.39	0.052000000000000005	0.0	1147.5	1.0376	0.014381999999999999	4870.2	0	350.67	0.082642	0.041315	0.052865999999999996	0.083429	6.8461	0.0	400.11	0.080151	7.2264	0.031258	0.0	1759.1	0.039779	176.1	1181.7	0	0.029308999999999998	77.969	7.2264	3535.2	866.41	291.34	0.0429	0.065687	0	0	0	0	0	0.0	0.11015	0.038406
TCGA-QR-A6GO	PCPG_1	4.4131	22.948	1492.1	831.86	2863.2	110.33	248.9	16555.0	163.72	1115.6	1939.6	42.806999999999995	71.492	1411.3	2700.8	18.486	553.74	107.24	0.4413	52.515	18.239	5.2957	0	60.018	204670.0	0	214.92	335.83	91.35	7737.0	18.094	0.030074	391.0	8.3848	334.95	113.42	22.506999999999998	19.859	-0.11950999999999999	268.75	205.21	0.023023	995.59	1351.7	527.8	0.017871	3706.1	52.328	3042.8	971.76	1.3239	528.24	60.018	1042.4	797.88	458.52	862.75	2140.8	59.576	0.028814	0.039924	20290.0	289.94	19.418	0.036765	1651.9	0.0	0.029013999999999998	1148.7	2787.7	0.06337000000000001	39.718	0.038423	0.01258	1.3922	259.49	0.0	184.47	0.046131	0.0	579.43	33.254	0.013155000000000002	4122.7	0	199.47	0.027904	0.037619	0.05131	0.054465999999999994	44.571999999999996	0.4413	214.47	0.035463	6.1783	0.028932	9.2674	31.774	0.032254000000000005	246.69	1058.7	0	0.036338	6.6196	1.3239	3119.2	205.21	4.8544	0.081865	0.06288099999999999	-1	0	0	-1	0	3.8231	0.047741000000000006	0.044238
TCGA-QR-A6GR	PCPG_4	582.76	213.22	1364.4	662.07	2137.4	2455.2	147.7	12790.0	331.03	1449.4	3496.0	197.13	97.126	33012.0	2377.6	7485.4	493.68	203.45	1.7241	1274.1	6507.4	58.621	0	24.138	170650.0	0	207.47	308.62	11.494000000000002	6515.5	104.01	0.038639	664.94	1.7241	312.02	188.5	1054.0	18.965	5.2947	264.94	126.44	0.024735	4230.5	797.13	5.1724	0.020497	2754.6	96.82700000000001	3709.8	2632.2	170.69	575.86	110.34	470.12	1052.9	752.3	125.29	506.32	31.035	0.036919	0.037239	16482.0	5.1724	13.793	0.038784	1593.1	156.9	0.039143	322.99	2078.2	0.056017	41.379	0.043812000000000004	0.013944	0.32631	636.78	1.1494	1801.2	0.046769	30.46	677.01	31.471	0.01951	1492.0	0	174.71	0.047049	0.036739999999999995	0.066774	0.059127	139.08	0.0	540.23	0.053399	7.4713	0.026802999999999997	1.7241	50.575	0.043437	415.52	735.06	0	0.05285599999999999	2652.9	229.88	3588.5	306.32	21.264	0.060645000000000004	0.06375800000000001	0	0	1	0	0	1.2735	0.027399	0.051592
