ESCC	Labels	N:GEXP::SPARC:6678:	N:GEXP::AKR1C3:8644:	N:GEXP::IGF2:3481:	B:MUTA:LOF:HIST1H3C::	N:GEXP::AKR1C1:1645:	N:GEXP::TUBB6:84617:	N:GEXP::KRT8:3856:	N:GEXP::SLPI:6590:	N:GEXP::C3:718:	N:GEXP::DSP:1832:	N:GEXP::MGST1:4257:	N:GEXP::CLCA2:9635:	N:GEXP::CLU:1191:	N:GEXP::AKR1C2:1646:	N:GEXP::C4A:720:	N:GEXP::TXNRD1:7296:	N:GEXP::UGT1A6:54578:	N:GEXP::GSTA1:2938:	N:GEXP::PPL:5493:	N:GEXP::CLDN1:9076:	N:GEXP::GAPDH:2597:	N:GEXP::LGALS3BP:3959:	N:GEXP::DHCR24:1718:	N:GEXP::SPRR3:6707:	N:GEXP::GNAS:2778:	N:GEXP::HSPB1:3315:	N:GEXP::HSP90AB1:3326:	N:GEXP::B2M:567:	N:GEXP::AKR1B10:57016:	N:GEXP::LAMB3:3914:	N:GEXP::EPS8:2059:	N:GEXP::PKM2:5315:	N:METH:cg08195943:TRH:TssD955:Island	N:GEXP::A2ML1:144568:	N:GEXP::MYL9:10398:	N:GEXP::SPRR1A:6698:	N:GEXP::LCN2:3934:	N:GEXP::C7:730:	N:GEXP::HLA-B:3106:	N:GEXP::TPT1:7178:	N:GEXP::KRT16:3868:	N:GEXP::SERPINA3:12:	N:GEXP::GJA1:2697:	N:GEXP::TUBB2A:7280:	N:GEXP::HLA-A:3105:	N:GEXP::ALDOA:226:	N:GEXP::KLK10:5655:	N:GEXP::RBP1:5947:	N:GEXP::LY6D:8581:	N:GEXP::UBC:7316:	N:GEXP::SMARCD3:6604:	N:GEXP::GPC3:2719:	N:MIR::hsa-miR-221-3p:Corrected:	N:GEXP::ACTG1:71:	N:GEXP::TMSL3:7117:	N:GEXP::CYP4F11:57834:	N:GEXP::MATN2:4147:	N:GEXP::HSP90AA1:3320:	N:GEXP::C6orf168:84553:	N:GEXP::OLFM1:10439:	N:GEXP::TMBIM6:7009:	N:GEXP::STK32B:55351:	N:GEXP::MYH14:79784:	N:MIR::hsa-miR-203a:Corrected:	N:GEXP::XIST:7503:	N:GEXP::SERPINB5:5268:	N:GEXP::SMARCA2:6595:	N:GEXP::RHOD:29984:	N:GEXP::NEFL:4747:	N:GEXP::MCF2L:23263:	N:GEXP::SPRR1B:6699:	B:MUTA:LOF:PODXL::	N:METH:cg23706497:OTX2:TssD123:Shelf	N:GEXP::WNK2:65268:	N:GEXP::CEL:1056:	N:GEXP::SHH:6469:	N:GEXP::IRF6:3664:	N:GEXP::FERMT1:55612:	N:GEXP::TCF4:6925:	N:GEXP::TMEM51:55092:	N:GEXP::NTS:4922:	N:METH:cg07222309:MIR3663HG:TssD3812:Shore	N:GEXP::GLI2:2736:	N:GEXP::RAB6B:51560:	N:GEXP::SEL1L3:23231:	N:GEXP::DSG2:1829:	N:GEXP::ALCAM:214:	N:GEXP::SCN9A:6335:	N:GEXP::NDRG4:65009:	N:METH:cg12049688:RNF220:TssD5833:Shore	N:GEXP::CALB1:793:	N:GEXP::SYNPO2:171024:	N:GEXP::C9orf167:54863:	N:GEXP::TUB:7275:	N:GEXP::LRIG1:26018:	N:GEXP::SYNM:23336:	N:METH:cg07344528:RP11-24M17.4:TssU30:NA	N:GEXP::BDKRB1:623:	N:GEXP::FAM83A:84985:	N:METH:cg17205316:OTX2:TssD1781:Island	N:GEXP::TLE2:7089:	N:GEXP::PI3:5266:	N:GEXP::UGT1A7:54577:	N:GEXP::PKN1:5585:	N:GEXP::RNF222:643904:	N:GEXP::CDC42BPA:8476:	N:GEXP::LRP1B:53353:	N:GEXP::KIAA1549:57670:	N:GEXP::FAM69B:138311:	N:METH:cg13880950:RNF220:TssD5725:Shore	N:GEXP::GNG5:2787:	N:METH:cg20701977:NA:NA:Island	N:GEXP::RHCG:51458:	N:GEXP::PPP2R2C:5522:	N:GEXP::GEFT:115557:	N:METH:cg14868994:RP11-89K21.2:TssU136:Shore	N:GEXP::NUCKS1:64710:	N:METH:cg27061249:PHACTR2:TssU151:Shore	N:MIR::hsa-miR-129-5p:Corrected:	N:GEXP::DSG1:1828:	N:GEXP::NPDC1:56654:	N:GEXP::DEPDC7:91614:	N:GEXP::ABHD2:11057:	N:GEXP::ABCA2:20:	N:METH:cg20264068:CR1L:TssD142:Island	N:METH:cg05372242:SFTA3:TssU507:Island	N:METH:cg26053083:CALCB:TssD69226:Island	N:METH:cg09427998:LINC01097:TssD2527:Shore	N:GEXP::EHD4:30844:	B:MUTA:LOF:PTPRD::	N:MIR::hsa-miR-5589-3p:Corrected:	N:GEXP::PHC3:80012:	N:METH:cg08749108:RP11-175E9.1:TssD7720:Shore	N:GEXP::KATNAL2:83473:	N:GEXP::CDC14B:8555:	N:METH:cg22009488:NA:NA:Island	N:METH:cg02427443:COMMD4:TssU31:Island	N:GEXP::LMBR1:64327:	N:GEXP::GATS:352954:	N:GEXP::CEP68:23177:	N:GEXP::FAM190A:401145:	N:GEXP::CABYR:26256:	N:GEXP::GANC:2595:	N:GEXP::COCH:1690:	N:GEXP::JAKMIP3:282973:	N:GEXP::DDX60L:91351:	N:GEXP::WDSUB1:151525:	N:GEXP::RGS9:8787:	N:METH:cg07214715:ST3GAL5:TssU210:Shore	N:METH:cg18807485:LHX5:TssD6993:Island	N:GEXP::PRKAA2:5563:	N:GEXP::SLCO4C1:353189:	N:GEXP::NUDT7:283927:	N:GEXP::RHOQ:23433:	N:GEXP::PANX2:56666:	N:GEXP::PITPNM1:9600:	N:GEXP::PRKG2:5593:	N:GEXP::AKR1C4:1109:	N:GEXP::RHOG:391:	N:GEXP::GNG10:2790:	I:CNVR::RHOV:171177:	N:METH:cg15438207:NA:NA:NA	N:METH:cg14475758:HLA-DMA:TssD6:NA	N:GEXP::SDK1:221935:	N:GEXP::MED8:112950:	N:METH:cg03778788:RP5-921G16.1:TssU70:Island	N:GEXP::LOC100130093:100130093:	N:GEXP::PNLIPRP3:119548:	N:METH:cg14971325:LINC01586:TssD49:Island	I:CNVR::MGA:23269:	N:METH:cg16899280:TGFB2-AS1:TssD442:Shore	N:GEXP::RPS6KB2:6199:	N:GEXP::GPR85:54329:	I:CNVR::RHOD:29984:	I:CNVR::NBAS:51594:	I:CNVR::PAXIP1-AS2:100132707:	I:CNVR::AKIRIN1:79647:	I:CNVR::SYT12:91683:	I:CNVR::GRB14:2888:	I:CNVR::C11orf86:254439:	I:CNVR::C3orf79:152118:	I:CNVR::GALNT3:2591:	I:CNVR::HIST2H2BA:337875:	I:CNVR::LINC00624:100289211:	I:CNVR::HIST2H2BF:440689:	I:CNVR::NDUFS5:4725:	N:METH:cg12311600:ARL17B:TssU305:Island	N:METH:cg24294989:CAMTA1:TssD895330:Island
TCGA-IG-A3I8	ESCC_1	11089.0	128.52	1366.2	0	2143.6	1524.7	4228.2	6852.3	6012.7	25186.0	284.94	1164.7	2405.6	2979.4	4554.6	1896.5	178.01	22.112	2665.6	15271.0	35636.0	7366.5	6752.6	2790.2	43516	7286.5	31100.0	21709.0	768.83	14522.0	1251.5	35737	0.70045	327.58	3291.1	1279.2	9360.7	121.41	15017.0	53289.0	18423.0	4446.0	57628.0	788.42	13330.0	21239.0	2103.4	5510.1	1237.2	26641.0	359.71	7.9557	373.19	87975.0	23825.0	178.44	264.95	41768.0	191.88	303.45	10349.0	18.117	3676.2	5873.0	12541.0	10114.0	2457.5	373.01	6.7591	589.7	2481.6	1	0.6278699999999999	1092.5	18.723	62.46	3284.3	1095.0	10994.0	231.44	54.691	0.67748	270.89	291.92	1355.5	10209.0	3883.3	24.843000000000004	3894.0	0.056822000000000004	79.729	1252.6	41.673	374.17	3641.1	1528.5	0.046337	214.94	372.9	0.27728	598.88	22445.0	35.510999999999996	1116.7	6.0812	1188.4	54.79	696.79	125.71	0.11793	752.64	0.036757	27.851	128.05	467.63	0.42556000000000005	10339.0	0.070053	1.2788	232.59	445.98	129.61	7841.2	1867.8	0.39809	0.73327	0.39252	0.16795	1172.1	0	0	3566.4	0.37885	87.68700000000001	936.46	0.09997	0.035567	2119.9	172.9	1490.4	0.9237799999999999	143.75	414.26	605.48	11.967	478.78	225.2	31.535	0.053103	0.12684	225.68	4.4533	114.22	1591.0	207.44	674.2	23.587	0.036881	716.06	589.75	0	0.42778	0.1492	1869.6	422.85	0.31822	110.13	7.8292	0.36151	0	0.5856899999999999	427.88	139.55	0	0	0	-1	0	0	0	1	0	-1	-1	-1	-1	0.0091738	0.019077
TCGA-IG-A3QL	ESCC_1	31356.0	14199.0	4639.3	0	33680.0	2286.8	14539.0	1277.4	348.92	39417.0	5183.6	8528.1	3191.4	21556.0	109.16	11331.0	7475.2	2.5418	4854.5	5709.7	139050.0	12046.0	3900.1	1855.3	30750	36114.0	38710.0	18145.0	26871.0	8588.6	6127.4	18124	0.81238	1122.8	2972.0	1807.3	261.12	9.5973	7834.1	35820.0	7720.3	109.75	8742.4	1526.9	13943.0	23048.0	4929.8	4283.5	1095.2	33917.0	508.48	12365.0	205.81	90996.0	10036.0	12222.0	2041.0	24761.0	603.13	992.44	7199.5	47.771	10965.0	15134.0	0.17872000000000002	10868.0	4208.6	240.6	5033.7	612.34	2996.5	0	0.74946	938.19	90.213	0.96326	2233.3	2498.9	5020.3	52.428999999999995	3998.1	0.060048000000000004	1527.4	3384.5	1530.4	9710.4	8365.9	1694.0	1307.1	0.60242	9.8929	365.13	70.275	222.05	3446.9	261.03	0.2422	12.615	458.3	0.78819	139.34	4756.3	2271.6	1702.0	4.3541	876.91	156.03	918.6	261.88	0.44277	1443.1	0.041887	1526.5	1195.0	308.33	0.75116	11214.0	0.089898	26.141	71.203	296.05	111.95	4781.7	311.22	0.6592899999999999	0.7290300000000001	0.6977300000000001	0.17329	837.3	0	0	889.92	0.46384	25.808000000000003	625.54	0.8201299999999999	0.38811999999999997	2239.9	446.98	912.05	80.584	1145.2	203.85	453.92	167.65	199.37	307.05	50.746	0.088894	0.098143	172.68	42.266000000000005	70.604	1664.4	518.54	316.38	218.11	3.0743	787.19	399.55	-1	0.078067	0.065722	1281.9	717.57	0.30945	38.149	0.8325799999999999	0.095373	-1	0.051019	589.59	23.892	0	0	1	-1	0	0	0	1	0	-1	-1	-1	-1	0.018943	0.020163
TCGA-IG-A3Y9	ESCC_2	43449.0	502.37	2975.7	0	1805.8	6062.5	1243.2	15963.0	2323.0	113370.0	916.28	32630.0	3090.3	842.59	4470.5	983.23	389.19	2.0273	7434.1	17137.0	72892.0	14891.0	8744.4	234.84	18801	21395.0	37822.0	70184.0	1246.2	57617.0	495.96	63132	0.048989	10307.0	6101.8	11547.0	586.88	186.44	29335.0	45144.0	314000.0	1239.4	50212.0	2517.5	30596.0	36722.0	2683.6	1495.7	2711.6	38112.0	144.61	112.78	238.86	67401.0	68603.0	391.72	913.88	49018.0	66.183	78.729	15401.0	55.395	607.52	96339.0	0.0	13403.0	2215.3	1715.6	584.11	271.92	60073.0	0	0.041616	77.855	8.0681	0.74745	4170.5	3805.2	2082.3	775.16	69.895	0.11843	243.37	113.11	578.0	4396.9	1937.2	33.828	1393.6	0.20939000000000002	892.81	1620.9	517.82	86.256	794.33	1989.5	0.022269	238.74	7007.5	0.064529	170.89	33715.0	2.7156	684.06	138.59	994.47	0.28164	124.39	34.259	0.30543000000000003	1988.5	0.038456	1606.6	3103.3	434.3	0.10359000000000002	11057.0	0.054270000000000006	3.2675	17283.0	211.7	224.65	2532.5	261.52	0.041688	0.49063	0.26865	0.047122000000000004	1575.7	0	0	958.71	0.075579	16.548	201.19	0.05209	0.017519999999999997	528.1	42.262	522.39	10.235	23.566999999999997	391.69	14.51	7.8628	1246.0	72.265	28.808000000000003	0.046639	0.055573000000000004	89.485	3.2025	45.785	1197.5	170.8	603.2	25.413	0.31559	1208.3	281.97	0	0.047303	0.037458	743.95	1388.6	0.048382	36.121	1481.9	0.090435	0	0.025664	797.26	20.334	0	0	-1	0	0	-1	0	1	-1	1	1	1	0	0.014852	0.024003999999999998
TCGA-IG-A3YA	ESCC_1	23943.0	1732.3	902.55	0	4054.8	2680.2	9269.0	952.57	16210.0	31890.0	375.28	3920.0	5633.6	6730.7	4354.9	3756.1	2873.8	215.79	6149.8	2538.5	41926.0	10088.0	8917.8	15306.0	20213	10667.0	28249.0	32651.0	718.57	6736.8	1289.0	24271	0.37033	2330.6	20274.0	5717.9	1030.0	2539.7	15182.0	26850.0	18566.0	288.31	10186.0	1813.5	11045.0	15113.0	1067.3	1562.0	461.77	29791.0	244.75	1284.1	249.09	63732.0	29003.0	362.36	1214.1	29516.0	237.14	180.15	12528.0	36.958	3513.6	20477.0	3.9475	4255.1	2556.6	146.49	437.86	445.69	5228.6	0	0.067616	1180.4	8.6177	179.6	1059.9	925.42	4046.4	289.2	15843.0	0.059326	997.65	276.26	1378.7	4233.9	7256.3	80.17699999999999	271.47	0.076102	40.41	15959.0	202.2	188.98	3200.5	23940.0	0.018645	47.573	259.49	0.16812	336.74	2600.4	83.663	1246.1	4.7502	1425.8	4.0363	194.89	53.481	0.05779600000000001	1279.8	0.028254	6241.9	93.71600000000001	659.69	0.14351	12832.0	0.11042	3.7142	122.16	394.12	169.46	5716.4	1138.5	0.39116999999999996	0.30526	0.41493	0.049036	1086.8	0	0	3235.6	0.020944	28.246	379.15	0.020007	0.017497	1136.2	97.32700000000001	1316.3	8.9148	75.352	389.7	68.046	37.184	931.67	150.67	74.14	0.066347	0.062415	714.14	189.53	107.45	2024.3	201.54	934.02	164.09	0.29517	1046.5	386.29	0	0.054854999999999994	0.13617	2570.3	645.55	0.060175	45.423	4.4128	0.37932	0	0.044777	996.87	26.739	1	0	0	1	0	0	0	1	0	0	0	0	1	0.022799	0.024531
TCGA-IG-A3YB	ESCC_1	15161.0	2375.1	464.17	0	1274.4	1704.8	614.09	604.57	7839.0	47224.0	2532.0	1807.7	2783.6	26679.0	18010.0	2385.9	1070.5	0.96888	5749.1	28697.0	44113.0	7545.5	9018.6	323.11	14297	18789.0	27569.0	88652.0	3670.8	11905.0	1722.6	12723	0.7098	1658.2	20585.0	37.812	331.45	2441.6	65738.0	25966.0	2508.7	100.18	2392.9	724.08	19395.0	13992.0	356.85	1079.6	14994.0	31014.0	732.29	7.8859	367.41	54510.0	27387.0	1030.5	3607.6	23998.0	170.66	349.75	16886.0	9.316	3609.7	8950.8	2.0123	2236.3	2857.2	399.73	8.6834	1193.7	23.138	1	0.57911	934.9	785.18	0.79881	2217.1	3228.2	1148.5	583.64	1.8088	0.60252	137.49	240.89	612.78	914.17	3568.5	15.056	2730.7	0.53576	2.5257	18932.0	149.1	109.65	2386.6	17484.0	0.31115	38.858000000000004	18.393	0.46534	130.21	23.395	10.142000000000001	2234.5	3.9364	778.13	8.8101	204.42	187.57	0.58367	805.93	0.037618	125.39	2062.7	442.94	0.55877	18293.0	0.074178	3.4364	17.927	1258.2	46.126000000000005	5021.4	2601.3	0.67182	0.62342	0.39799999999999996	0.57706	499.4	1	0	1995.8	0.44887	113.09	544.03	0.57439	0.4605	942.78	302.13	1821.9	86.258	13.335	235.44	12.215	16.3	440.42	275.38	115.83	0.38022	0.083561	373.58	4.8932	142.46	1000.0	276.47	1418.3	104.16	0.036881	675.41	326.14	0	0.07827200000000001	0.026077	140.72	561.66	0.4762	186.83	7.0251	0.6884100000000001	0	0.68558	539.21	9.05	0	-1	0	0	0	1	0	1	-1	1	1	1	0	0.017503	0.022333000000000002
TCGA-IG-A3YC	ESCC_2	41417.0	322.06	2233.6	0	1257.6	3620.7	1427.2	23358.0	13820.0	45386.0	1925.8	5272.5	18770.0	814.34	2461.1	1451.0	371.04	72.543	14730.0	11025.0	41295.0	16199.0	9950.9	48208.0	22603	33502.0	38327.0	98192.0	1620.4	11474.0	463.6	33769	0.027966	9615.0	2642.4	7766.6	6277.1	371.13	67027.0	68859.0	20017.0	857.44	7095.0	1566.7	46500.0	18544.0	9244.3	2095.2	17923.0	38296.0	226.4	31.862	233.35	57516.0	31767.0	36.924	500.56	37492.0	57.11	330.86	14614.0	28.432	3937.0	40320.0	0.15091	5095.3	2138.9	1694.6	1049.6	264.54	14519.0	0	0.14874	197.23	150.38	0.0	2303.8	1189.3	1725.9	386.62	17.996	0.082659	139.21	109.43	1087.6	3042.8	1464.8	22.232	1252.8	0.11107	1323.5	547.24	330.13	91.26899999999999	1122.6	456.3	0.021713	219.43	3068.7	0.10019	231.04	25687.0	267.33	955.94	124.02	987.63	2.0058	62.446000000000005	43.538999999999994	0.10323	2162.5	0.029337000000000002	27479.0	847.8	186.16	0.091182	15071.0	0.09428099999999999	0.72021	2398.0	320.03	226.58	2225.8	687.59	0.017488999999999998	0.38916	0.095911	0.040736	778.49	0	0	1383.4	0.026414999999999998	51.13399999999999	236.39	0.15769	0.014963999999999998	582.65	177.1	471.14	20.409000000000002	52.018	445.64	11.073	6.5806	1307.4	156.92	35.417	0.050235	0.058026999999999995	99.32600000000001	17.669	60.746	1209.1	55.74100000000001	1434.1	9.399	0.44655	1589.8	413.03	-1	0.052792	0.040352	262.92	848.07	0.024315	60.825	599.74	0.097329	-1	0.05740700000000001	1520.2	23.326	1	-1	-1	0	1	-1	1	1	-1	0	0	0	0	0.013363	0.021571
TCGA-IG-A4P3	ESCC_1	5213.7	1604.4	355.06	0	3439.6	3373.7	6825.1	4366.0	10532.0	33082.0	2243.1	9637.3	6393.6	8561.1	367.37	2576.9	4127.4	201.4	21037.0	10269.0	73843.0	12787.0	13428.0	34718.0	17764	33382.0	36736.0	80264.0	2669.6	22037.0	734.45	22395	0.5391100000000001	9985.4	2888.3	9012.2	3845.3	539.2	62677.0	61111.0	26212.0	487.25	4720.7	699.47	48504.0	27250.0	5490.7	3021.0	2758.8	48318.0	195.37	299.19	464.07	72281.0	18842.0	273.8	601.84	23579.0	291.95	538.96	14778.0	44.751999999999995	13600.0	32952.0	4.5713	5449.3	2589.6	320.78	355.62	1436.3	9348.5	1	0.43598000000000003	554.88	485.06	37.783	4450.4	1862.2	1408.3	266.85	29327.0	0.25513	550.34	375.17	2752.5	8786.1	5988.1	76.21	758.13	0.3231	295.52	3488.8	231.74	124.26	988.79	1661.8	0.020000999999999998	145.98	1551.2	0.37997	470.56	5857.8	62.613	2430.4	46.663999999999994	2395.6	29.932	140.34	88.64299999999999	0.24422	1313.3	0.028066000000000004	17334.0	1327.6	236.88	0.1873	23409.0	0.19071	3.2005	55.566	459.64	54.108000000000004	1810.4	1989.0	0.23048000000000002	0.36606	0.21279	0.27497	1183.8	0	0	4272.8	0.019206	191.42	622.88	0.10113	0.016663999999999998	761.69	144.25	1363.7	41.547	66.47800000000001	373.48	134.41	237.52	1104.0	127.22	24.51	0.05401	0.047714	107.71	887.41	72.431	1051.8	325.32	1435.4	60.426	1.7673	1527.6	222.24	-1	0.040049	0.017169999999999998	1370.2	578.21	0.026646	78.921	9.504	0.091515	-1	0.033031	552.81	68.137	0	1	-1	-1	0	-1	0	1	-1	1	1	1	-1	0.01218	0.033837
TCGA-IG-A50L	ESCC_1	25309.0	10035.0	860.62	0	27640.0	8219.6	2846.2	1118.3	3783.4	31890.0	20.491999999999997	17420.0	3647.7	9478.1	1700.0	16492.0	5484.0	1.6157	4795.1	3581.1	64215.0	15861.0	3817.5	81.808	19643	22548.0	30035.0	45709.0	24247.0	21387.0	2159.9	50985	0.47715	1806.2	2443.1	3398.9	179.69	21.432	11536.0	32361.0	42670.0	54.468999999999994	11999.0	395.12	12689.0	27786.0	715.07	1426.6	966.97	43033.0	88.038	105.04	224.98	86598.0	16037.0	12541.0	1820.6	40685.0	123.79	1440.1	13172.0	199.8	5661.6	24940.0	4.1643	10127.0	2152.1	592.51	4598.7	149.3	3151.1	1	0.29436999999999997	1212.2	52.715	1.7785	2676.1	4924.7	2115.5	266.27	83.198	0.30388000000000004	721.62	1498.6	2484.1	4420.0	13238.0	2728.5	1732.8	0.5594399999999999	4137.8	777.28	203.24	108.5	2293.4	3804.2	0.022997999999999998	78.381	1788.2	0.38028	56.93	3043.4	517.62	1316.9	2.6853	2104.5	92.601	670.86	105.07	0.31073	1015.9	0.031868	15.964	2521.4	315.92	0.45737	15324.0	0.081874	7.2649	1027.7	249.69	142.93	4983.4	939.37	0.38533	0.44855	0.25339	0.20790999999999998	1137.1	0	0	2518.9	0.19222	24.314	961.21	0.22601999999999997	0.097851	1307.0	138.85	833.02	66.311	152.72	565.97	803.44	139.17	546.02	217.37	27.086	0.25776	0.14543	145.73	9.1507	62.456	2778.7	2158.2	453.87	2.8511	1.3996	723.16	630.2	1	0.034027999999999996	0.025056000000000002	1499.8	779.47	0.22194	32.498000000000005	12.334000000000001	0.04904	1	0.6049100000000001	430.35	19.424	0	0	0	-1	0	0	0	1	0	1	1	1	-1	0.017950999999999998	0.014898
TCGA-IG-A51D	ESCC_2	19132.0	105.47	584.66	0	163.81	7396.7	1747.0	1871.1	10748.0	32322.0	51.138999999999996	5107.8	1287.9	21.888	5086.9	851.91	11.398	1.505	8673.7	7160.9	62844.0	20736.0	21420.0	7.9895	26310	15376.0	52971.0	61069.0	46.861999999999995	12893.0	249.78	44704	0.04055	186.98	4579.3	1390.0	1755.9	601.6	42285.0	20447.0	35708.0	1522.6	4604.2	1744.7	31419.0	33100.0	6228.8	512.47	5966.4	35963.0	101.2	45.536	155.02	64928.0	13429.0	182.37	264.68	39699.0	77.343	68.417	15085.0	12.047	691.41	85690.0	0.948	8811.7	1955.6	906.42	201.76	133.53	13083.0	0	0.071363	87.804	58.85	0.071306	2742.9	1382.1	1204.9	425.01	0.76336	0.055102	55.271	195.69	567.92	5258.2	392.35	10.315999999999999	83.14299999999999	0.14734	0.11305	2933.1	744.59	80.818	470.24	2987.4	0.022346	126.83	2865.5	0.064064	69.77600000000001	25695.0	0.0	690.35	6.5520000000000005	1040.1	0.56013	43.121	35.999	0.29001	2100.8	0.023029	5148.2	1403.3	252.66	0.23861	9887.5	0.036456999999999996	1.3165	2261.0	182.12	129.28	1747.2	681.47	0.32303000000000004	0.37244	0.29263	0.038593	1810.5	0	0	1895.4	0.20915	15.382	201.94	0.36584	0.016291999999999997	612.26	175.84	514.08	6.5577	74.038	527.33	12.817	1.9379	1510.1	123.05	10.679	0.035851999999999995	0.035792000000000004	111.78	3.2443	48.917	678.54	147.53	1054.7	20.741	0.036881	1267.3	352.03	0	0.034551	0.045665	289.41	1154.4	0.071049	67.264	157.26	0.060009	0	0.026705	1491.0	11.978	1	-1	-1	1	1	0	1	1	0	1	1	1	1	0.011604999999999999	0.02342
TCGA-IG-A5B8	ESCC_2	5170.2	1154.3	377.33	0	750.7	8155.6	922.59	17525.0	266.92	92362.0	1437.3	12791.0	292.28	1241.2	165.65	788.63	0.0	0.96888	20525.0	11476.0	59104.0	30791.0	10231.0	19391.0	19450	41306.0	53094.0	171000.0	993.47	28434.0	22.666999999999998	96508	0.040981000000000004	1506.9	667.74	36549.0	606.67	11.991	108020.0	125080.0	175350.0	22.668000000000003	19250.0	4340.1	58481.0	80674.0	14271.0	2682.7	16941.0	109740.0	67.829	7.06	724.36	150640.0	47196.0	563.11	268.01	52591.0	4.8032	16.285999999999998	23578.0	7.47	4565.1	183030.0	0.0	24326.0	743.87	4139.2	58.308	24.39	135910.0	0	0.046163	32.222	5.6079	0.51867	7239.3	1726.6	406.35	1306.0	13.62	0.042055	18.589000000000002	103.1	415.65	4732.4	1337.7	4.6576	666.11	0.037939999999999995	106.03	121.84	1223.8	7.1803	183.37	151.93	0.022573	318.28	10003.0	0.11835999999999999	9.6213	14500.0	0.0	137.11	179.21	675.12	0.010121	20.125999999999998	13.712	0.15263	1410.2	0.044579	12242.0	2208.8	57.563	0.06642200000000001	9245.5	0.036288	0.52225	1889.3	142.12	241.34	1500.4	232.09	0.058361	0.02231	0.052224	0.047098	1788.7	0	0	1708.9	0.022331999999999998	13.448	199.74	0.027351	0.018073	350.59	22.826	216.62	1.2172	40.236	578.0	6.0244	0.0	1837.9	108.4	1.6839	0.034381	0.045420999999999996	3.0915	3.6919999999999997	108.79	638.17	80.669	928.02	0.0	0.036881	1952.1	192.93	0	0.043443	0.027246	90.266	1771.5	0.027219999999999998	19.061	1819.4	0.058074	0	0.024914	1476.5	10.061	0	0	-1	0	0	-1	0	1	-1	1	1	1	0	0.017059	0.019974000000000002
