MESO	Labels	N:GEXP::KRT7:3855:	N:GEXP::SPARC:6678:	N:GEXP::IGF2:3481:	N:GEXP::MT2A:4502:	N:GEXP::KRT8:3856:	N:GEXP::SLPI:6590:	N:GEXP::C3:718:	N:GEXP::TIMP1:7076:	N:GEXP::CLU:1191:	N:GEXP::C4A:720:	N:GEXP::RARRES2:5919:	N:GEXP::MGP:4256:	N:GEXP::PPARGC1A:10891:	N:GEXP::CLDN1:9076:	N:GEXP::KRT17:3872:	N:GEXP::EEF2:1938:	N:GEXP::GAPDH:2597:	N:GEXP::LGALS3BP:3959:	N:GEXP::DHCR24:1718:	N:GEXP::EFEMP1:2202:	N:GEXP::GNAS:2778:	N:GEXP::HSPB1:3315:	N:GEXP::B2M:567:	N:GEXP::C3AR1:719:	N:GEXP::PDZK1IP1:10158:	N:GEXP::ACTB:60:	N:GEXP::ARNTL2:56938:	N:GEXP::COL6A1:1291:	N:GEXP::C7:730:	N:GEXP::HLA-B:3106:	N:GEXP::TPT1:7178:	N:GEXP::FOSL1:8061:	N:GEXP::LY6E:4061:	N:GEXP::HLA-C:3107:	N:GEXP::HLA-A:3105:	N:GEXP::PSAP:5660:	N:GEXP::ALDOA:226:	N:GEXP::DLGAP5:9787:	N:GEXP::KLK10:5655:	N:GEXP::RBP1:5947:	N:GEXP::BST2:684:	N:GEXP::ARHGDIB:397:	N:METH:cg15193782:ARMC3:TssD1:NA	N:GEXP::ACTG1:71:	N:GEXP::DCBLD2:131566:	N:GEXP::TFPI2:7980:	N:GEXP::TMSL3:7117:	N:GEXP::SATB2:23314:	N:GEXP::PARD6B:84612:	N:GEXP::GIMAP4:55303:	N:GEXP::FLI1:2313:	N:GEXP::IL12RB1:3594:	N:GEXP::CCNA2:890:	N:GEXP::SNCG:6623:	N:MIR::hsa-miR-181d-5p:Corrected:	N:GEXP::C19orf21:126353:	N:GEXP::EZR:7430:	N:GEXP::AQP1:358:	N:GEXP::CPB1:1360:	N:GEXP::ADH1B:125:	N:GEXP::CARHSP1:23589:	N:GEXP::CALB2:794:	N:GEXP::CA9:768:	N:GEXP::LARP6:55323:	N:GEXP::CYP17A1:1586:	N:GEXP::PLXND1:23129:	N:GEXP::SOX9:6662:	N:GEXP::ARHGAP10:79658:	N:METH:cg26103512:CSNK1D:TssU204:Island	N:GEXP::MT1E:4493:	N:GEXP::TRPV6:55503:	N:GEXP::FBXO2:26232:	N:GEXP::PLEK:5341:	N:GEXP::IL27RA:9466:	N:GEXP::HSD17B6:8630:	N:GEXP::ARHGEF5:7984:	N:GEXP::MARCH3:115123:	N:GEXP::DNMT1:1786:	N:GEXP::VTN:7448:	N:GEXP::ARHGAP31:57514:	N:GEXP::MS4A6A:64231:	N:GEXP::MARK3:4140:	N:GEXP::LRRC33:375387:	N:GEXP::NT5C3:51251:	N:GEXP::SCARA3:51435:	N:GEXP::RCSD1:92241:	N:GEXP::ARHGEF3:50650:	N:GEXP::GAS2:2620:	N:GEXP::KIAA1737:85457:	N:GEXP::ALDH1A2:8854:	N:GEXP::PPARGC1B:133522:	N:METH:cg21035368:ERCC1:TssD6196:Island	N:MIR::hsa-miR-301a-5p:Corrected:	N:GEXP::ARL3:403:	N:GEXP::C4BPA:722:	N:GEXP::CLIC5:53405:	N:GEXP::TNXB:7148:	N:METH:cg08839858:ARMC3:TssU111:NA	N:GEXP::EARS2:124454:	N:GEXP::KIF7:374654:	N:METH:cg03932406:SPRED2:TssD1431:Island	N:GEXP::C8orf77:286103:	N:GEXP::ARF6:382:	N:GEXP::CARM1:10498:	N:GEXP::SCARF1:8578:	N:GEXP::PARVG:64098:	N:GEXP::ARHGEF35:445328:	N:GEXP::SLC26A6:65010:	N:METH:cg03053575:ZNF69:TssD64:Shore	N:GEXP::ABLIM1:3983:	N:GEXP::ACPL2:92370:	N:METH:cg05207415:MARK3:TssU512:Island	N:METH:cg04857420:TNFRSF11B:TssU190:Island	N:GEXP::CARNS1:57571:	N:GEXP::PORCN:64840:	N:GEXP::ARL2:402:	N:GEXP::PARP9:83666:	N:GEXP::MARCH4:57574:	N:GEXP::RCHY1:25898:	N:METH:cg13764991:DMRT2:TssD431:Island	N:GEXP::NDUFA5:4698:	N:GEXP::ARHGAP30:257106:	N:GEXP::MARVELD3:91862:	N:GEXP::IRAK2:3656:	N:METH:cg02221347:DARS:TssD33:Island	N:METH:cg17385674:ARID1A:TssU821:Shore	N:METH:cg03093695:GSG1:TssD2527:Island	N:METH:cg21940042:ZNF69:TssU92:Shore	N:MIR::hsa-miR-1287-5p:Corrected:	N:GEXP::BIN2:51411:	N:GEXP::SLC7A4:6545:	N:METH:cg23996306:DARS:TssD44:Island	N:GEXP::XAF1:54739:	N:GEXP::CHP:11261:	N:GEXP::ARC:23237:	N:METH:cg13539253:GARNL3:TssD221:Shore	N:METH:cg03894174:NA:NA:Shore	N:METH:cg03608000:ZNF69:TssU11:Shore	N:METH:cg18863156:LHX4:TssD4983:Island	N:GEXP::SYBU:55638:	N:GEXP::INPP5J:27124:	I:CNVR::NEGR1:257194:	N:GEXP::ITLN1:55600:	N:GEXP::STRADB:55437:	N:METH:cg25124633:TARID:TssD106:Island	N:METH:cg06377221:ARRDC2:TssU203:Island	N:METH:cg03040522:ADAR:TssD737:Shore	N:GEXP::HYDIN:54768:	N:GEXP::COL7A1:1294:	N:METH:cg19720265:MARK1:TssU643:Shore	N:GEXP::CALML4:91860:	N:METH:cg20315346:CHP1:TssD13:Island	N:GEXP::FAM64A:54478:	N:GEXP::PYHIN1:149628:	N:GEXP::VASP:7408:	N:GEXP::EPB41L5:57669:	N:METH:cg21958603:NA:NA:Island	N:METH:cg15169189:PTPRM:TssD2110:Shore	N:GEXP::ADAT2:134637:	N:METH:cg14257369:FGF22:TssU314:Island	N:MIR::hsa-miR-151b:Corrected:	N:GEXP::CHST4:10164:	N:GEXP::RSPO1:284654:	N:GEXP::GALNT4:8693:	N:GEXP::MT1L:4500:	N:GEXP::RICH2:9912:	N:GEXP::DTD1:92675:	N:GEXP::DHODH:1723:	N:GEXP::PNCK:139728:	N:GEXP::CTAGE9:643854:	I:CNVR::GATA6:2627:	N:GEXP::SIGLEC1:6614:	N:GEXP::LOC441294:441294:	N:GEXP::FLJ42875:440556:	N:METH:cg05235761:MOXD1:TssD570:Shore	I:CNVR::CSPG5:10675:	I:CNVR::MIR491:574444:	I:CNVR::LINC01107:151171:	I:CNVR::ASCC3:10973:	I:CNVR::TMEM135:65084:	I:CNVR::SYNPR:132204:
TCGA-3H-AB3M	MESO_1	1298.7	134540.0	7937.3	5895.8	52465.0	19909.0	151350.0	49857.0	16212.0	48915.0	9199.4	2684.3	86.48	6348.2	126.13	95203.0	83206.0	25835.0	3299.8	28510.0	21808	10601.0	39463.0	798.34	2611.8	89499.0	60.045	18194.0	1057.4	38514.0	96623.0	39.275	24958.0	16022.0	23270.0	59419.0	33126	174.09	481.5	2382.2	11387.0	2325.2	0.046787	117030.0	3040.8	3095.2	71941.0	159.37	380.29	834.97	311.56	58.157	233.99	1200.9	39.978	2577.0	12790.0	36588.0	38.141999999999996	522.66	3846.0	16112.0	940.38	857.63	23.822	2902.2	32.477	131.8	0.13035	2327.0	69.86399999999999	1151.1	463.37	103.1	2819.9	282.48	89.124	1316.8	3217.9	490.56	1557.8	1171.1	191.09	764.73	4128.8	248.49	1841.8	28.323	486.4	11039.0	25.302	0.052633000000000006	1.3322	892.75	7016.6	3978.1	11764.0	0.01642	433.16	630.33	0.23069	49.093999999999994	1523.8	1536.6	147.66	479.61	432.4	192.22	0.41833000000000004	1557.8	496.6	0.11631	0.018472	705.84	296.83	2628.4	2406.8	13.595	382.55	0.36323	823.64	646.9	17.474	106.87	0.16228	0.055274000000000004	0.039944	0.60518	13.319	240.94	1028.0	0.08558400000000001	1240.9	3110.3	18.882	0.082712	0.48546999999999996	0.48605	0.4192	288.9	206.57	-1	377860.0	526.43	0.016934	0.016347	0.057339	97.81	4302.5	0.38401	581.95	0.014137	63.821999999999996	10.952	1446.4	1115.9	0.027228	0.5269	87.613	0.024746999999999998	1.7971	74.018	1420.7	366.65	50.227	477.34	640.86	134.44	81.949	47.961000000000006	1	645.39	17.372	28.701	0.27283	-1	-1	-1	-1	1	1
TCGA-3H-AB3S	MESO_1	231.06	85786.0	3534.4	8795.3	77603.0	16506.0	113520.0	39233.0	10733.0	48154.0	9471.7	5645.7	6.9419	2307.7	184.46	87382.0	56986.0	17749.0	3227.5	29154.0	18621	18137.0	24242.0	359.49	4412.1	156320.0	52.06399999999999	38741.0	348.58	23022.0	95292.0	40.164	16286.0	14200.0	27477.0	56684.0	23388	122.97	2130.7	1443.9	614.36	1587.7	0.31697	144710.0	905.91	202.8	82712.0	96.194	304.45	336.19	219.66	26.776	292.94	4657.0	11.228	6667.7	33709.0	63353.0	1.9834	58.51	4464.6	21220.0	2966.2	252.88	2.0726	2609.2	212.72	235.53	0.26100999999999996	1985.9	40.66	4463.6	196.85	442.79	979.79	482.95	94.211	1596.6	12132.0	410.56	690.72	1045.2	108.59	679.31	4817.2	154.21	308.91	77.848	495.85	13153.0	16.859	0.063887	7.8576	726.91	43.635	709.06	18824.0	0.42763999999999996	676.83	348.8	0.56791	9.9169	1380.9	1982.9	205.28	254.37	317.34	89.25200000000001	0.4167	6021.6	230.57	0.13812	0.018369	2141.6	129.42	1711.2	1546.1	7.4377	566.26	0.30009	1001.6	339.16	101.4	25.288	0.15317999999999998	0.231	0.037888	0.38444	28.837	127.43	1931.3	0.11379	729.89	3323.2	138.84	0.084901	0.35857	0.094725	0.13564	391.72	20.826	0	314730.0	219.66	0.086083	0.0171	0.083826	71.402	187.93	0.5110100000000001	622.29	0.018422	128.42	3.9668	2773.8	351.06	0.024033000000000002	0.40451	81.815	0.11709000000000001	2.2866	323.29	2417.8	342.29	28.263	1756.3	782.94	262.3	95.20299999999999	102.14	0	155.2	13.388	63.964	0.15622	-1	-1	0	0	0	-1
TCGA-3H-AB3T	MESO_2	255.59	148190.0	11153.0	8193.5	78495.0	12010.0	25951.0	9319.1	3427.2	47797.0	1598.8	770.0	2.7781	606.09	4488.5	40205.0	60062.0	27294.0	5431.6	31648.0	21939	14338.0	101170.0	851.95	289.85	133130.0	69.453	44009.0	83.806	78844.0	27385.0	921.87	26521.0	39830.0	56158.0	60776.0	30916	895.94	64.359	224.56	14032.0	3727.3	0.10837999999999999	109620.0	4504.7	87.51	45186.0	273.64	20.836	1460.3	1335.8	179.19	739.8	112.05	8.171	434.31	13278.0	4084.9	1.8521	6.0192	4457.8	1925.7	319.59	151.41	3.7041	8524.6	68.99	529.23	0.42838999999999994	2779.0	0.46299999999999997	918.62	1414.5	549.6	502.37	68.52600000000001	442.18	2983.7	2607.7	954.28	2875.8	1682.6	306.05	1652.5	958.91	424.12	657.95	3.7041	289.38	1003.4	12.964	0.067481	5.7429	524.6	0.46299999999999997	43.523999999999994	9723.8	0.21420999999999998	504.23	89.117	0.36573	4.1671	3172.6	1821.5	332.45	505.61	13.89	289.72	0.34791	320.41	227.34	0.095935	0.044774	17.595	276.42	2301.7	2570.8	2389.2	249.1	0.27975	838.52	1243.2	2.3151	131.03	0.18483	0.11334000000000001	0.040625	0.42668	9.9218	425.05	439.4	0.18825	2127.1	1269.1	45.839	0.11189	0.35675	0.33369	0.30574	28.244	9.2603	0	79.176	437.55	0.052052	0.022586000000000002	0.16754000000000002	7.4083	363.0	0.11033	172.71	0.022508	246.32	78.25	3660.6	356.06	0.027933	0.13548	128.26	0.4008	0.54501	1.8521	1503.9	106.82	9.7233	27.318	965.39	85.65799999999999	2.7781	16.669	0	1759.9	4.6302	8.3343	0.26598	-1	-1	0	0	-1	0
TCGA-3H-AB3U	MESO_3	1325.0	28236.0	2147.9	6744.7	82058.0	16040.0	213140.0	18452.0	36700.0	41631.0	8215.5	7546.7	105.8	133.93	3.5661	67411.0	45941.0	29176.0	4243.7	115390.0	19837	17116.0	37402.0	350.67	6012.5	94342.0	15.849	26456.0	8282.9	25599.0	101160.0	12.68	15485.0	18444.0	24420.0	47322.0	38276	79.643	1773.5	292.42	1354.7	1092.8	0.04065	115200.0	823.77	515.11	35865.0	37.246	839.62	362.56	236.95	55.473	129.48	990.19	20.574	2316.4	83529.0	159210.0	1032.2	10860.0	5337.3	48493.0	1035.6	55.869	6.3398	1151.5	181.87	100.64	0.3891	5467.3	52.699	6201.5	335.61	76.87	5761.3	395.44	98.663	805.15	5706.6	285.69	920.46	2688.9	121.25	1644.4	19144.0	218.33	479.44	183.85	616.54	9588.9	44.775	0.44995	1.3762	162.46	683.51	6890.9	11290.0	0.017072	585.64	160.36	0.1835	17.038	1548.9	1002.1	173.55	248.44	686.68	60.968999999999994	0.40343	3629.9	106.59	0.13576	0.022615	7625.6	58.643	983.06	2931.9	1.5849	729.87	0.030048000000000002	799.21	471.52	271.1	58.643	0.56087	0.21878000000000003	0.15945	0.4242	51.306999999999995	150.17	6901.6	0.4481	1407.8	10373.0	14.264000000000001	0.065376	0.33165	0.35458	0.11679	477.46	7.5285	0	130190.0	1623.0	0.36091	0.028819	0.35122	348.29	116.49	0.098626	592.77	0.020146	31.303	42.397	1842.5	664.09	0.02632	0.42955	43.19	0.054480999999999995	5.1996	1469.2	3379.1	1961.4	11.491	5742.6	188.21	1023.9	60.228	33.68	0	556.71	17.038	89.945	0.088594	0	0	1	0	1	1
TCGA-3H-AB3X	MESO_4	17991.0	25580.0	410.93	1083.6	31483.0	11394.0	282890.0	100760.0	11705.0	74832.0	15749.0	1045.6	53.207	78900.0	14.727	53315.0	80706.0	35409.0	7582.9	5768.2	17984	10616.0	75591.0	1030.4	1258.4	83835.0	60.333	6469.8	355.34	22632.0	188560.0	31.829	7676.0	13329.0	13090.0	48990.0	31367	123.04	1015.7	4319.2	931.59	3900.2	0.033428	87481.0	2813.8	3010.4	71252.0	27.078000000000003	729.69	926.84	425.65	103.56	190.54	2772.9	37.449	83.611	12502.0	19878.0	38.005	115.44	1855.0	11004.0	113.21	567.22	3.5012	1544.4	630.88	144.42	0.037538	340.62	86.936	999.52	935.39	99.287	442.75	410.93	147.27	1642.8	802.38	307.84	1941.6	717.82	245.13	470.78	946.79	597.62	2371.5	3.8005	584.8	8400.0	35.63	0.034244	0.9809700000000001	552.97	9.5012	4156.3	4045.6	0.014782	947.27	380.82	0.042536000000000004	13.777000000000001	1423.8	1613.3	149.64	622.8	528.74	176.72	0.073018	2785.8	192.4	0.043393	0.022824	1162.9	164.85	2766.8	1577.8	0.0	505.94	0.024092	1380.0	971.02	3.2352	88.836	0.022184	0.023131	0.035448	0.039639	16.163	378.62	391.45	0.034847	694.54	2502.1	1.9002	0.071918	0.058922	0.017877	0.06545	714.01	35.63	0	575970.0	307.36	0.013103	0.015319999999999999	0.029271	232.3	24.228	0.060028	507.36	0.012882	86.936	39.905	1086.0	309.74	0.022994999999999998	0.083889	99.287	0.032461000000000004	0.81079	114.49	2988.1	329.94	59.858000000000004	2536.8	578.15	182.42	6.6508	180.05	0	213.78	64.133	1.9002	0.062081	0	0	0	0	0	0
TCGA-3U-A98D	MESO_1	324.26	178240.0	16041.0	14322.0	69314.0	7322.1	75379.0	84974.0	12355.0	20354.0	5149.6	8434.7	77.80199999999999	6226.9	2707.3	43162.0	100190.0	24015.0	8417.9	18322.0	15393	15512.0	83093.0	310.66	966.81	140200.0	388.47	20210.0	822.09	49486.0	72126.0	516.32	7470.6	25330.0	42751.0	42157.0	33453	208.38	1099.6	1150.7	6866.2	2432.0	0.043403	103510.0	2433.1	601.2	88478.0	184.44	384.11	430.9	194.23	52.231	208.21	699.67	19.868	1698.6	24260.0	29442.0	300.87	260.06	1624.5	6463.0	2377.1	903.16	0.5441	2865.6	687.16	402.61	0.04322	1998.4	57.67100000000001	1190.4	455.93	455.93	1664.8	339.5	114.8	1706.8	1839.0	289.44	702.39	955.93	105.55	733.95	3334.1	220.35	2038.6	10.880999999999998	422.2	7671.4	23.939	0.022746000000000002	5.1863	450.49	825.9	1287.8	17458.0	0.18502000000000002	465.72	515.2	0.49101000000000006	7.0729	2367.8	1810.1	204.03	256.8	373.78	207.8	0.053646000000000006	2083.8	247.55	0.060813	0.016579	1294.3	374.86	3124.1	1103.4	99.021	238.85	0.34291	1404.2	442.33	35.033	177.37	0.28735	0.023137	0.026249	0.037866000000000004	4.5592	114.8	313.93	0.17897000000000002	825.35	3040.8	282.37	0.060875	0.26649	0.027531	0.12065	334.6	8.7051	-1	101460.0	259.52	0.016774	0.015477000000000001	0.032941000000000005	126.22	1353.7	0.13702999999999999	408.6	0.017159999999999998	148.53	14.145999999999999	2553.3	735.04	0.020227000000000002	0.32073	75.626	0.03466	0.9133100000000001	22.851	227.97	343.34	137.65	331.88	800.87	204.03	35.909	84.331	1	280.2	42.437	15.234000000000002	0.15987	0	-1	-1	-1	1	0
TCGA-3U-A98E	MESO_3	2793.6	39612.0	822.31	15124.0	31604.0	17078.0	432360.0	65896.0	39482.0	80558.0	9989.5	12448.0	194.18	80.997	0.5364	82573.0	22611.0	30591.0	3341.8	61107.0	17870	6836.5	128050.0	436.63	9102.3	81031.0	27.893	13732.0	1716.5	152040.0	141900.0	114.25	21662.0	102220.0	106720.0	52820.0	21091	38.621	2344.1	287.51	10885.0	1805.0	0.052127	70432.0	271.96	7569.2	52743.0	13.947000000000001	663.53	524.07	230.12	72.95100000000001	66.874	322.92	13.593	4410.9	16246.0	48691.0	107.28	77740.0	3800.5	23143.0	562.22	51.495	11.989	962.31	348.13	141.61	0.10519	9101.7	143.76	4461.3	541.23	54.713	5074.4	535.33	267.13	799.24	3377.7	196.86	1263.2	3759.1	122.84	2802.7	13058.0	306.82	260.16	46.131	979.48	12475.0	71.878	0.39661	3.0389	136.25	7438.9	7055.3	10681.0	0.11524000000000001	541.77	42.746	0.64007	13.41	1873.1	927.44	116.94	428.59	682.84	54.177	0.07875	6875.1	201.69	0.10454000000000001	0.021256999999999998	4837.8	52.568000000000005	873.8	5887.2	1.0728	800.32	0.018213999999999998	1433.8	468.82	127.31	82.07	0.23351	0.28949	0.22906999999999997	0.051193999999999996	41.81100000000001	243.53	2666.5	0.20801	7780.0	9914.9	8.5825	0.41672	0.08015	0.027616	0.099511	538.01	8.5825	0	927920.0	1132.3	0.019491	0.017126	0.27778	43.985	17.165	0.30257	373.87	0.021275	8.0461	41.303000000000004	1588.8	856.1	0.13467	0.10507999999999999	37.548	0.28104	6.9447	2228.8	4200.6	2125.6	6.4369	8079.9	211.88	764.38	4.8276	84.21600000000001	0	794.95	30.039	9.1189	0.11797	-1	0	0	-1	0	0
TCGA-3U-A98F	MESO_1	55.056999999999995	121050.0	68575.0	315.11	11833.0	338.93	14584.0	8944.2	1151.1	21776.0	1672.8	1734.9	2.3428	737.21	4996.5	98099.0	23678.0	9704.4	880.12	13935.0	25466	1674.0	15781.0	370.17	100.35	65970.0	92.542	38403.0	513.86	5142.7	127670.0	59.742	2223.7	5748.4	5056.8	30451.0	12024	741.51	32.409	2458.0	2078.1	2173.4	0.67999	82124.0	1162.8	62.476000000000006	28977.0	143.69	9.7618	359.62	751.51	40.219	489.37	518.94	56.909	308.47	4298.3	3078.5	0.0	2657.6	1885.1	717.69	953.35	181.18	2.0069999999999997	5988.7	268.64	491.61	0.17022	94.885	3.1238	520.11	376.42	240.53	38.266	304.18	33.19	4464.7	391.64	934.4	1517.0	2240.5	92.932	615.38	3545.1	270.6	362.36	38.266	507.22	1806.7	33.971	0.035923000000000004	14.448	585.71	0.7809	102.69	14906.0	0.55613	1167.5	307.01	0.11475	16.79	1939.5	1598.2	1137.1	195.63	256.93	78.875	0.48983000000000004	29973.0	1813.7	0.10392	0.018838	282.71	78.875	1026.5	774.71	62.085	334.63	0.62126	643.89	364.31	1.5697	27.724	0.23546	0.066228	0.039469	0.35409	69.992	145.65	224.52	0.12951	581.8	1326.8	39.047	0.034352999999999995	0.58553	0.46923000000000004	0.096247	42.562	86.294	-1	30507.0	298.32	0.019972	0.021997	0.043776999999999996	90.199	128.07	0.1136	830.53	0.01718	165.56	8.9809	1412.3	1660.3	0.023568000000000002	0.11049	55.838	0.8290200000000001	3.4858	26.943	107.38	322.59	10.933	957.05	287.39	228.82	271.38	126.9	0	568.53	42.562	1.9524	0.13564	-1	-1	0	0	0	-1
TCGA-3U-A98G	MESO_2	450.66	933130.0	7655.0	5626.0	6755.1	191.39	14874.0	31288.0	2410.0	5008.9	5397.8	9405.4	5.7777	135.05	133.61	59710.0	70313.0	17055.0	533.71	13702.0	25344	14275.0	57795.0	884.71	21.666	240740.0	162.5	112250.0	452.1	46421.0	59823.0	366.16	4110.8	30462.0	33656.0	59022.0	21012	223.88	2.1666	749.65	1052.3	6128.7	0.03764	122580.0	3530.9	62.11	59882.0	247.72	0.7222	1378.0	1127.4	90.27600000000001	290.15	278.77	11.363	10.833	3062.2	9112.3	0.0	21.666	1306.0	153.83	43.195	540.94	0.0	12679.0	74.388	616.05	0.09999	1362.1	0.0	36.111	1131.0	415.99	195.0	193.55	309.83	1483.4	51.277	1959.4	2415.1	1125.2	347.38	208.0	770.6	881.1	1200.3	3.6111	414.55	493.99	38.999	0.032729	0.51342	727.99	10.111	104.0	1780.2	0.06524500000000001	460.77	500.1	0.06325499999999999	1.4444	3656.6	1693.6	1002.4	665.16	147.33	322.95	0.067212	1136.8	448.49	0.054161	0.032632999999999995	42.61	253.5	1560.0	1277.6	37.555	269.38	0.039131	890.49	937.43	14.863	198.61	0.027841	0.040136	0.039425999999999996	0.056073000000000005	16.852	413.83	26.721999999999998	0.046135	923.71	2007.0	33.222	0.11197	0.043166	0.031348	0.065027	80.165	28.888	0	73.665	136.5	0.022456999999999998	0.022673	0.06492200000000001	68.61	592.21	0.07495299999999999	210.89	0.042246	98.221	66.443	4458.2	170.44	0.035838	0.10694000000000001	109.05	0.027815	0.36917	0.0	13.722000000000001	239.77	78.721	167.55	566.21	131.44	11.555	36.111	0	695.49	13.722000000000001	0.7222	0.11015	0	0	0	0	0	0
TCGA-3U-A98H	MESO_3	17.871	58170.0	830.17	7237.1	22302.0	10793.0	204810.0	22469.0	12661.0	177280.0	21650.0	2410.9	70.4	321.67	20.578000000000003	65369.0	49322.0	27819.0	8586.0	59268.0	15975	11964.0	91077.0	1364.7	2895.1	124840.0	32.492	28234.0	1045.2	60832.0	87163.0	27.618000000000002	16776.0	37798.0	47117.0	55776.0	25994	74.732	3964.0	167.34	3261.7	3864.4	0.076313	63848.0	665.01	154.34	53246.0	74.19	266.44	1357.1	696.41	159.21	146.37	751.65	12.328	2531.1	24575.0	111570.0	164.09	3468.5	4716.6	17391.0	1500.8	132.13	1.0831	3775.1	165.17	250.19	0.29459	3107.3	30.326	6376.0	959.6	331.96	339.54	499.84	72.024	1274.8	2356.8	506.34	2775.9	1383.6	239.9	981.8	7425.5	594.07	641.18	62.277	786.85	15035.0	34.658	0.15149	2.5961	379.07	10261.0	5447.9	17836.0	0.16180999999999998	425.65	149.89	0.39152	5.9569	2311.3	1194.6	257.77	637.93	570.78	74.19	0.217	3728.5	128.34	0.34352	0.036126	3563.2	132.13	1227.1	2789.7	49.28	702.37	0.15682000000000001	1087.4	1330.0	67.291	98.559	0.26071	0.31271	0.058405	0.34664	30.075	424.02	755.44	0.16706	1404.7	6611.6	31.409000000000002	0.10869000000000001	0.06994199999999999	0.20965999999999999	0.13055	485.76	10.831	0	395.32	669.34	0.019877000000000002	0.25983	0.13396	257.77	16.788	0.10052	831.26	0.029923	24.369	50.903999999999996	2305.3	440.27	0.031797000000000006	0.26577	80.689	0.023266	0.9889600000000001	142.97	2995.8	1267.2	19.495	1816.8	379.62	401.82	31.409000000000002	199.83	0	862.67	73.107	132.13	0.10434	-1	0	0	0	0	-1
